+--------------------------------------------------------------------+-------+------+------+------+--------+
| Player                                                             | Count | Wins | Loss | Tied | Others |
+--------------------------------------------------------------------+-------+------+------+------+--------+
| [RS Dravid, SC Ganguly, SR Tendulkar, VVS Laxman]                  | 80    | 26   | 27   | 0    | 27     |
| [RS Dravid, SR Tendulkar, V Sehwag, VVS Laxman]                    | 77    | 27   | 21   | 0    | 29     |
| [CG Greenidge, DL Haynes, IVA Richards, PJL Dujon]                 | 67    | 39   | 6    | 0    | 22     |
| [AC Gilchrist, JL Langer, ML Hayden, RT Ponting]                   | 67    | 49   | 8    | 0    | 10     |
| [AB de Villiers, GC Smith, HM Amla, JH Kallis]                     | 66    | 36   | 14   | 0    | 16     |
| [AB de Villiers, GC Smith, JH Kallis, MV Boucher]                  | 63    | 32   | 17   | 0    | 14     |
| [DPMD Jayawardene, KC Sangakkara, TM Dilshan, TT Samaraweera]      | 62    | 23   | 21   | 0    | 18     |
| [HH Gibbs, JH Kallis, MV Boucher, SM Pollock]                      | 59    | 28   | 17   | 0    | 14     |
| [AJ Strauss, AN Cook, IR Bell, KP Pietersen]                       | 59    | 25   | 19   | 0    | 15     |
| [G Kirsten, JH Kallis, MV Boucher, SM Pollock]                     | 58    | 30   | 12   | 0    | 16     |
| [AG Prince, GC Smith, JH Kallis, MV Boucher]                       | 58    | 33   | 14   | 0    | 11     |
| [AN Cook, IR Bell, KP Pietersen, MJ Prior]                         | 56    | 23   | 15   | 0    | 18     |
| [DL Haynes, IVA Richards, PJL Dujon, RB Richardson]                | 55    | 29   | 9    | 0    | 17     |
| [CG Greenidge, DL Haynes, PJL Dujon, RB Richardson]                | 54    | 28   | 8    | 0    | 18     |
| [AB de Villiers, AG Prince, GC Smith, MV Boucher]                  | 54    | 29   | 13   | 0    | 12     |
| [AB de Villiers, AG Prince, JH Kallis, MV Boucher]                 | 54    | 29   | 14   | 0    | 11     |
| [AJ Strauss, AN Cook, KP Pietersen, PD Collingwood]                | 54    | 22   | 15   | 0    | 17     |
