+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| Match# | Player                    | BBI   | HS  | Match                      | StartDate  | Venue                                                           |
+--------+---------------------------+-------+-----+----------------------------+------------+-----------------------------------------------------------------+
| 47     | Wasim Raja                | 4/50  | 125 | Pakistan v India           | 1983-09-24 | Gandhi Stadium, Jalandhar                                       |
| 35     | Majid Khan                | 4/45  | 167 | Pakistan v West Indies     | 1977-03-18 | Bourda, Georgetown                                              |
| 29     | Lasith Malinga            | 5/50  | 64  | Sri Lanka v India          | 2010-07-18 | Galle International Stadium, Galle                              |
| 27     | Nuwan Zoysa               | 5/20  | 28  | Sri Lanka v Zimbabwe       | 2004-05-06 | Harare Sports Club, Harare                                      |
| 21     | Michael Vaughan           | 2/71  | 197 | England v India            | 2002-08-08 | Trent Bridge, Nottingham                                        |
| 20     | Yuvraj Singh              | 2/9   | 169 | India v Pakistan           | 2007-12-08 | M Chinnaswamy Stadium, Bangalore                                |
| 19     | Mitchell Santner          | 3/53  | 126 | New Zealand v England      | 2019-11-21 | Bay Oval, Mount Maunganui                                       |
| 18     | Ish Sodhi                 | 6/86  | 65  | New Zealand v Pakistan     | 2022-12-26 | National Stadium, Karachi                                       |
| 13     | Sunil Joshi               | 5/142 | 92  | India v Bangladesh         | 2000-11-10 | Bangabandhu National Stadium, Dhaka                             |
| 13     | Soumya Sarkar             | 2/68  | 149 | Bangladesh v New Zealand   | 2019-02-28 | Seddon Park, Hamilton                                           |
| 10     | Phil Simmons              | 2/34  | 110 | West Indies v Australia    | 1992-12-26 | Melbourne Cricket Ground, Melbourne                             |
| 9      | Lasith Ambuldeniya        | 7/137 | 40  | Sri Lanka v England        | 2021-01-22 | Galle International Stadium, Galle                              |
| 8      | Tim May                   | 5/9   | 42  | Australia v West Indies    | 1993-01-23 | Adelaide Oval, Adelaide                                         |
| 8      | Taskin Ahmed              | 4/82  | 75  | Bangladesh v Zimbabwe      | 2021-07-07 | Harare Sports Club, Harare                                      |
| 8      | Kuldeep Yadav             | 5/40  | 40  | India v Bangladesh         | 2022-12-14 | Zohur Ahmed Chowdhury Stadium, Chittagong                       |
| 7      | Denijs Morkel             | 4/93  | 88  | South Africa v England     | 1929-06-29 | Lord's Cricket Ground, St John's Wood                           |
| 7      | Surendranath              | 5/75  | 27  | India v England            | 1959-08-20 | Kennington Oval, Kennington                                     |
| 7      | Cameron Cuffy             | 4/82  | 15  | West Indies v Pakistan     | 2002-02-07 | Sharjah Cricket Association Stadium, Sharjah                    |
| 7      | Mohammad Akram            | 5/138 | 10  | Pakistan v Australia       | 1999-11-26 | Western Australia Cricket Association Ground, Perth             |
| 7      | Jermaine Lawson           | 7/78  | 14  | West Indies v Australia    | 2003-05-09 | Antigua Recreation Ground, St John's                            |
| 7      | Aaron Redmond             | 2/47  | 83  | New Zealand v Australia    | 2008-11-28 | Adelaide Oval, Adelaide                                         |
| 6      | Clifford Roach            | 1/18  | 209 | West Indies v England      | 1930-02-21 | Bourda, Georgetown                                              |
| 6      | Derek Sealy               | 2/7   | 92  | West Indies v England      | 1935-01-24 | Queen's Park Oval, Port of Spain                                |
| 6      | Lakshmipathy Balaji       | 5/76  | 31  | India v Pakistan           | 2005-03-08 | Punjab Cricket Association Stadium, Mohali                      |
| 6      | Tissara Perera            | 4/63  | 75  | Sri Lanka v Pakistan       | 2012-07-08 | Pallekele Cricket Stadium, Pallekele                            |
| 6      | Simon Harmer              | 4/42  | 38  | South Africa v Bangladesh  | 2022-03-31 | Hollywoodbets Kingsmead, Durban                                 |
| 5      | Jimmy Sinclair            | 6/26  | 106 | South Africa v England     | 1899-04-01 | Newlands, Cape Town                                             |
| 5      | Bernard Bosanquet         | 8/107 | 27  | England v Australia        | 1905-05-29 | Trent Bridge, Nottingham                                        |
| 5      | Robert Christiani         | 3/52  | 107 | West Indies v India        | 1948-11-10 | Feroz Shah Kotla, Delhi                                         |
| 5      | Ian Thomson               | 2/55  | 39  | England v South Africa     | 1965-02-12 | St George's Park, Port Elizabeth                                |
| 5      | Wayne Parnell             | 4/51  | 23  | South Africa v Sri Lanka   | 2017-01-12 | Bidvest Wanderers Stadium, Johannesburg                         |
| 4      | Ron Oxenham               | 4/39  | 48  | Australia v West Indies    | 1931-01-16 | Exhibition Ground, Brisbane                                     |
| 4      | Alby Roberts              | 4/101 | 66  | New Zealand v England      | 1937-06-26 | Lord's Cricket Ground, St John's Wood                           |
| 4      | Don Beard                 | 3/22  | 31  | New Zealand v West Indies  | 1956-03-09 | Eden Park, Auckland                                             |
| 4      | Robin Bynoe               | 1/5   | 48  | West Indies v India        | 1967-01-13 | Madras Cricket Club Ground, Chepauk, Madras                     |
| 4      | Richard Edwards           | 5/84  | 22  | West Indies v New Zealand  | 1969-03-07 | Basin Reserve, Wellington                                       |
| 4      | John Traicos              | 5/86  | 5   | Zimbabwe v India           | 1992-10-18 | Harare Sports Club, Harare                                      |
| 4      | Derick Parry              | 5/15  | 65  | West Indies v Australia    | 1978-04-15 | Queen's Park Oval, Port of Spain                                |
| 4      | Paul Jarvis               | 4/107 | 29  | England v West Indies      | 1988-06-16 | Lord's Cricket Ground, St John's Wood                           |
| 4      | David Brain               | 5/42  | 28  | Zimbabwe v Pakistan        | 1993-12-16 | Gaddafi Stadium, Lahore                                         |
| 4      | Brett Schultz             | 5/48  | 6   | South Africa v Sri Lanka   | 1993-09-06 | Sinhalese Sports Club Ground, Colombo                           |
| 4      | Heath Davis               | 5/63  | 8   | New Zealand v Sri Lanka    | 1997-03-14 | Trust Bank Park, Hamilton                                       |
| 4      | Geoff Allott              | 4/74  | 8   | New Zealand v England      | 1997-02-14 | Lancaster Park, Christchurch                                    |
| 4      | Travis Friend             | 5/31  | 81  | Zimbabwe v Bangladesh      | 2001-11-08 | Bangabandhu National Stadium, Dhaka                             |
| 4      | Nathan Bracken            | 4/48  | 37  | Australia v West Indies    | 2005-11-03 | Brisbane Cricket Ground, Woolloongabba, Brisbane                |
| 4      | Sajid Mahmood             | 4/22  | 34  | England v Pakistan         | 2006-08-04 | Headingley, Leeds                                               |
| 4      | Brian Vitori              | 5/61  | 19  | Zimbabwe v Pakistan        | 2013-09-10 | Harare Sports Club, Harare                                      |
| 4      | Subashis Roy              | 3/118 | 12  | Bangladesh v South Africa  | 2017-10-06 | Mangaung Oval, Bloemfontein                                     |
| 4      | Malinda Pushpakumara      | 3/28  | 42  | Sri Lanka v England        | 2018-11-23 | Sinhalese Sports Club Ground, Colombo                           |
| 3      | Wilfred Flowers           | 5/46  | 56  | England v Australia        | 1885-02-20 | Association Ground, Sydney                                      |
| 3      | Sydney Callaway           | 5/37  | 41  | Australia v England        | 1895-01-11 | Adelaide Oval, Adelaide                                         |
| 3      | Ledger Hill               | 4/8   | 124 | England v South Africa     | 1896-03-21 | Newlands, Cape Town                                             |
| 3      | Bonnor Middleton          | 5/51  | 22  | South Africa v England     | 1899-02-14 | Old Wanderers, Johannesburg                                     |
| 3      | Charlie Llewellyn         | 6/92  | 90  | South Africa v Australia   | 1902-10-11 | Old Wanderers, Johannesburg                                     |
| 3      | John Gunn                 | 5/76  | 24  | England v Australia        | 1902-01-17 | Adelaide Oval, Adelaide                                         |
| 3      | Jack Sharp                | 3/67  | 105 | England v Australia        | 1909-08-09 | Kennington Oval, Kennington                                     |
| 3      | Claude Carter             | 6/50  | 45  | South Africa v England     | 1914-02-14 | Lord's, Durban                                                  |
| 3      | Les Townsend              | 2/22  | 40  | England v India            | 1934-01-05 | Eden Gardens, Calcutta                                          |
| 3      | Giff Vivian               | 4/58  | 100 | New Zealand v South Africa | 1932-03-04 | Basin Reserve, Wellington                                       |
| 3      | Morris Sievers            | 5/21  | 25  | Australia v England        | 1937-01-01 | Melbourne Cricket Ground, Melbourne                             |
| 3      | Jack Iverson              | 6/27  | 1   | Australia v England        | 1951-01-05 | Sydney Cricket Ground, Sydney                                   |
| 3      | Geoff Chubb               | 6/51  | 15  | South Africa v England     | 1951-07-05 | Old Trafford, Manchester                                        |
| 3      | Fred Ridgway              | 4/83  | 24  | England v India            | 1951-12-30 | Eden Gardens, Calcutta                                          |
| 3      | Robin Hobbs               | 3/25  | 15  | England v India            | 1967-07-13 | Edgbaston, Birmingham                                           |
| 3      | Murray Webb               | 2/114 | 12  | New Zealand v Australia    | 1974-03-01 | Basin Reserve, Wellington                                       |
| 3      | Graeme Beard              | 1/26  | 49  | Australia v Pakistan       | 1980-03-18 | Gaddafi Stadium, Lahore                                         |
| 3      | Robin Jackman             | 4/110 | 17  | England v Pakistan         | 1982-08-12 | Lord's Cricket Ground, St John's Wood                           |
| 3      | Saliya Ahangama           | 5/52  | 11  | Sri Lanka v India          | 1985-09-14 | Asgiriya Stadium, Kandy                                         |
| 3      | Atul Wassan               | 4/108 | 53  | India v New Zealand        | 1990-02-22 | Eden Park, Auckland                                             |
| 3      | Steve Watkin              | 4/65  | 13  | England v Australia        | 1993-08-19 | The Foster's Oval, Kennington                                   |
