+-------------------------+----------+--------------+----------------------------------------------------------------+------------+-------------------------------------------------------+
| Player                  | CareerHS | Batting Posn | Match                                                          | StartDate  | Venue                                                 |
+-------------------------+----------+--------------+----------------------------------------------------------------+------------+-------------------------------------------------------+
| Samuel Biddulph         | 60       | 9            | Marylebone Cricket Club v Cambridge University                 | 1870-06-20 | Lord's Cricket Ground, St John's Wood                 |
| George Wootton          | 64       | 10           | Marylebone Cricket Club v Cambridge University                 | 1870-06-20 | Lord's Cricket Ground, St John's Wood                 |
| George Remnant          | 62       | 9            | Kent v Hampshire                                               | 1877-07-30 | St Lawrence Ground, Canterbury                        |
| Edward Henty            | 53       | 11           | Kent v Hampshire                                               | 1877-07-30 | St Lawrence Ground, Canterbury                        |
| William Woof            | 43       | 9            | Marylebone Cricket Club v Kent                                 | 1883-05-24 | Lord's Cricket Ground, St John's Wood                 |
| Mordecai Sherwin        | 30       | 10           | Marylebone Cricket Club v Kent                                 | 1883-05-24 | Lord's Cricket Ground, St John's Wood                 |
| John Carlin             | 74       | 9            | Nottinghamshire v Kent                                         | 1901-06-13 | Private Banks Sports Ground, Catford                  |
| Tom Wass                | 37       | 11           | Nottinghamshire v Kent                                         | 1901-06-13 | Private Banks Sports Ground, Catford                  |
| George Gill             | 85       | 9            | Somerset v South Africans                                      | 1901-06-13 | County Ground, Taunton                                |
| Monty Cranfield         | 28       | 10           | Somerset v South Africans                                      | 1901-06-13 | County Ground, Taunton                                |
| Harry Huggins           | 57       | 9            | Gloucestershire v Warwickshire                                 | 1903-07-16 | Ashley Down Ground, Bristol                           |
| Edward Spry             | 39       | 10           | Gloucestershire v Warwickshire                                 | 1903-07-16 | Ashley Down Ground, Bristol                           |
| Colin Blythe            | 34       | 10           | Kent v Hampshire                                               | 1904-06-02 | County Ground, Southampton                            |
| Arthur Fielder          | 33       | 11           | Kent v Hampshire                                               | 1904-06-02 | County Ground, Southampton                            |
| Bill Fairservice        | 50       | 9            | Kent v Nottinghamshire                                         | 1904-06-16 | Trent Bridge, Nottingham                              |
| Colin Blythe            | 82       | 10           | Kent v Nottinghamshire                                         | 1904-06-16 | Trent Bridge, Nottingham                              |
| Fred Moorhouse          | 75       | 9            | Warwickshire v London County                                   | 1904-08-22 | Crystal Palace Park, Crystal Palace                   |
| Frank Field             | 34       | 11           | Warwickshire v London County                                   | 1904-08-22 | Crystal Palace Park, Crystal Palace                   |
| Razor Smith             | 63       | 9            | Surrey v Warwickshire                                          | 1907-06-27 | Kennington Oval, Kennington                           |
| Tom Rushby              | 11       | 11           | Surrey v Warwickshire                                          | 1907-06-27 | Kennington Oval, Kennington                           |
| Ben Taylor              | 54       | 9            | Nottinghamshire v Lancashire                                   | 1908-06-29 | Old Trafford, Manchester                              |
| Albert Hallam           | 57       | 10           | Nottinghamshire v Lancashire                                   | 1908-06-29 | Old Trafford, Manchester                              |
| Philip Wright           | 83       | 9            | Northamptonshire v Glamorgan                                   | 1925-06-20 | County Ground, Northampton                            |
| John Murdin             | 90       | 11           | Northamptonshire v Glamorgan                                   | 1925-06-20 | County Ground, Northampton                            |
| Les Townsend            | 98       | 9            | Derbyshire v Gloucestershire                                   | 1928-06-27 | Rutland Recreation Ground, Ilkeston                   |
| Harry Elliott           | 47       | 10           | Derbyshire v Gloucestershire                                   | 1928-06-27 | Rutland Recreation Ground, Ilkeston                   |
| Alec Hurwood            | 61       | 10           | Australians v Sussex                                           | 1930-08-30 | County Ground, Hove                                   |
| Percy Hornibrook        | 59       | 11           | Australians v Sussex                                           | 1930-08-30 | County Ground, Hove                                   |
| Stuart Boyes            | 95       | 9            | Players v Gentlemen                                            | 1930-09-10 | Cheriton Road Sports Ground, Folkestone               |
| Albert Thomas           | 74       | 11           | Players v Gentlemen                                            | 1930-09-10 | Cheriton Road Sports Ground, Folkestone               |
| Charlie Walker          | 45       | 10           | South Australia v West Indians                                 | 1930-12-05 | Adelaide Oval, Adelaide                               |
| Tim Wall                | 53       | 11           | South Australia v West Indians                                 | 1930-12-05 | Adelaide Oval, Adelaide                               |
| George Brook            | 56       | 9            | Worcestershire v Gloucestershire                               | 1933-07-01 | County Ground, New Road, Worcester                    |
| Peter Jackson           | 40       | 10           | Worcestershire v Gloucestershire                               | 1933-07-01 | County Ground, New Road, Worcester                    |
| Colin Scott             | 63       | 9            | Gloucestershire v Kent                                         | 1947-06-21 | Ashley Down Ground, Bristol                           |
| Sam Cook                | 17       | 11           | Gloucestershire v Kent                                         | 1947-06-21 | Ashley Down Ground, Bristol                           |
| Bill Johnston           | 29       | 10           | Australia v England                                            | 1948-06-24 | Lord's Cricket Ground, St John's Wood                 |
| Ernie Toshack           | 20       | 11           | Australia v England                                            | 1948-06-24 | Lord's Cricket Ground, St John's Wood                 |
| Tony Lock               | 55       | 9            | Surrey v Yorkshire                                             | 1955-06-18 | Headingley, Leeds                                     |
| Peter Loader            | 81       | 10           | Surrey v Yorkshire                                             | 1955-06-18 | Headingley, Leeds                                     |
| Alan Wilson             | 37       | 10           | Lancashire v Leicestershire                                    | 1958-07-05 | Old Trafford, Manchester                              |
| Roy Tattersall          | 58       | 11           | Lancashire v Leicestershire                                    | 1958-07-05 | Old Trafford, Manchester                              |
| David Evans             | 46       | 9            | Glamorgan v Oxford University                                  | 1961-05-17 | The University Parks, Oxford                          |
| Ossie Wheatley          | 30       | 10           | Glamorgan v Oxford University                                  | 1961-05-17 | The University Parks, Oxford                          |
| Jackie Botten           | 57       | 10           | South African Colts XI v Marylebone Cricket Club               | 1964-10-30 | Willowmoore Park Main Oval, Benoni                    |
| Mike Macaulay           | 55       | 11           | South African Colts XI v Marylebone Cricket Club               | 1964-10-30 | Willowmoore Park Main Oval, Benoni                    |
| Ken Higgs               | 63       | 10           | England v West Indies                                          | 1966-08-18 | Kennington Oval, Kennington                           |
| John Snow               | 59       | 11           | England v West Indies                                          | 1966-08-18 | Kennington Oval, Kennington                           |
| Bob Herman              | 40       | 10           | Middlesex v Surrey                                             | 1967-07-08 | Kennington Oval, Kennington                           |
| Wes Stewart             | 11       | 11           | Middlesex v Surrey                                             | 1967-07-08 | Kennington Oval, Kennington                           |
| Bob Cottam              | 62       | 9            | Northamptonshire v Gloucestershire                             | 1974-08-21 | County Ground, Northampton                            |
| Bishan Bedi             | 61       | 10           | Northamptonshire v Gloucestershire                             | 1974-08-21 | County Ground, Northampton                            |
| Max Walker              | 78       | 9            | Australia v England                                            | 1977-08-25 | Kennington Oval, Kennington                           |
| Mick Malone             | 46       | 10           | Australia v England                                            | 1977-08-25 | Kennington Oval, Kennington                           |
| Joel Garner             | 67       | 9            | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Sylvester Clarke        | 29       | 10           | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Wayne Daniel            | 53       | 11           | Barbados v Jamaica                                             | 1980-04-11 | Kensington Oval, Bridgetown                           |
| Jon Agnew               | 56       | 10           | Leicestershire v Worcestershire                                | 1982-08-07 | County Ground, New Road, Worcester                    |
| Les Taylor              | 24       | 11           | Leicestershire v Worcestershire                                | 1982-08-07 | County Ground, New Road, Worcester                    |
| John Maguire            | 61       | 9            | Queensland v Tasmania                                          | 1984-11-30 | North Tasmania Cricket Association Ground, Launceston |
| Carl Rackemann          | 17       | 10           | Queensland v Tasmania                                          | 1984-11-30 | North Tasmania Cricket Association Ground, Launceston |
| Maninder Singh          | 61       | 10           | Delhi v Jammu and Kashmir                                      | 1984-12-04 | Roshanara Club Ground, Delhi                          |
| Sunil Valson            | 38       | 11           | Delhi v Jammu and Kashmir                                      | 1984-12-04 | Roshanara Club Ground, Delhi                          |
| Courtney Walsh          | 52       | 10           | Gloucestershire v Yorkshire                                    | 1986-07-02 | The Royal and Sun Alliance County Ground, Bristol     |
| Gary Sainsbury          | 14       | 11           | Gloucestershire v Yorkshire                                    | 1986-07-02 | The Royal and Sun Alliance County Ground, Bristol     |
