+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Batsman                 | Test Matches | Innings | Runs  | Nos | HS  | Average | FC Matches | Innings | Runs  | Nos | HS  | Average | Diff   |
+-------------------------+--------------+---------+-------+-----+-----+---------+------------+---------+-------+-----+-----+---------+--------+
| Mark Ramprakash         | 52           | 92      | 2350  | 6   | 154 | 27.32   | 461        | 764     | 35659 | 93  | 301 | 53.14   | 25.81  |
| Graeme Hick             | 65           | 114     | 3383  | 6   | 178 | 31.32   | 526        | 871     | 41112 | 84  | 405 | 52.23   | 20.91  |
| Madan Lal               | 39           | 62      | 1042  | 16  | 74  | 22.65   | 232        | 327     | 10204 | 89  | 223 | 42.87   | 20.22  |
| Bill Woodfull           | 35           | 54      | 2300  | 4   | 161 | 46.00   | 174        | 245     | 13388 | 39  | 284 | 64.99   | 18.99  |
| Kaushal Silva           | 39           | 74      | 2099  | 0   | 139 | 28.36   | 209        | 335     | 13932 | 35  | 273 | 46.44   | 18.07  |
| Sanjay Manjrekar        | 37           | 61      | 2043  | 6   | 218 | 37.14   | 147        | 217     | 10252 | 31  | 377 | 55.11   | 17.97  |
| Mathew Sinclair         | 33           | 56      | 1635  | 5   | 214 | 32.05   | 188        | 319     | 13717 | 37  | 268 | 48.64   | 16.58  |
| Wasim Jaffer            | 31           | 58      | 1944  | 1   | 212 | 34.10   | 260        | 421     | 19410 | 38  | 314 | 50.67   | 16.57  |
| Stuart Williams         | 31           | 52      | 1183  | 3   | 128 | 24.14   | 151        | 250     | 9517  | 16  | 252 | 40.67   | 16.52  |
| Kumar Dharmasena        | 31           | 51      | 868   | 7   | 62  | 19.72   | 155        | 215     | 6550  | 34  | 157 | 36.18   | 16.46  |
| Ajit Wadekar            | 37           | 71      | 2113  | 3   | 143 | 31.07   | 237        | 360     | 15380 | 33  | 323 | 47.03   | 15.96  |
| Devon Smith             | 43           | 76      | 1760  | 2   | 108 | 23.78   | 219        | 399     | 14761 | 26  | 212 | 39.57   | 15.78  |
| Mike Brearley           | 39           | 66      | 1442  | 3   | 91  | 22.88   | 455        | 768     | 25186 | 102 | 312 | 37.81   | 14.92  |
| James Franklin          | 31           | 46      | 808   | 7   | 122 | 20.71   | 206        | 321     | 9780  | 46  | 219 | 35.56   | 14.84  |
| Bapu Nadkarni           | 41           | 67      | 1414  | 12  | 122 | 25.70   | 191        | 266     | 8880  | 46  | 283 | 40.36   | 14.65  |
| Keith Arthurton         | 33           | 50      | 1382  | 5   | 157 | 30.71   | 129        | 200     | 7926  | 25  | 200 | 45.29   | 14.58  |
| Nayan Mongia            | 44           | 68      | 1442  | 8   | 152 | 24.03   | 158        | 241     | 7736  | 40  | 181 | 38.48   | 14.45  |
| Mike Gatting            | 79           | 138     | 4409  | 14  | 207 | 35.55   | 551        | 861     | 36549 | 123 | 258 | 49.52   | 13.96  |
| Lahiru Thirimanne       | 42           | 81      | 2063  | 6   | 155 | 27.50   | 134        | 230     | 8522  | 24  | 187 | 41.36   | 13.86  |
