+-------------------------+------------------+------------------+-----------+--------+
| Bowler                  | Prev Wicket      | Next Wicket      | Time Diff | InDays |
+-------------------------+------------------+------------------+-----------+--------+
| Frank Woolley           | 15 - 1912-08-19  | 16 - 1930-01-24  | 17Y 158D  | 6367   |
| Charles Macartney       | 7 - 1909-07-01   | 8 - 1921-11-26   | 12Y 148D  | 4531   |
| Eric Hollies            | 7 - 1935-02-14   | 8 - 1947-06-07   | 12Y 113D  | 4496   |
| Mohammad Nazir          | 7 - 1969-10-24   | 8 - 1980-12-08   | 11Y 45D   | 4063   |
| Learie Constantine      | 5 - 1930-02-21   | 6 - 1939-08-19   | 9Y 179D   | 3466   |
| Wally Hammond           | 5 - 1927-12-24   | 6 - 1937-01-29   | 9Y 36D    | 3324   |
| Jack Cowie              | 6 - 1937-07-24   | 7 - 1946-03-29   | 8Y 248D   | 3170   |
| Dane Piedt              | 5 - 2015-12-26   | 6 - 2024-02-13   | 8Y 49D    | 2971   |
| Jimmy Blanckenberg      | 5 - 1913-12-26   | 6 - 1921-11-05   | 7Y 314D   | 2871   |
| Claude Carter           | 6 - 1914-02-14   | 7 - 1921-11-12   | 7Y 271D   | 2828   |
| Bill O'Reilly           | 54 - 1938-07-22  | 55 - 1946-03-29  | 7Y 250D   | 2807   |
| Charlie McLeod          | 5 - 1898-01-14   | 6 - 1905-07-24   | 7Y 191D   | 2747   |
| Michael Clarke          | 6 - 2004-11-03   | 7 - 2012-04-23   | 7Y 172D   | 2728   |
| Polly Umrigar           | 6 - 1955-01-15   | 7 - 1962-04-04   | 7Y 79D    | 2636   |
| Pramodya Wickramasinghe | 5 - 1992-01-02   | 6 - 1999-03-04   | 7Y 61D    | 2618   |
| Bruce Taylor            | 10 - 1965-03-12  | 11 - 1972-03-23  | 7Y 11D    | 2568   |
| Narendra Hirwani        | 22 - 1988-11-12  | 23 - 1995-11-08  | 6Y 361D   | 2552   |
| George Giffen           | 7 - 1885-03-14   | 8 - 1892-01-29   | 6Y 321D   | 2512   |
| Umesh Yadav             | 5 - 2012-01-13   | 6 - 2018-10-12   | 6Y 272D   | 2464   |
