TITLE: Highest Scores On List A Debut
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Player                        | Runs | Match                                                                        | StartDate  | Venue                                                                         | MatchId | PlayerId |
+-------------------------------+------+------------------------------------------------------------------------------+------------+-------------------------------------------------------------------------------+---------+----------+
| Alan Barrow                   | 202  | Natal v South Africa African XI                                              | 1975-10-25 | Kingsmead, Durban                                                             | a1558   | 2850     |
| Peter Carlstein               | 167  | Transvaal v North Eastern Transvaal                                          | 1970-11-21 | Berea Park, Pretoria                                                          | a450    | 1071     |
| Sean Solia                    | 152  | Auckland v Northern Districts                                                | 2017-01-15 | Eden Park Outer Oval, Auckland                                                | a25062  | 952526   |
| Liam Blackford                | 149  | Victoria v Queensland                                                        | 2026-09-19 | Allan Border Field, Brisbane                                                  | a32619  | 2315373  |
| Udara Jayasundera             | 148  | Sri Lanka Navy Sports Club v Sri Lanka Air Force Sports Club                 | 2009-09-16 | Air Force Ground, Colombo                                                     | a19979  | 288264   |
| Arosha Perera                 | 146  | Chilaw Marians Cricket Club v Sri Lanka Air Force Sports Club                | 2001-12-09 | Air Force Ground, Katunayake                                                  | a13832  | 12308    |
| Edward Lewis                  | 145  | Leeward Islands v Barbados                                                   | 1985-02-14 | Kensington Oval, Bridgetown                                                   | a4310   | 5554     |
| Paul Rayner                   | 143  | Western Province B v Orange Free State                                       | 1981-10-24 | Newlands, Cape Town                                                           | a3139   | 14404    |
| Rohan Bhosale                 | 140  | Maharashtra v Baroda                                                         | 2009-02-21 | Khandheri Cricket Ground, Rajkot                                              | a19569  | 232824   |
| Adam Bacher                   | 139  | Transvaal v Western Transvaal                                                | 1995-02-11 | Fanie du Toit Sports Complex, Potchefstroom                                   | a9080   | 2836     |
| Tanmay Agarwal                | 136  | Hyderabad v Karnataka                                                        | 2014-11-11 | Rajiv Gandhi International Stadium, Uppal, Hyderabad                          | a23656  | 273936   |
| Graeme Pollock                | 132  | South African XI v Australians                                               | 1967-03-04 | New Wanderers Stadium, Johannesburg                                           | a84     | 1211     |
| Ruturaj Gaikwad               | 132  | Maharashtra v Himachal Pradesh                                               | 2017-02-25 | Dhaneswar Rath Institute of Engineering and Management Sciences, Cuttack      | a25199  | 1358247  |
| Andrew Fletcher               | 132  | Wellington v Canterbury                                                      | 2018-10-24 | Basin Reserve, Wellington                                                     | a26856  | 1065239  |
| Sammar Gajjar                 | 132  | Saurashtra v Orissa                                                          | 2025-12-24 | Karnataka State Cricket Association Ground, Alur                              | a32053  | 2721891  |
| Jeffrey Cook                  | 130  | Northamptonshire Cricket Board v Wiltshire                                   | 1999-05-04 | County Ground, Northampton                                                    | a11901  | 8247     |
| Dian Forrester                | 128  | Free State v South Western Districts                                         | 2023-09-16 | Recreation Ground, Oudtshoorn                                                 | a30212  | 2306348  |
| Peter Richardson              | 127  | Kent v Sussex                                                                | 1963-05-22 | The Nevill Ground, Tunbridge Wells                                            | a5      | 1042     |
| Peter Burge                   | 124  | Australians v Sussex                                                         | 1964-09-14 | County Ground, Hove                                                           | a39     | 1004     |
| Mike Barnwell                 | 124  | Eastern Province v Orange Free State                                         | 1970-11-07 | Ramblers Cricket Club Ground, Bloemfontein                                    | a448    | 3425     |
| Shyamchandra Bhat             | 124  | Karnataka v Tamil Nadu                                                       | 1994-01-04 | M Chinnaswamy Stadium, Bangalore                                              | a8456   | 11632    |
| Priyank Panchal               | 123  | Gujarat v Maharashtra                                                        | 2008-02-27 | Poona Young Cricketers Hindu Gymkhana Ground, Pune                            | a18784  | 232663   |
| Parag Khanapurkar             | 123  | Mumbai v Punjab                                                              | 2010-02-22 | Sardar Patel Stadium B Ground, Motera, Ahmedabad                              | a20464  | 214302   |
| Kartik Sharma                 | 123  | Rajasthan v Maharashtra                                                      | 2024-12-21 | Sharad Pawar Cricket Academy Ground, Mumbai                                   | a31320  | 2846278  |
| Jack Hope-Bell                | 123  | Glamorgan v Sussex                                                           | 2026-07-22 | The Gnoll, Neath                                                              | a32436  | 2481473  |
| Mudassar Nazar                | 122  | Pakistan Universities v North-West Frontier Province                         | 1974-12-17 | Punjab University Ground, Lahore                                              | a1316   | 1515     |
| Rubin Hermann                 | 122  | Northerns v Northern Cape                                                    | 2017-03-26 | LC de Villiers Oval, Pretoria                                                 | a25400  | 1383510  |
| Nitya Pandya                  | 122  | Baroda v Hyderabad                                                           | 2025-12-31 | Sanosara Cricket Ground B, Laiyala                                            | a32097  | 2835465  |
| Peter Marner                  | 121  | Lancashire v Leicestershire                                                  | 1963-05-01 | Old Trafford, Manchester                                                      | a1      | 31224    |
| Andy Griffin                  | 121  | Hertfordshire v Leicestershire Cricket Board                                 | 1999-05-04 | Brunton Memorial Ground, Radlett                                              | a11898  | 9108     |
| Babul Kumar                   | 121  | Bihar v Nagaland                                                             | 2018-09-19 | Lal Bahadur Shastri Stadium, Anand                                            | a26595  | 258111   |
| Hanco Olivier                 | 119  | Free State v Boland                                                          | 2019-03-31 | Eurolux Boland Park, Paarl                                                    | a27208  | 1375084  |
| Ambati Rayudu                 | 117  | Hyderabad v Goa                                                              | 2002-01-08 | South Eastern Railway Stadium, Visakhapatnam                                  | a13973  | 8931     |
| Jay Pande                     | 117  | Maharashtra v Goa                                                            | 2018-09-19 | Karnataka State Cricket Association Ground No 3, Alur                         | a26596  | 923986   |
| Swastik Chikara               | 117  | Uttar Pradesh v Himachal Pradesh                                             | 2023-11-25 | Mahajan Cricket Academy Ground, Chandigarh                                    | a30466  | 2736377  |
| Qazzafi Mairajuddin           | 116  | Hyderabad v Sui Southern Gas Corporation                                     | 2016-01-16 | Marghzar Cricket Ground, Islamabad                                            | a24558  | 256938   |
| Ayush Loharuka                | 116  | Bihar v Arunachal Pradesh                                                    | 2025-12-24 | Jharkhand State Cricket Association Oval Ground, Ranchi                       | a32037  | 2482569  |
| Siddhesh Lad                  | 115  | Mumbai v Saurashtra                                                          | 2013-02-17 | Pune Club Ground, Pune                                                        | a22417  | 257769   |
| Scott Janett                  | 115  | Canterbury v Otago                                                           | 2025-02-06 | University Oval, Dunedin                                                      | a31453  | 2209957  |
| Harnoor Singh                 | 115  | Punjab v Chhattisgarh                                                        | 2025-12-26 | Anantam Ground, Jaipur                                                        | a32062  | 2482628  |
| Terry Hunte                   | 114  | Barbados v Guyana                                                            | 1985-01-30 | Kensington Oval, Bridgetown                                                   | a4300   | 9257     |
| Kashif Ali                    | 114  | Worcestershire v Kent                                                        | 2022-08-02 | County Ground, New Road, Worcester                                            | a29313  | 1842479  |
| Tejasvi Dahiya                | 114  | Delhi v Tripura                                                              | 2024-12-31 | Gymkhana Ground, Secunderabad                                                 | a31386  | 2854641  |
| Manoj Joglekar                | 113  | Bombay v Saurashtra                                                          | 1995-01-06 | University Ground, Bhavnagar                                                  | a9041   | 7627     |
| Neil Hancock                  | 113  | Devon v Berkshire                                                            | 1999-05-19 | The Recreation Ground, Torquay                                                | a11915  | 9261     |
| Aiden Markram                 | 111  | Northerns v South Western Districts                                          | 2014-10-12 | Recreation Ground, Oudtshoorn                                                 | a23564  | 1391761  |
| Udamalpet Radhakrishnan       | 110  | Railways v Bihar                                                             | 1989-03-12 | Gymkhana Ground, Secunderabad                                                 | a5972   | 18352    |
| Abhinav Kumar                 | 110  | Hyderabad v Tamil Nadu                                                       | 2005-01-12 | Dr Rajendra Prasad Stadium, Margao                                            | a16348  | 8706     |
| Saleem Raza                   | 109  | Lahore City v National Bank of Pakistan                                      | 1987-09-13 | Gaddafi Stadium, Lahore                                                       | a5413   | 2144     |
| Corey Richards                | 109  | New South Wales v Western Australia                                          | 1996-10-13 | North Sydney Oval, Sydney                                                     | a10100  | 4362     |
| Jiveshen Pillay               | 109  | Northerns v Border                                                           | 2017-10-15 | SuperSport Park, Centurion                                                    | a25764  | 1922140  |
| Feroze Khushi                 | 109  | Essex v Durham                                                               | 2021-08-08 | Emirates Riverside, Chester-le-Street                                         | a28510  | 1304272  |
| Sadiq Mohammad                | 108  | Gloucestershire v Glamorgan                                                  | 1972-04-29 | St Helen's, Swansea                                                           | a640    | 1348     |
| Harry Hall                    | 108  | Berkshire v Leicestershire                                                   | 1996-06-25 | Grace Road, Leicester                                                         | a9920   | 9258     |
| Vishwas Bhalla                | 108  | Punjab v Himachal Pradesh                                                    | 2009-02-23 | Himachal Pradesh Cricket Association Stadium, Dharamsala                      | a19585  | 15577    |
| Theunis de Bruyn              | 108  | Titans v Dolphins                                                            | 2014-10-10 | SuperSport Park, Centurion                                                    | a23555  | 344564   |
| Kevin Rice                    | 107  | Devon v Warwickshire                                                         | 1985-07-03 | Edgbaston, Birmingham                                                         | a4502   | 34804    |
| Samarth Seth                  | 107  | Arunachal Pradesh v Mizoram                                                  | 2018-09-19 | Gokulbhai Somabhai Patel Stadium, Nadiad                                      | a26593  | 1772146  |
| Michael English               | 107  | Scotland v Namibia                                                           | 2024-07-26 | Forthill, Dundee                                                              | a30985  | 972791   |
| Arshin Kulkarni               | 107  | Maharashtra v Punjab                                                         | 2025-01-11 | Kotambi Stadium, Vadodara                                                     | a31441  | 2482842  |
| Maurice Hallam                | 106  | Leicestershire v Lancashire                                                  | 1963-05-01 | Old Trafford, Manchester                                                      | a1      | 10882    |
| Ryan Gibson                   | 106  | Cricket Australia XI v Queensland                                            | 2016-10-01 | Allan Border Field, Brisbane                                                  | a24913  | 1230393  |
| Neyan Kangayan                | 106  | Puducherry v Arunachal Pradesh                                               | 2024-12-31 | Sardar Patel Stadium B Ground, Motera, Ahmedabad                              | a31381  | 2288813  |
| Alan Bell                     | 105  | Hertfordshire v Berkshire                                                    | 1966-04-30 | Lucas Lane, Hitchin                                                           | a62     | 34487    |
| Andrew Courtice               | 105  | Queensland v Victoria                                                        | 1983-01-01 | Melbourne Cricket Ground, Melbourne                                           | a3516   | 8209     |
| James Pamment                 | 105  | Auckland v Wellington                                                        | 1993-12-27 | Basin Reserve, Wellington                                                     | a8428   | 18660    |
| Matt Compton                  | 105  | Hampshire Cricket Board v Suffolk                                            | 1999-05-04 | The Victory Ground, Bury St Edmunds                                           | a11904  | 9213     |
| Ravi Nagra                    | 105  | Herefordshire v Worcestershire                                               | 2001-07-11 | County Ground, New Road, Worcester                                            | a13600  | 10808    |
| Uday Kaul                     | 105  | Punjab v Jammu and Kashmir                                                   | 2006-02-14 | Harbax Singh Stadium, Delhi                                                   | a17223  | 12592    |
| Ayana Siriwardhana            | 105  | Moors Sports Club v Sri Lanka Navy Sports Club                               | 2019-03-04 | Navy Ground, Welisara                                                         | a27067  | 1740815  |
| Ken Suttle                    | 104  | Sussex v Kent                                                                | 1963-05-22 | The Nevill Ground, Tunbridge Wells                                            | a5      | 33137    |
| Christopher Dey               | 104  | North Eastern Transvaal v Transvaal                                          | 1970-11-21 | Berea Park, Pretoria                                                          | a450    | 13316    |
| Imran Javed                   | 104  | Karachi Blues v Faisalabad                                                   | 1999-04-04 | Iqbal Stadium, Faisalabad                                                     | a11786  | 8264     |
| Matthew Featherstone          | 104  | Kent Cricket Board v Denmark                                                 | 1999-05-04 | Mote Park, Maidstone                                                          | a11899  | 9273     |
| David Paynter                 | 104  | Northamptonshire Cricket Board v Northamptonshire                            | 2001-06-27 | County Ground, Northampton                                                    | a13573  | 34325    |
