+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
| Team                                            | # Of Matches(Draw) | Start Streak                                                                            | End Streak                                                                                |
+-------------------------------------------------+--------------------+-----------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------+
| Maharashtra                                     | 19                 | Maharashtra v Baroda(1973-11-24)                                                        | Maharashtra v Bombay(1976-12-25)                                                          |
| Warwickshire                                    | 15                 | Warwickshire v Derbyshire(1927-06-04)                                                   | Warwickshire v Middlesex(1927-07-27)                                                      |
| Pakistanis                                      | 15                 | Barbados v Pakistanis(1958-01-11)                                                       | Worcestershire v Pakistanis(1962-05-02)                                                   |
| Moors Sports Club                               | 15                 | Moors Sports Club v Sri Lanka Army Sports Club(2016-12-15)                              | Badureliya Sports Club v Moors Sports Club(2018-02-01)                                    |
| Oxford University                               | 14                 | Oxford University v Cambridge University(1989-07-05)                                    | Oxford University v Gloucestershire(1991-05-15)                                           |
| Nottinghamshire                                 | 14                 | Somerset v Nottinghamshire(1930-06-18)                                                  | Kent v Nottinghamshire(1930-08-06)                                                        |
| New Zealanders                                  | 14                 | Indian Universities v New Zealanders(1969-09-19)                                        | Windward Islands v New Zealanders(1972-04-14)                                             |
| South Africans                                  | 14                 | Sussex v South Africans(1998-06-12)                                                     | India A v South Africans(2003-07-19)                                                      |
| Saurashtra                                      | 14                 | Maharashtra v Saurashtra(1987-12-19)                                                    | Gujarat v Saurashtra(1990-12-23)                                                          |
| Indian Starlets                                 | 14                 | Lahore v Indian Starlets(1960-04-08)                                                    | Hyderabad Cricket Association XI v Indian Starlets(1966-10-14)                            |
| Sri Lanka Board President's XI                  | 14                 | Sri Lanka Board President's XI v DH Robins' XI(1977-10-21)                              | Sri Lanka Board President's XI v Tamil Union Cricket and Athletic Club(1992-07-09)        |
| Sri Lankans                                     | 14                 | KwaZulu-Natal v Sri Lankans(2000-12-21)                                                 | British Universities v Sri Lankans(2006-04-24)                                            |
| Badureliya Sports Club                          | 14                 | Colombo Cricket Club v Badureliya Sports Club(2018-01-26)                               | Badureliya Sports Club v Ragama Cricket Club(2020-02-08)                                  |
