+-----------------+----------------------------------------------------------+-------------+
| Player          | FC Ground-Count                                          | Total Tests |
+-----------------+----------------------------------------------------------+-------------+
| ME Trescothick  | The Cooper Associates County Ground, Taunton-145         | 76          |
| AJ Lamb         | County Ground, Northampton-122                           | 79          |
| GA Gooch        | The Cloudfm County Ground, Chelmsford-105                | 118         |
| TW Graveney     | County Ground, New Road, Worcester-98                    | 79          |
| WR Hammond      | County Ground, Bristol-97                                | 85          |
| DI Gower        | Uptonsteel County Ground, Leicester-90                   | 117         |
| DL Underwood    | Spitfire Ground, St Lawrence, Canterbury-90              | 86          |
| TW Graveney     | County Ground, Bristol-88                                | 79          |
| MC Cowdrey      | Spitfire Ground, St Lawrence, Canterbury-72              | 114         |
| IVA Richards    | The Cooper Associates County Ground, Taunton-70          | 121         |
| IT Botham       | The Cooper Associates County Ground, Taunton-70          | 102         |
| Zaheer Abbas    | County Ground, Bristol-65                                | 78          |
| N Hussain       | The Cloudfm County Ground, Chelmsford-64                 | 96          |
| AN Cook         | The Cloudfm County Ground, Chelmsford-63                 | 161         |
| APE Knott       | Spitfire Ground, St Lawrence, Canterbury-62              | 95          |
| MJ Prior        | The 1st Central County Ground, Hove-62                   | 79          |
| CA Walsh        | County Ground, Bristol-60                                | 132         |
| Imran Khan      | The 1st Central County Ground, Hove-56                   | 88          |
| CG Greenidge    | Dean Park, Bournemouth-51                                | 108         |
| CG Greenidge    | County Ground, Southampton-50                            | 108         |
| HP Tillakaratne | Nondescripts Cricket Club Ground, Colombo-50             | 83          |
| HMRKB Herath    | Moors Sports Club Ground, Colombo-49                     | 93          |
| MD Marshall     | County Ground, Southampton-46                            | 81          |
| G Boycott       | North Marine Road, Scarborough-45                        | 108         |
| WR Hammond      | Wagon Works Ground, Gloucester-45                        | 85          |
| L Hutton        | North Marine Road, Scarborough-44                        | 79          |
| JG Wright       | The Incora County Ground, Derby-43                       | 82          |
| G Boycott       | Park Avenue Cricket Ground, Bradford-42                  | 108         |
| TG Evans        | Spitfire Ground, St Lawrence, Canterbury-42              | 91          |
| DL Underwood    | The Nevill Ground, Tunbridge Wells-41                    | 86          |
| DL Underwood    | Mote Park, Maidstone-41                                  | 86          |
| CEL Ambrose     | County Ground, Northampton-40                            | 98          |
| WR Hammond      | College Ground, Cheltenham-38                            | 85          |
| L Hutton        | Bramall Lane, Sheffield-38                               | 79          |
| L Hutton        | Park Avenue Cricket Ground, Bradford-36                  | 79          |
| BA Stokes       | Emirates Riverside, Chester-le-Street-36                 | 71          |
| CL Hooper       | Spitfire Ground, St Lawrence, Canterbury-35              | 102         |
| AJ Lamb         | PPC Newlands, Cape Town-35                               | 79          |
| DL Underwood    | Cheriton Road Sports Ground, Folkestone-34               | 86          |
| TW Graveney     | College Ground, Cheltenham-34                            | 79          |
| MD Marshall     | Dean Park, Bournemouth-33                                | 81          |
| GA Gooch        | Valentine's Park, Ilford-31                              | 118         |
| MC Cowdrey      | The University Parks, Oxford-31                          | 114         |
| CG Greenidge    | United Services Ground, Portsmouth-31                    | 108         |
| IT Botham       | County Ground, New Road, Worcester-31                    | 102         |
| TG Evans        | North Marine Road, Scarborough-30                        | 91          |
| KC Sangakkara   | Nondescripts Cricket Club Ground, Colombo-29             | 134         |
| GA Gooch        | Castle Park Cricket Ground, Colchester-29                | 118         |
| WPUJC Vaas      | Colts Cricket Club Ground, Colombo-29                    | 111         |
| G Boycott       | Bramall Lane, Sheffield-29                               | 108         |
| JL Langer       | The Cooper Associates County Ground, Taunton-28          | 105         |
| APE Knott       | Mote Park, Maidstone-28                                  | 95          |
| MW Gatting      | Uxbridge Cricket Club Ground, Uxbridge-28                | 79          |
| Zaheer Abbas    | College Ground, Cheltenham-28                            | 78          |
| GA Gooch        | Southchurch Park, Southend-on-Sea-27                     | 118         |
| MC Cowdrey      | The Nevill Ground, Tunbridge Wells-27                    | 114         |
| MC Cowdrey      | Mote Park, Maidstone-27                                  | 114         |
| APE Knott       | The Nevill Ground, Tunbridge Wells-27                    | 95          |
| TW Graveney     | North Marine Road, Scarborough-27                        | 79          |
| MA Atherton     | FP Fenner's Ground, Cambridge-26                         | 115         |
| Imran Khan      | County Ground, New Road, Worcester-26                    | 88          |
| SK Warne        | The Ageas Bowl, Southampton-25                           | 145         |
| TW Graveney     | Wagon Works Ground, Gloucester-25                        | 79          |
| JB Statham      | Stanley Park, Blackpool-25                               | 70          |
| CA Walsh        | College Ground, Cheltenham-24                            | 132         |
| ME Waugh        | The Cloudfm County Ground, Chelmsford-24                 | 128         |
| DI Gower        | County Ground, Southampton-24                            | 117         |
| MC Cowdrey      | Crabble Athletic Ground, Dover-24                        | 114         |
| JG Wright       | Queen's Park, Chesterfield-23                            | 82          |
| TT Samaraweera  | Colts Cricket Club Ground, Colombo-23                    | 81          |
| MEK Hussey      | County Ground, Northampton-23                            | 79          |
| Javed Miandad   | St Helen's, Swansea-22                                   | 124         |
| MC Cowdrey      | Bat and Ball Ground, Gravesend-22                        | 114         |
| APE Knott       | Cheriton Road Sports Ground, Folkestone-22               | 95          |
| CA Pujara       | Madhavrao Scindia Cricket Ground, Rajkot-22              | 91          |
| TM Dilshan      | Bloomfield Cricket and Athletic Club Ground, Colombo-22  | 87          |
| MD Marshall     | United Services Ground, Portsmouth-22                    | 81          |
| Javed Miandad   | Sophia Gardens, Cardiff-21                               | 124         |
| Javed Miandad   | The 1st Central County Ground, Hove-21                   | 124         |
| IVA Richards    | Clarence Park, Weston-super-Mare-21                      | 121         |
| TG Evans        | Bat and Ball Ground, Gravesend-21                        | 91          |
| GR Viswanath    | Lal Bahadur Shastri Stadium, Hyderabad-21                | 91          |
| WR Hammond      | Cheriton Road Sports Ground, Folkestone-21               | 85          |
| Misbah-ul-Haq   | Iqbal Stadium, Faisalabad-21                             | 75          |
| VVS Laxman      | Gymkhana Ground, Secunderabad-20                         | 134         |
| MC Cowdrey      | Cheriton Road Sports Ground, Folkestone-20               | 114         |
| G Boycott       | Acklam Park, Middlesbrough-20                            | 108         |
| DC Boon         | Emirates Riverside, Chester-le-Street-20                 | 107         |
| Azhar Ali       | Khan Research Laboratories Ground, Rawalpindi-20         | 90          |
