+-------------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                                | Matches | Wins | Loss | Tied | Others |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| [Azhar Mahmood, DI Stevens, GO Jones, JC Tredwell, JL Denly, JM Kemp, M van Jaarsveld, R McLaren, RWT Key, SJ Cook, Yasir Arafat]                     | 10      | 6    | 4    | 0    | 0      |
| [AD Hales, BRM Taylor, DT Christian, HF Gurney, IS Sodhi, JT Ball, MH Wessels, SJ Mullaney, SR Patel, TJ Moores, WT Root]                             | 10      | 8    | 1    | 0    | 1      |
| [CJ Anderson, J Overton, JC Hildreth, JE Taylor, JG Myburgh, L Gregory, MTC Waller, PD Trego, RE van der Merwe, SM Davies, TB Abell]                  | 9       | 6    | 3    | 0    | 0      |
| [CF Hughes, GT Park, JL Clare, LD Sutton, MJ Guptill, PS Jones, RA Whiteley, TC Knight, TD Groenewald, WJ Durston, WL Madsen]                         | 8       | 3    | 4    | 0    | 1      |
| [AB McDonald, Abdul Razzaq, CW Henderson, HF Gurney, J du Toit, JJ Cobb, JWA Taylor, MJ Hoggard, PA Nixon, WA White, WI Jefferson]                    | 8       | 4    | 1    | 0    | 3      |
| [AL Davies, DJ Vilas, GJ Maxwell, JJ Bohannon, JP Faulkner, KK Jennings, LS Livingstone, MW Parkinson, RJ Gleeson, S Mahmood, SJ Croft]               | 8       | 6    | 2    | 0    | 0      |
| [AA Noffke, BF Smith, CD Whelan, DKH Mitchell, GJ Batty, GM Andrew, ID Fisher, MM Ali, SC Moore, SM Davies, VS Solanki]                               | 7       | 4    | 3    | 0    | 0      |
| [AV Suppiah, CAJ Meschede, JC Buttler, JC Hildreth, KA Pollard, L Gregory, M Kartik, ME Trescothick, MTC Waller, PD Trego, SP Kirby]                  | 7       | 4    | 2    | 0    | 1      |
| [AN Kervezee, BJM Scott, BL D'Oliveira, DKH Mitchell, DS Lucas, GM Andrew, JD Shantry, JG Cameron, MM Ali, PJ Hughes, VS Solanki]                     | 7       | 4    | 3    | 0    | 0      |
| [AG Wakely, Azharullah, CL White, D Murphy, DJ Willey, JD Middlebrook, KJ Coetzer, LM Daggett, MNW Spriegel, RE Levi, SP Crook]                       | 7       | 6    | 1    | 0    | 0      |
