+----------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                         | Matches | Wins | Loss | Tied | Others |
+----------------------------------------------------------------+---------+------+------+------+--------+
| [A Kumble, RS Dravid, SC Ganguly, SR Tendulkar]                | 86      | 25   | 25   | 0    | 36     |
| [RS Dravid, SC Ganguly, SR Tendulkar, VVS Laxman]              | 80      | 26   | 27   | 0    | 27     |
| [RS Dravid, SR Tendulkar, V Sehwag, VVS Laxman]                | 77      | 27   | 21   | 0    | 29     |
| [A Kumble, RS Dravid, SR Tendulkar, VVS Laxman]                | 73      | 22   | 23   | 0    | 28     |
| [A Kumble, RS Dravid, SC Ganguly, VVS Laxman]                  | 71      | 21   | 23   | 0    | 27     |
| [Harbhajan Singh, RS Dravid, SR Tendulkar, VVS Laxman]         | 71      | 27   | 17   | 0    | 27     |
| [GD McGrath, ME Waugh, SK Warne, SR Waugh]                     | 68      | 44   | 14   | 0    | 10     |
| [CG Greenidge, DL Haynes, IVA Richards, PJL Dujon]             | 67      | 39   | 6    | 0    | 22     |
| [AC Gilchrist, JL Langer, ML Hayden, RT Ponting]               | 67      | 49   | 8    | 0    | 10     |
| [RS Dravid, SR Tendulkar, VVS Laxman, Z Khan]                  | 67      | 26   | 19   | 0    | 22     |
| [AN Cook, IR Bell, JM Anderson, SCJ Broad]                     | 67      | 27   | 22   | 0    | 18     |
| [IA Healy, MA Taylor, ME Waugh, SR Waugh]                      | 66      | 33   | 16   | 0    | 17     |
| [AB de Villiers, GC Smith, HM Amla, JH Kallis]                 | 66      | 36   | 14   | 0    | 16     |
| [A Kumble, SC Ganguly, SR Tendulkar, VVS Laxman]               | 65      | 19   | 21   | 0    | 25     |
| [GC Smith, JH Kallis, M Ntini, MV Boucher]                     | 65      | 34   | 19   | 0    | 12     |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla]                  | 65      | 35   | 14   | 0    | 16     |
| [CG Greenidge, DL Haynes, IVA Richards, MD Marshall]           | 64      | 37   | 6    | 0    | 21     |
| [DL Haynes, IVA Richards, MD Marshall, PJL Dujon]              | 64      | 38   | 8    | 0    | 18     |
| [IA Healy, MA Taylor, ME Waugh, SK Warne]                      | 64      | 35   | 14   | 0    | 15     |
| [IA Healy, ME Waugh, SK Warne, SR Waugh]                       | 64      | 32   | 18   | 0    | 14     |
| [AB de Villiers, DW Steyn, GC Smith, JH Kallis]                | 64      | 35   | 14   | 0    | 15     |
| [DB Vengsarkar, Kapil Dev, SM Gavaskar, SMH Kirmani]           | 63      | 8    | 15   | 0    | 40     |
| [AB de Villiers, GC Smith, JH Kallis, MV Boucher]              | 63      | 32   | 17   | 0    | 14     |
| [AN Cook, JE Root, JM Anderson, SCJ Broad]                     | 63      | 27   | 23   | 0    | 13     |
| [DPMD Jayawardene, MS Atapattu, ST Jayasuriya, WPUJC Vaas]     | 62      | 25   | 19   | 0    | 18     |
| [DPMD Jayawardene, KC Sangakkara, TM Dilshan, TT Samaraweera]  | 62      | 23   | 21   | 0    | 18     |
| [CG Greenidge, DL Haynes, MD Marshall, PJL Dujon]              | 61      | 36   | 7    | 0    | 18     |
| [M Muralitharan, MS Atapattu, ST Jayasuriya, WPUJC Vaas]       | 61      | 25   | 18   | 0    | 18     |
| [DPMD Jayawardene, KC Sangakkara, M Muralitharan, WPUJC Vaas]  | 61      | 30   | 18   | 0    | 13     |
