+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| Player                                                                                                                                              | Matches | Wins | Loss | Tied | Others |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+---------+------+------+------+--------+
| [SR Tendulkar]                                                                                                                                      | 200     | 72   | 56   | 0    | 72     |
| [JM Anderson]                                                                                                                                       | 169     | 73   | 60   | 0    | 36     |
| [SR Waugh]                                                                                                                                          | 168     | 86   | 36   | 1    | 45     |
| [RT Ponting]                                                                                                                                        | 168     | 108  | 31   | 0    | 29     |
| [JH Kallis]                                                                                                                                         | 166     | 82   | 42   | 0    | 42     |
| [RS Dravid, SR Tendulkar]                                                                                                                           | 146     | 50   | 44   | 0    | 52     |
| [JH Kallis, MV Boucher]                                                                                                                             | 137     | 70   | 35   | 0    | 32     |
| [RS Dravid, VVS Laxman]                                                                                                                             | 132     | 45   | 41   | 0    | 46     |
| [AN Cook, JM Anderson]                                                                                                                              | 130     | 55   | 45   | 0    | 30     |
| [DPMD Jayawardene, KC Sangakkara]                                                                                                                   | 126     | 51   | 39   | 0    | 36     |
| [JM Anderson, SCJ Broad]                                                                                                                            | 126     | 53   | 41   | 0    | 32     |
| [RS Dravid, SR Tendulkar, VVS Laxman]                                                                                                               | 118     | 40   | 39   | 0    | 39     |
| [AN Cook, JM Anderson, SCJ Broad]                                                                                                                   | 111     | 49   | 35   | 0    | 27     |
| [RS Dravid, SC Ganguly, SR Tendulkar]                                                                                                               | 103     | 33   | 31   | 0    | 39     |
| [A Kumble, RS Dravid, SR Tendulkar]                                                                                                                 | 97      | 29   | 28   | 0    | 40     |
| [ME Waugh, SK Warne, SR Waugh]                                                                                                                      | 92      | 54   | 21   | 0    | 17     |
| [A Kumble, RS Dravid, SC Ganguly]                                                                                                                   | 92      | 27   | 27   | 0    | 38     |
| [A Kumble, RS Dravid, SC Ganguly, SR Tendulkar]                                                                                                     | 86      | 25   | 25   | 0    | 36     |
| [RS Dravid, SC Ganguly, SR Tendulkar, VVS Laxman]                                                                                                   | 80      | 26   | 27   | 0    | 27     |
| [RS Dravid, SR Tendulkar, V Sehwag, VVS Laxman]                                                                                                     | 77      | 27   | 21   | 0    | 29     |
| [A Kumble, RS Dravid, SR Tendulkar, VVS Laxman]                                                                                                     | 73      | 22   | 23   | 0    | 28     |
| [A Kumble, RS Dravid, SC Ganguly, VVS Laxman]                                                                                                       | 71      | 21   | 23   | 0    | 27     |
| [Harbhajan Singh, RS Dravid, SR Tendulkar, VVS Laxman]                                                                                              | 71      | 27   | 17   | 0    | 27     |
| [A Kumble, RS Dravid, SC Ganguly, SR Tendulkar, VVS Laxman]                                                                                         | 65      | 19   | 21   | 0    | 25     |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis]                                                                                            | 60      | 33   | 12   | 0    | 15     |
| [CG Greenidge, DL Haynes, IVA Richards, MD Marshall, PJL Dujon]                                                                                     | 58      | 35   | 6    | 0    | 17     |
| [IA Healy, MA Taylor, ME Waugh, SK Warne, SR Waugh]                                                                                                 | 55      | 30   | 13   | 0    | 12     |
| [DPMD Jayawardene, M Muralitharan, MS Atapattu, ST Jayasuriya, WPUJC Vaas]                                                                          | 54      | 23   | 16   | 0    | 15     |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel]                                                                                  | 47      | 25   | 10   | 0    | 12     |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, MV Boucher]                                                                                | 45      | 25   | 10   | 0    | 10     |
| [CG Greenidge, DL Haynes, IVA Richards, MD Marshall, PJL Dujon, RB Richardson]                                                                      | 43      | 25   | 6    | 0    | 12     |
| [AB de Villiers, AG Prince, GC Smith, HM Amla, JH Kallis, MV Boucher]                                                                               | 42      | 23   | 9    | 0    | 10     |
| [AC Gilchrist, GD McGrath, JL Langer, ML Hayden, RT Ponting, SK Warne]                                                                              | 40      | 29   | 3    | 0    | 8      |
| [AN Cook, GP Swann, JM Anderson, KP Pietersen, MJ Prior, SCJ Broad]                                                                                 | 40      | 19   | 11   | 0    | 10     |
| [AB de Villiers, AG Prince, DW Steyn, GC Smith, HM Amla, JH Kallis, MV Boucher]                                                                     | 37      | 21   | 7    | 0    | 9      |
| [AB de Villiers, DW Steyn, GC Smith, HM Amla, JH Kallis, M Morkel, MV Boucher]                                                                      | 33      | 17   | 8    | 0    | 8      |
