+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
+--------------------------+--------------------------+-------+
| Saleem Malik             | Mohammad Azharuddin      | 8     |
| Ross Taylor              | Mike Hussey              | 8     |
| Shahid Afridi            | Sachin Tendulkar         | 7     |
| Aravinda de Silva        | Mohammad Azharuddin      | 6     |
| Ijaz Ahmed               | Mohammad Azharuddin      | 6     |
| Saeed Anwar              | Brian Lara               | 6     |
| Ricky Ponting            | Stephen Fleming          | 6     |
| Shoaib Malik             | Mohammad Kaif            | 6     |
| Virender Sehwag          | Tillakaratne Dilshan     | 6     |
| Rameez Raja              | Gus Logie                | 5     |
| Ijaz Ahmed               | Steve Waugh              | 5     |
| Brian Lara               | Jonty Rhodes             | 5     |
| Andrew Hudson            | Mohammad Azharuddin      | 5     |
| Saeed Anwar              | Muttiah Muralitharan     | 5     |
| Sanath Jayasuriya        | Inzamam-ul-Haq           | 5     |
| Nathan Astle             | Alistair Campbell        | 5     |
| Rahul Dravid             | Shahid Afridi            | 5     |
| Adam Gilchrist           | Chris Cairns             | 5     |
| Sachin Tendulkar         | Ricky Ponting            | 5     |
| Adam Gilchrist           | Nathan Astle             | 5     |
| Ricky Ponting            | Sachin Tendulkar         | 5     |
| Matthew Hayden           | Mahela Jayawardene       | 5     |
| Kumar Sangakkara         | Sachin Tendulkar         | 5     |
| Tillakaratne Dilshan     | Mike Hussey              | 5     |
| Mahela Jayawardene       | Rohit Sharma             | 5     |
| Kumar Sangakkara         | Suresh Raina             | 5     |
| Dilip Vengsarkar         | Viv Richards             | 4     |
| Kapil Dev                | Desmond Haynes           | 4     |
| Arjuna Ranatunga         | Rameez Raja              | 4     |
| Aravinda de Silva        | Saleem Malik             | 4     |
| Shoaib Mohammad          | Viv Richards             | 4     |
| Kris Srikkanth           | Roshan Mahanama          | 4     |
| Richie Richardson        | Wasim Akram              | 4     |
| Wasim Akram              | Carl Hooper              | 4     |
| Hashan Tillakaratne      | Ijaz Ahmed               | 4     |
| Rameez Raja              | Asanka Gurusinha         | 4     |
| Arjuna Ranatunga         | Wasim Akram              | 4     |
| Sachin Tendulkar         | Steve Waugh              | 4     |
| Sachin Tendulkar         | Alistair Campbell        | 4     |
| Phil Simmons             | Mark Waugh               | 4     |
| Alec Stewart             | Brian Lara               | 4     |
| Saeed Anwar              | Mohammad Azharuddin      | 4     |
| Inzamam-ul-Haq           | Sanath Jayasuriya        | 4     |
| Mohammad Azharuddin      | Alistair Campbell        | 4     |
| Moin Khan                | Sachin Tendulkar         | 4     |
| Mohammad Azharuddin      | Azhar Mahmood            | 4     |
| Shahid Afridi            | Muttiah Muralitharan     | 4     |
| Sachin Tendulkar         | Inzamam-ul-Haq           | 4     |
| Sanath Jayasuriya        | Rahul Dravid             | 4     |
| Sourav Ganguly           | Shahid Afridi            | 4     |
| Stephen Fleming          | Shaun Pollock            | 4     |
| Adam Gilchrist           | Allan Donald             | 4     |
| Shaun Pollock            | Inzamam-ul-Haq           | 4     |
| Sanath Jayasuriya        | Herschelle Gibbs         | 4     |
| Sanath Jayasuriya        | Sourav Ganguly           | 4     |
| Sanath Jayasuriya        | Nasser Hussain           | 4     |
| Marvan Atapattu          | Nick Knight              | 4     |
| Sourav Ganguly           | Alistair Campbell        | 4     |
| Chris Gayle              | Shahid Afridi            | 4     |
| Mohammad Yousuf          | Stephen Fleming          | 4     |
| Mahela Jayawardene       | Yuvraj Singh             | 4     |
| Lou Vincent              | Ricky Ponting            | 4     |
| Virender Sehwag          | Chris Gayle              | 4     |
| Boeta Dippenaar          | Mahela Jayawardene       | 4     |
| Kumar Sangakkara         | Virender Sehwag          | 4     |
| Virender Sehwag          | Shahid Afridi            | 4     |
| Alok Kapali              | Younis Khan              | 4     |
