+-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+---------------------------+
| Streak Size | Openers                                                                                                                                                                                                                                                                                                     | Start                      | End                       |
+-------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+---------------------------+
| 9           | [[Hiral Patel, Trevin Bastiampillai], [Hiral Patel, Rizwan Cheema], [Hiral Patel, Nitish Kumar], [John Davison, Ruvindu Gunasekera], [John Davison, Nitish Kumar], [Nitish Kumar, Ruvindu Gunasekera], [Rizwan Cheema, Ruvindu Gunasekera], [Hiral Patel, Ruvindu Gunasekera], [Hiral Patel, John Davison]] |  v Kenya 2010-07-10        |  v Afghanistan 2011-08-07 |
| 8           | [[Mohsin Khan, Saadat Ali], [Saadat Ali, Sajid Ali], [Mohsin Khan, Saleem Malik], [Mohsin Khan, Shoaib Mohammad], [Saadat Ali, Shoaib Mohammad], [Mohsin Khan, Mudassar Nazar], [Mohsin Khan, Wasim Raja], [Mudassar Nazar, Qasim Umar]]                                                                    |  v India 1984-10-12        |  v New Zealand 1985-02-16 |
| 8           | [[Rameez Raja, Sajid Ali], [Mudassar Nazar, Rameez Raja], [Rameez Raja, Saleem Yousuf], [Moin-ul-Atiq, Saeed Anwar], [Moin-ul-Atiq, Rameez Raja], [Rameez Raja, Shoaib Mohammad], [Javed Miandad, Saeed Anwar], [Mudassar Nazar, Shoaib Mohammad]]                                                          |  v Australia 1988-12-11    |  v New Zealand 1989-03-04 |
| 8           | [[Stuart Carlisle, Vusimuzi Sibanda], [Dion Ebrahim, Vusimuzi Sibanda], [Grant Flower, Mark Vermeulen], [Grant Flower, Vusimuzi Sibanda], [Grant Flower, Tatenda Taibu], [Tatenda Taibu, Vusimuzi Sibanda], [Barney Rogers, Grant Flower], [Barney Rogers, Mark Vermeulen]]                                 |  v India 2004-01-14        |  v Bangladesh 2004-03-14  |
| 8           | [[Daniel Morgan, Kwame Tucker], [Kwame Tucker, Treadwell Gibbons], [Azeem Pitcher, Treadwell Gibbons], [Delyone Borden, Steven Outerbridge], [George O'Brien, Steven Outerbridge], [Kwame Tucker, Steven Outerbridge], [Dean Minors, Kwame Tucker], [Dean Minors, Steven Outerbridge]]                      |  v Canada 2006-05-17       |  v Canada 2006-11-27      |
| 7           | [[Dennis Amiss, Mike Brearley], [Brian Rose, Mike Brearley], [Brian Rose, Graham Roope], [Geoff Boycott, Mike Brearley], [Barry Wood, Geoff Boycott], [Barry Wood, David Lloyd], [Graham Gooch, Mike Brearley]]                                                                                             |  v Australia 1977-06-06    |  v New Zealand 1978-07-17 |
| 7           | [[Majid Khan, Sadiq Mohammad], [Sadiq Mohammad, Taslim Arif], [Mudassar Nazar, Sadiq Mohammad], [Saleem Pervez, Taslim Arif], [Mudassar Nazar, Rizwan-uz-Zaman], [Mansoor Akhtar, Mudassar Nazar], [Mohsin Khan, Mudassar Nazar]]                                                                           |  v West Indies 1979-06-20  |  v Australia 1981-12-06   |
| 7           | [[Roger Binny, Sunil Gavaskar], [Chetan Chauhan, Sunil Gavaskar], [Chetan Chauhan, Roger Binny], [Kris Srikkanth, Sunil Gavaskar], [Dilip Vengsarkar, Kris Srikkanth], [Arun Lal, Sunil Gavaskar], [Ghulam Parkar, Sunil Gavaskar]]                                                                         |  v New Zealand 1981-01-18  |  v England 1982-06-04     |
| 7           | [[Ghulam Parkar, Surinder Khanna], [Ravi Shastri, Roger Binny], [Ghulam Parkar, Ravi Shastri], [Ravi Shastri, Surinder Khanna], [Anshuman Gaekwad, Ghulam Parkar], [Kris Srikkanth, Sunil Gavaskar], [Kris Srikkanth, Ravi Shastri]]                                                                        |  v Australia 1984-10-03    |  v England 1985-01-20     |
