+-------+-------------------------------+---------+--------+-------+
| Rank  | Batsman                       | Average | Others | Ratio |
+-------+-------------------------------+---------+--------+-------+
| 1     | Don Bradman                   | 95.14   | 28.44  | 3.344 |
| 2     | Darwish Rasooli               | 73.68   | 27.29  | 2.699 |
| 3     | Vijay Merchant                | 71.64   | 27.18  | 2.635 |
| 4     | Hashan Prabath                | 62.05   | 23.72  | 2.615 |
| 5     | William Barton                | 30.93   | 12.05  | 2.565 |
| 6     | George Headley                | 69.86   | 27.70  | 2.522 |
| 7     | William Lambert               | 27.65   | 11.42  | 2.420 |
| 8     | Evan Jones                    | 71.18   | 29.50  | 2.412 |
| 9     | Henry Tyers                   | 32.66   | 13.94  | 2.343 |
| 10    | Arthur Ollivier               | 23.26   | 10.05  | 2.314 |
| 11    | Bahir Shah                    | 69.02   | 29.96  | 2.303 |
| 12    | Peter May                     | 51.00   | 22.18  | 2.298 |
| 13    | Bill Ponsford                 | 65.18   | 28.37  | 2.297 |
| 14    | Sarfaraz Khan                 | 77.74   | 33.99  | 2.286 |
| 15    | James Saunders                | 24.22   | 10.64  | 2.274 |
| 16    | Wally Hammond                 | 56.10   | 24.71  | 2.269 |
| 17    | Ranji                         | 56.37   | 24.93  | 2.260 |
| 18    | Anmol Malhotra                | 52.25   | 23.17  | 2.254 |
| 19    | Barry Richards                | 54.70   | 24.28  | 2.252 |
| 20    | Bill Woodfull                 | 64.99   | 29.02  | 2.239 |
| 21    | Len Hutton                    | 55.51   | 24.90  | 2.229 |
| 22    | Norton Hart                   | 36.40   | 16.35  | 2.225 |
| 23    | Herbert Sutcliffe             | 52.02   | 23.39  | 2.223 |
| 24    | Minhajul Abedin               | 51.78   | 23.59  | 2.194 |
| 25    | Geoff Boycott                 | 56.83   | 26.07  | 2.179 |
| 26    | Rinku Singh                   | 64.08   | 29.41  | 2.178 |
| 27    | WG Grace                      | 39.45   | 18.16  | 2.171 |
| 28    | Riaz Hussan                   | 56.31   | 26.04  | 2.162 |
| 29    | Nobbie Ralph                  | 53.97   | 24.99  | 2.159 |
| 30    | Fabid Ahmed                   | 48.86   | 22.65  | 2.156 |
| 31    | Ben Compton                   | 69.28   | 32.28  | 2.146 |
| 32    | Lord Frederick Beauclerk      | 24.96   | 11.63  | 2.144 |
| 33    | Jeremy Bray                   | 52.52   | 24.50  | 2.143 |
| 34    | Ajay Sharma                   | 67.46   | 31.55  | 2.137 |
| 35    | George Patterson              | 39.44   | 18.61  | 2.118 |
| 36    | Charles Fry                   | 50.22   | 23.72  | 2.117 |
| 37    | Amite Hasan                   | 55.00   | 26.04  | 2.111 |
| 38    | Pervez Akhtar                 | 42.85   | 20.39  | 2.100 |
| 39    | Ihsanullah                    | 54.73   | 26.07  | 2.099 |
| 40    | Abdul Lafir                   | 41.18   | 19.72  | 2.088 |
| 41    | Vijay Hazare                  | 58.38   | 28.10  | 2.077 |
| 42    | Edward McNiven                | 23.94   | 11.55  | 2.071 |
| 43    | Kamindu Mendis                | 66.90   | 32.40  | 2.064 |
| 44    | Lindsay Hassett               | 58.24   | 28.38  | 2.052 |
| 45    | Shyam Mitra                   | 50.13   | 24.43  | 2.051 |
| 46    | Varuna Waragoda               | 48.73   | 23.79  | 2.048 |
| 47    | Fawad Alam                    | 55.62   | 27.17  | 2.046 |
| 48    | Richard Long                  | 18.17   | 8.88   | 2.046 |
| 49    | Patsy Hendren                 | 50.80   | 24.82  | 2.046 |
| 50    | Mohammad Shahzad              | 50.03   | 24.48  | 2.043 |
| 51    | Graeme Pollock                | 54.67   | 26.77  | 2.042 |
| 52    | Denis Compton                 | 51.85   | 25.45  | 2.036 |
| 53    | Pathum Nissanka               | 63.53   | 31.23  | 2.034 |
| 54    | Phil Mead                     | 47.67   | 23.54  | 2.024 |
| 55    | Jack Hobbs                    | 50.70   | 25.11  | 2.018 |
| 56    | Neil McCallum                 | 44.62   | 22.23  | 2.006 |
| 57    | Saqib Ali                     | 51.12   | 25.52  | 2.003 |
| 58    | Harry Moses                   | 35.77   | 17.87  | 2.001 |
| 59    | Sunny Jim Mackay              | 50.19   | 25.10  | 1.999 |
| 60    | Priyam Garg                   | 61.47   | 30.79  | 1.996 |
| 61    | Fuller Pilch                  | 18.61   | 9.32   | 1.995 |
| 62    | Bernard Tancred               | 35.40   | 17.78  | 1.990 |
| 63    | Dave Nourse                   | 42.81   | 21.51  | 1.990 |
| 64    | Arthur Shrewsbury             | 36.65   | 18.45  | 1.986 |
| 65    | Shahidullah                   | 58.86   | 29.78  | 1.976 |
| 66    | Duleep                        | 49.95   | 25.29  | 1.974 |
| 67    | Ivan Anderson                 | 37.88   | 19.29  | 1.963 |
| 68    | Stanley Bergin                | 34.25   | 17.45  | 1.962 |
| 69    | Paras Dogra                   | 53.54   | 27.28  | 1.962 |
| 70    | Edward Budd                   | 23.70   | 12.08  | 1.961 |
| 71    | Hayatullah                    | 58.43   | 29.86  | 1.956 |
| 72    | Billy Beldham                 | 21.47   | 10.97  | 1.956 |
| 73    | Robert Robinson               | 21.99   | 11.27  | 1.951 |
| 74    | MD Rahmatullah                | 48.63   | 24.94  | 1.950 |
| 75    | Mandar Phadke                 | 50.09   | 25.72  | 1.947 |
| 76    | George McVeagh                | 38.76   | 19.93  | 1.944 |
| 77    | Herbert de Maus               | 26.77   | 13.77  | 1.943 |
| 78    | Muttaqi Hasan                 | 42.58   | 21.94  | 1.940 |
| 79    | Richard Wardill               | 25.40   | 13.10  | 1.938 |
| 80    | Frederick Midlane             | 35.24   | 18.18  | 1.937 |
| 81    | Amarjit Kaypee                | 52.27   | 26.98  | 1.937 |
| 82    | Michael Bevan                 | 57.32   | 29.60  | 1.936 |
| 83    | Ernest Tyldesley              | 45.46   | 23.50  | 1.934 |
| 84    | Shubman Gill                  | 56.56   | 29.24  | 1.934 |
| 85    | Bert Sutcliffe                | 47.41   | 24.55  | 1.930 |
| 86    | Dudley Nourse                 | 51.53   | 26.70  | 1.929 |
| 87    | Ankit Kaushik                 | 59.15   | 30.65  | 1.929 |
| 88    | Tom Marsden                   | 17.95   | 9.32   | 1.925 |
| 89    | Glenn Querl                   | 49.00   | 25.45  | 1.925 |
| 90    | Warren Bardsley               | 49.94   | 25.95  | 1.924 |
| 91    | Zia-ul-Haq                    | 55.43   | 28.82  | 1.923 |
| 92    | Garry Sobers                  | 54.87   | 28.59  | 1.919 |
| 93    | Swapnil Patil                 | 50.53   | 26.37  | 1.915 |
| 94    | Frank Worrell                 | 54.24   | 28.31  | 1.915 |
| 95    | Martin Crowe                  | 56.02   | 29.38  | 1.906 |
| 96    | Bert Kortlang                 | 49.77   | 26.11  | 1.905 |
| 97    | Sid Barnes                    | 54.11   | 28.40  | 1.904 |
| 98    | Greg Chappell                 | 52.20   | 27.40  | 1.904 |
| 99    | Satwender Singh               | 39.50   | 20.76  | 1.902 |
| 100   | Kamran Ghulam                 | 48.56   | 25.54  | 1.901 |
| 101   | Asif Mujtaba                  | 49.39   | 26.00  | 1.899 |
| 102   | Mohammad Huraira              | 58.00   | 30.58  | 1.896 |
| 103   | Darren Lehmann                | 57.83   | 30.49  | 1.896 |
| 104   | Basil Onyons                  | 62.31   | 32.93  | 1.891 |
| 105   | Ryan Rickelton                | 50.38   | 26.63  | 1.891 |
| 106   | Hanif Mohammad                | 52.32   | 27.70  | 1.888 |
| 107   | Arthur Morris                 | 53.67   | 28.42  | 1.888 |
| 108   | J Finch                       | 18.68   | 9.89   | 1.887 |
| 109   | Arslan Khan                   | 53.07   | 28.11  | 1.887 |
| 110   | Brian Lara                    | 51.88   | 27.50  | 1.886 |
| 111   | Ken Barrington                | 45.63   | 24.19  | 1.886 |
| 112   | Murray Hofmeyr                | 44.76   | 23.73  | 1.885 |
| 113   | Mahadevan Sathasivam          | 41.83   | 22.18  | 1.885 |
| 114   | Alan Kippax                   | 57.22   | 30.37  | 1.883 |
| 115   | Javed Miandad                 | 53.37   | 28.40  | 1.879 |
| 116   | Richard Mitchell              | 29.96   | 15.94  | 1.878 |
| 117   | Leslie Wight                  | 66.31   | 35.30  | 1.878 |
| 118   | Swapan Mitra                  | 49.82   | 26.52  | 1.878 |
| 119   | Bob Simpson                   | 56.22   | 29.94  | 1.877 |
| 120   | Vinod Kambli                  | 59.67   | 31.81  | 1.875 |
| 121   | Shafiq Ahmed                  | 48.30   | 25.77  | 1.874 |
| 122   | Debasish Samantray            | 43.90   | 23.42  | 1.874 |
| 123   | Percy Holmes                  | 42.11   | 22.48  | 1.872 |
| 124   | Jackie McGlew                 | 45.92   | 24.56  | 1.869 |
| 125   | Steven Smith                  | 56.09   | 30.02  | 1.868 |
| 126   | Glenn Turner                  | 49.70   | 26.60  | 1.868 |
| 127   | Warwick Armstrong             | 46.83   | 25.09  | 1.866 |
| 128   | Dheeraj Jadhav                | 50.85   | 27.26  | 1.865 |
| 129   | Rupanath Wickramaratne        | 43.93   | 23.56  | 1.864 |
| 130   | Devon Conway                  | 48.30   | 25.93  | 1.862 |
| 131   | Clyde Walcott                 | 56.55   | 30.41  | 1.859 |
| 132   | Shiv Chanderpaul              | 53.17   | 28.59  | 1.859 |
| 133   | Neil Harvey                   | 50.93   | 27.40  | 1.858 |
| 134   | Everton Weekes                | 55.34   | 29.79  | 1.857 |
| 135   | Abrar Kazi                    | 49.39   | 26.59  | 1.857 |
| 136   | Tom Graveney                  | 44.91   | 24.22  | 1.854 |
| 137   | Jack Moroney                  | 52.24   | 28.21  | 1.851 |
| 138   | Akshay Wadkar                 | 57.33   | 30.96  | 1.851 |
| 139   | Ruan de Swardt                | 52.72   | 28.51  | 1.849 |
| 140   | Polly Umrigar                 | 52.28   | 28.27  | 1.848 |
| 141   | John Kerr                     | 37.26   | 20.15  | 1.848 |
| 142   | Yash Dubey                    | 49.26   | 26.68  | 1.846 |
| 143   | Troy Johnson                  | 50.06   | 27.11  | 1.846 |
| 144   | Johnny Tyldesley              | 40.66   | 22.02  | 1.845 |
| 145   | Saba Karim                    | 56.66   | 30.72  | 1.844 |
| 146   | Khanmohammad Ibrahim          | 61.24   | 33.27  | 1.840 |
| 147   | Arthur Cotterill              | 15.17   | 8.24   | 1.839 |
| 148   | Krishnamurthy Siddharsh       | 45.70   | 24.85  | 1.838 |
| 149   | Tom Hayward                   | 41.79   | 22.72  | 1.838 |
| 150   | Neville Bonitto               | 58.87   | 32.02  | 1.838 |
| 151   | Yashpal Singh                 | 50.13   | 27.31  | 1.835 |
| 152   | Arthur Blacklock              | 21.88   | 11.92  | 1.834 |
| 153   | Baba Indrajith                | 53.35   | 29.10  | 1.833 |
| 154   | Hashmatullah Shahidi          | 49.63   | 27.08  | 1.832 |
| 155   | Percival Heather              | 39.58   | 21.62  | 1.831 |
| 156   | H Kishenchand                 | 44.20   | 24.16  | 1.828 |
| 157   | Samuel Baldwinson             | 18.90   | 10.35  | 1.825 |
| 158   | Bill Brown                    | 51.44   | 28.23  | 1.822 |
| 159   | Usman Salahuddin              | 47.72   | 26.20  | 1.821 |
| 160   | Ajay Jadeja                   | 54.00   | 29.67  | 1.819 |
| 161   | Saait Magiet                  | 29.12   | 16.00  | 1.819 |
| 162   | Ashok Mankad                  | 50.90   | 27.98  | 1.818 |
| 163   | Jake Omar                     | 34.33   | 18.88  | 1.818 |
| 164   | Zaheer Abbas                  | 51.54   | 28.35  | 1.817 |
| 165   | Ashok Malhotra                | 50.95   | 28.04  | 1.817 |
| 166   | Thomas Hayward                | 25.33   | 13.96  | 1.814 |
| 167   | Gurpal Singh                  | 39.55   | 21.80  | 1.813 |
| 168   | Herbie Taylor                 | 41.86   | 23.10  | 1.812 |
| 169   | Munir Ahmad                   | 48.74   | 26.90  | 1.811 |
| 170   | Javed Bhatti                  | 40.57   | 22.40  | 1.811 |
| 171   | Subramaniam Badrinath         | 54.49   | 30.10  | 1.810 |
| 172   | Eric Rowan                    | 48.58   | 26.84  | 1.809 |
| 173   | Aubrey Faulkner               | 36.58   | 20.25  | 1.806 |
| 174   | Roshen Silva                  | 49.69   | 27.52  | 1.805 |
| 175   | Rahmat Shah                   | 40.41   | 22.38  | 1.805 |
| 176   | William Ward                  | 18.97   | 10.51  | 1.804 |
| 177   | Misbah-ul-Haq                 | 48.69   | 26.98  | 1.804 |
| 178   | Jack Badcock                  | 51.54   | 28.56  | 1.804 |
| 179   | Azmat Rana                    | 47.62   | 26.41  | 1.803 |
| 180   | Verdun Scott                  | 49.73   | 27.61  | 1.801 |
| 181   | David Bedingham               | 49.84   | 27.71  | 1.798 |
| 182   | Stanley Sproston              | 26.76   | 14.87  | 1.798 |
| 183   | Charles Macartney             | 45.78   | 25.49  | 1.796 |
| 184   | Joshua Richards               | 48.08   | 26.79  | 1.794 |
| 185   | Walter Read                   | 32.06   | 17.86  | 1.794 |
| 186   | Asghar Stanikzai              | 44.30   | 24.70  | 1.793 |
| 187   | Sidney Kiel                   | 44.20   | 24.65  | 1.792 |
| 188   | Thomas Walker                 | 19.25   | 10.74  | 1.791 |
| 189   | Andrew White                  | 48.42   | 27.04  | 1.790 |
| 190   | Sudhir Pathak                 | 43.72   | 24.43  | 1.789 |
| 191   | Victor Trumper                | 44.57   | 24.91  | 1.789 |
| 192   | Cheteshwar Pujara             | 51.81   | 28.95  | 1.789 |
| 193   | Reginald Foster               | 41.82   | 23.37  | 1.789 |
| 194   | Hasan Raza                    | 44.80   | 25.05  | 1.788 |
| 195   | John Lester                   | 33.14   | 18.53  | 1.788 |
| 196   | Nawab of Pataudi              | 48.58   | 27.17  | 1.787 |
| 197   | Tharanga Indika               | 45.68   | 25.55  | 1.787 |
| 198   | Nasir Ahmadzai                | 46.41   | 25.99  | 1.785 |
| 199   | Hashan Tillakaratne           | 49.28   | 27.62  | 1.784 |
| 200   | Milind Kumar                  | 46.68   | 26.16  | 1.784 |
| 201   | Ambar Roy                     | 43.15   | 24.18  | 1.783 |
| 202   | Mike Gatting                  | 49.52   | 27.77  | 1.783 |
| 203   | Mark Ramprakash               | 53.14   | 29.81  | 1.782 |
| 204   | Bal Dani                      | 44.35   | 24.89  | 1.781 |
| 205   | Allan Steel                   | 29.41   | 16.50  | 1.781 |
| 206   | Graeme Hick                   | 52.23   | 29.32  | 1.781 |
| 207   | Martin Donnelly               | 47.43   | 26.68  | 1.777 |
| 208   | William Searle                | 18.29   | 10.30  | 1.776 |
| 209   | Steve Tikolo                  | 48.24   | 27.18  | 1.774 |
| 210   | Ashwini Kapoor                | 51.42   | 28.98  | 1.773 |
| 211   | Rahul Dravid                  | 55.33   | 31.20  | 1.773 |
| 212   | Jimmy Cook                    | 50.58   | 28.54  | 1.771 |
| 213   | Bob Cowper                    | 53.78   | 30.38  | 1.769 |
| 214   | Nicholas Felix                | 18.15   | 10.26  | 1.769 |
| 215   | Sachin Tendulkar              | 57.84   | 32.77  | 1.765 |
| 216   | Clem Hill                     | 43.57   | 24.68  | 1.765 |
| 217   | Vijay Manjrekar               | 49.91   | 28.28  | 1.764 |
| 218   | Jacques Kallis                | 54.10   | 30.67  | 1.763 |
| 219   | Jem Broadbridge               | 16.59   | 9.41   | 1.762 |
| 220   | John Greig                    | 36.37   | 20.65  | 1.760 |
| 221   | Viv Richards                  | 49.40   | 28.06  | 1.760 |
| 222   | Ahmed Botawala                | 40.31   | 22.92  | 1.758 |
| 223   | Hanuma Vihari                 | 55.58   | 31.61  | 1.758 |
| 224   | Billy Gunn                    | 33.02   | 18.78  | 1.757 |
| 225   | Charlie Hallows               | 40.24   | 22.90  | 1.756 |
| 226   | Dikshanshu Negi               | 35.77   | 20.37  | 1.756 |
| 227   | Inzamam-ul-Haq                | 50.10   | 28.55  | 1.754 |
| 228   | Allan Border                  | 51.38   | 29.28  | 1.754 |
| 229   | Mohammad Haroon               | 44.06   | 25.12  | 1.753 |
| 230   | Tony Vorster                  | 45.62   | 26.02  | 1.753 |
| 231   | George Parr                   | 20.20   | 11.52  | 1.752 |
| 232   | Shantanu Sugwekar             | 63.10   | 36.00  | 1.752 |
| 233   | Sheldon Jackson               | 50.38   | 28.75  | 1.752 |
| 234   | Bobby Abel                    | 35.46   | 20.24  | 1.751 |
| 235   | Taruwar Kohli                 | 51.02   | 29.12  | 1.751 |
| 236   | Palwankar Vithal              | 35.35   | 20.18  | 1.751 |
| 237   | Richard Daft                  | 25.42   | 14.51  | 1.751 |
| 238   | Virat Kohli                   | 50.95   | 29.09  | 1.750 |
| 239   | Iqtidar Ali                   | 40.46   | 23.11  | 1.750 |
| 240   | Frank Penn                    | 27.15   | 15.51  | 1.750 |
| 241   | Sadam Mangal                  | 46.53   | 26.60  | 1.749 |
| 242   | Manish Pandey                 | 52.86   | 30.23  | 1.748 |
| 243   | Avinash Desai                 | 43.58   | 24.96  | 1.746 |
| 244   | Jock Livingston               | 45.01   | 25.79  | 1.745 |
| 245   | Graham Gooch                  | 49.01   | 28.09  | 1.744 |
| 246   | Younis Khan                   | 49.90   | 28.61  | 1.744 |
| 247   | Simon Katich                  | 52.84   | 30.31  | 1.743 |
| 248   | Kumar Sangakkara              | 52.40   | 30.07  | 1.742 |
| 249   | Wirantha Fernando             | 38.53   | 22.11  | 1.742 |
| 250   | Andy Flower                   | 54.05   | 31.02  | 1.742 |
| 251   | Neil Marks                    | 47.33   | 27.17  | 1.741 |
| 252   | Bhausaheb Nimbalkar           | 47.93   | 27.52  | 1.741 |
| 253   | Saurabh Tiwary                | 46.96   | 27.01  | 1.738 |
| 254   | Kepler Wessels                | 50.58   | 29.11  | 1.737 |
| 255   | Shreyas Iyer                  | 52.42   | 30.19  | 1.736 |
| 256   | Towhid Hridoy                 | 46.73   | 26.92  | 1.735 |
| 257   | Mark Waugh                    | 52.04   | 29.98  | 1.735 |
