+------+-------------------------------+---------+--------+-------+
| Rank | Batsman                       | Average | Others | Ratio |
+------+-------------------------------+---------+--------+-------+
| 1    | Don Bradman                   | 95.14   | 28.44  | 3.344 |
| 2    | Vijay Merchant                | 71.64   | 27.18  | 2.635 |
| 3    | George Headley                | 69.86   | 27.70  | 2.522 |
| 4    | William Lambert               | 27.65   | 11.42  | 2.420 |
| 5    | Peter May                     | 51.00   | 22.18  | 2.298 |
| 6    | Bill Ponsford                 | 65.18   | 28.37  | 2.297 |
| 7    | James Saunders                | 24.22   | 10.64  | 2.274 |
| 8    | Wally Hammond                 | 56.10   | 24.71  | 2.269 |
| 9    | Ranji                         | 56.37   | 24.93  | 2.260 |
| 10   | Barry Richards                | 54.70   | 24.28  | 2.252 |
| 11   | Bill Woodfull                 | 64.99   | 29.02  | 2.239 |
| 12   | Len Hutton                    | 55.51   | 24.90  | 2.229 |
| 13   | Herbert Sutcliffe             | 52.02   | 23.39  | 2.223 |
| 14   | Geoff Boycott                 | 56.83   | 26.07  | 2.179 |
| 15   | WG Grace                      | 39.45   | 18.16  | 2.171 |
| 16   | Lord Frederick Beauclerk      | 24.96   | 11.63  | 2.144 |
| 17   | Ajay Sharma                   | 67.46   | 31.55  | 2.137 |
| 18   | Charles Fry                   | 50.22   | 23.72  | 2.117 |
| 19   | Vijay Hazare                  | 58.38   | 28.10  | 2.077 |
| 20   | Lindsay Hassett               | 58.24   | 28.38  | 2.052 |
| 21   | Shyam Mitra                   | 50.13   | 24.43  | 2.051 |
| 22   | Varuna Waragoda               | 48.73   | 23.79  | 2.048 |
| 23   | Fawad Alam                    | 55.62   | 27.17  | 2.046 |
| 24   | Patsy Hendren                 | 50.80   | 24.82  | 2.046 |
| 25   | Graeme Pollock                | 54.67   | 26.77  | 2.042 |
| 26   | Denis Compton                 | 51.85   | 25.45  | 2.036 |
| 27   | Phil Mead                     | 47.67   | 23.54  | 2.024 |
| 28   | Jack Hobbs                    | 50.70   | 25.11  | 2.018 |
| 29   | Fuller Pilch                  | 18.61   | 9.32   | 1.995 |
| 30   | Dave Nourse                   | 42.81   | 21.51  | 1.990 |
| 31   | Arthur Shrewsbury             | 36.65   | 18.45  | 1.986 |
| 32   | Duleep                        | 49.95   | 25.29  | 1.974 |
| 33   | Paras Dogra                   | 53.54   | 27.28  | 1.962 |
| 34   | Edward Budd                   | 23.70   | 12.08  | 1.961 |
| 35   | Billy Beldham                 | 21.47   | 10.97  | 1.956 |
| 36   | Robert Robinson               | 21.99   | 11.27  | 1.951 |
| 37   | Amarjit Kaypee                | 52.27   | 26.98  | 1.937 |
| 38   | Michael Bevan                 | 57.32   | 29.60  | 1.936 |
| 39   | Ernest Tyldesley              | 45.46   | 23.50  | 1.934 |
| 40   | Bert Sutcliffe                | 47.41   | 24.55  | 1.930 |
| 41   | Dudley Nourse                 | 51.53   | 26.70  | 1.929 |
| 42   | Tom Marsden                   | 17.95   | 9.32   | 1.925 |
| 43   | Warren Bardsley               | 49.94   | 25.95  | 1.924 |
| 44   | Garry Sobers                  | 54.87   | 28.59  | 1.919 |
| 45   | Frank Worrell                 | 54.24   | 28.31  | 1.915 |
| 46   | Martin Crowe                  | 56.02   | 29.38  | 1.906 |
| 47   | Sid Barnes                    | 54.11   | 28.40  | 1.904 |
| 48   | Greg Chappell                 | 52.20   | 27.40  | 1.904 |
| 49   | Satwender Singh               | 39.50   | 20.76  | 1.902 |
| 50   | Asif Mujtaba                  | 49.39   | 26.00  | 1.899 |
| 51   | Darren Lehmann                | 57.83   | 30.49  | 1.896 |
| 52   | Hanif Mohammad                | 52.32   | 27.70  | 1.888 |
| 53   | Arthur Morris                 | 53.67   | 28.42  | 1.888 |
| 54   | Brian Lara                    | 51.88   | 27.50  | 1.886 |
| 55   | Ken Barrington                | 45.63   | 24.19  | 1.886 |
| 56   | Alan Kippax                   | 57.22   | 30.37  | 1.883 |
| 57   | Javed Miandad                 | 53.37   | 28.40  | 1.879 |
| 58   | Richard Mitchell              | 29.96   | 15.94  | 1.878 |
| 59   | Bob Simpson                   | 56.22   | 29.94  | 1.877 |
| 60   | Vinod Kambli                  | 59.67   | 31.81  | 1.875 |
| 61   | Shafiq Ahmed                  | 48.30   | 25.77  | 1.874 |
| 62   | Percy Holmes                  | 42.11   | 22.48  | 1.872 |
| 63   | Jackie McGlew                 | 45.92   | 24.56  | 1.869 |
| 64   | Steven Smith                  | 56.09   | 30.02  | 1.868 |
| 65   | Glenn Turner                  | 49.70   | 26.60  | 1.868 |
| 66   | Warwick Armstrong             | 46.83   | 25.09  | 1.866 |
| 67   | Dheeraj Jadhav                | 50.85   | 27.26  | 1.865 |
| 68   | Devon Conway                  | 48.30   | 25.93  | 1.862 |
| 69   | Clyde Walcott                 | 56.55   | 30.41  | 1.859 |
| 70   | Shiv Chanderpaul              | 53.17   | 28.59  | 1.859 |
| 71   | Neil Harvey                   | 50.93   | 27.40  | 1.858 |
| 72   | Everton Weekes                | 55.34   | 29.79  | 1.857 |
| 73   | Tom Graveney                  | 44.91   | 24.22  | 1.854 |
| 74   | Jack Moroney                  | 52.24   | 28.21  | 1.851 |
| 75   | Polly Umrigar                 | 52.28   | 28.27  | 1.848 |
| 76   | Johnny Tyldesley              | 40.66   | 22.02  | 1.845 |
| 77   | Saba Karim                    | 56.66   | 30.72  | 1.844 |
| 78   | Khanmohammad Ibrahim          | 61.24   | 33.27  | 1.840 |
| 79   | Tom Hayward                   | 41.79   | 22.72  | 1.838 |
| 80   | Yashpal Singh                 | 50.13   | 27.31  | 1.835 |
| 81   | Baba Indrajith                | 53.35   | 29.10  | 1.833 |
| 82   | Bill Brown                    | 51.44   | 28.23  | 1.822 |
| 83   | Usman Salahuddin              | 47.72   | 26.20  | 1.821 |
| 84   | Ajay Jadeja                   | 54.00   | 29.67  | 1.819 |
| 85   | Saait Magiet                  | 29.12   | 16.00  | 1.819 |
| 86   | Ashok Mankad                  | 50.90   | 27.98  | 1.818 |
| 87   | Jake Omar                     | 34.33   | 18.88  | 1.818 |
| 88   | Zaheer Abbas                  | 51.54   | 28.35  | 1.817 |
| 89   | Ashok Malhotra                | 50.95   | 28.04  | 1.817 |
| 90   | Thomas Hayward                | 25.33   | 13.96  | 1.814 |
| 91   | Herbie Taylor                 | 41.86   | 23.10  | 1.812 |
| 92   | Javed Bhatti                  | 40.57   | 22.40  | 1.811 |
| 93   | Subramaniam Badrinath         | 54.49   | 30.10  | 1.810 |
| 94   | Eric Rowan                    | 48.58   | 26.84  | 1.809 |
| 95   | Aubrey Faulkner               | 36.58   | 20.25  | 1.806 |
| 96   | Roshen Silva                  | 49.69   | 27.52  | 1.805 |
| 97   | William Ward                  | 18.97   | 10.51  | 1.804 |
| 98   | Misbah-ul-Haq                 | 48.69   | 26.98  | 1.804 |
| 99   | Jack Badcock                  | 51.54   | 28.56  | 1.804 |
| 100  | Azmat Rana                    | 47.62   | 26.41  | 1.803 |
| 101  | Verdun Scott                  | 49.73   | 27.61  | 1.801 |
| 102  | David Bedingham               | 49.84   | 27.71  | 1.798 |
| 103  | Charles Macartney             | 45.78   | 25.49  | 1.796 |
| 104  | Walter Read                   | 32.06   | 17.86  | 1.794 |
| 105  | Thomas Walker                 | 19.25   | 10.74  | 1.791 |
| 106  | Victor Trumper                | 44.57   | 24.91  | 1.789 |
| 107  | Cheteshwar Pujara             | 51.81   | 28.95  | 1.789 |
| 108  | Reginald Foster               | 41.82   | 23.37  | 1.789 |
| 109  | Hasan Raza                    | 44.80   | 25.05  | 1.788 |
| 110  | Nawab of Pataudi              | 48.58   | 27.17  | 1.787 |
| 111  | Hashan Tillakaratne           | 49.28   | 27.62  | 1.784 |
| 112  | Ambar Roy                     | 43.15   | 24.18  | 1.783 |
| 113  | Mike Gatting                  | 49.52   | 27.77  | 1.783 |
| 114  | Mark Ramprakash               | 53.14   | 29.81  | 1.782 |
| 115  | Bal Dani                      | 44.35   | 24.89  | 1.781 |
| 116  | Allan Steel                   | 29.41   | 16.50  | 1.781 |
| 117  | Graeme Hick                   | 52.23   | 29.32  | 1.781 |
| 118  | Martin Donnelly               | 47.43   | 26.68  | 1.777 |
| 119  | Steve Tikolo                  | 48.24   | 27.18  | 1.774 |
| 120  | Rahul Dravid                  | 55.33   | 31.20  | 1.773 |
| 121  | Jimmy Cook                    | 50.58   | 28.54  | 1.771 |
| 122  | Bob Cowper                    | 53.78   | 30.38  | 1.769 |
| 123  | Nicholas Felix                | 18.15   | 10.26  | 1.769 |
| 124  | Sachin Tendulkar              | 57.84   | 32.77  | 1.765 |
| 125  | Clem Hill                     | 43.57   | 24.68  | 1.765 |
| 126  | Vijay Manjrekar               | 49.91   | 28.28  | 1.764 |
| 127  | Jacques Kallis                | 54.10   | 30.67  | 1.763 |
| 128  | Jem Broadbridge               | 16.59   | 9.41   | 1.762 |
| 129  | John Greig                    | 36.37   | 20.65  | 1.760 |
| 130  | Viv Richards                  | 49.40   | 28.06  | 1.760 |
| 131  | Hanuma Vihari                 | 55.58   | 31.61  | 1.758 |
| 132  | Billy Gunn                    | 33.02   | 18.78  | 1.757 |
| 133  | Charlie Hallows               | 40.24   | 22.90  | 1.756 |
| 134  | Inzamam-ul-Haq                | 50.10   | 28.55  | 1.754 |
| 135  | Allan Border                  | 51.38   | 29.28  | 1.754 |
| 136  | George Parr                   | 20.20   | 11.52  | 1.752 |
| 137  | Shantanu Sugwekar             | 63.10   | 36.00  | 1.752 |
| 138  | Sheldon Jackson               | 50.38   | 28.75  | 1.752 |
| 139  | Bobby Abel                    | 35.46   | 20.24  | 1.751 |
| 140  | Richard Daft                  | 25.42   | 14.51  | 1.751 |
| 141  | Virat Kohli                   | 50.95   | 29.09  | 1.750 |
| 142  | Frank Penn                    | 27.15   | 15.51  | 1.750 |
| 143  | Manish Pandey                 | 52.86   | 30.23  | 1.748 |
| 144  | Jock Livingston               | 45.01   | 25.79  | 1.745 |
| 145  | Graham Gooch                  | 49.01   | 28.09  | 1.744 |
| 146  | Younis Khan                   | 49.90   | 28.61  | 1.744 |
| 147  | Simon Katich                  | 52.84   | 30.31  | 1.743 |
| 148  | Kumar Sangakkara              | 52.40   | 30.07  | 1.742 |
| 149  | Andy Flower                   | 54.05   | 31.02  | 1.742 |
| 150  | Bhausaheb Nimbalkar           | 47.93   | 27.52  | 1.741 |
| 151  | Saurabh Tiwary                | 46.96   | 27.01  | 1.738 |
| 152  | Kepler Wessels                | 50.58   | 29.11  | 1.737 |
| 153  | Shreyas Iyer                  | 52.42   | 30.19  | 1.736 |
| 154  | Mark Waugh                    | 52.04   | 29.98  | 1.735 |
| 155  | Stan McCabe                   | 49.38   | 28.46  | 1.735 |
| 156  | Stuart Law                    | 50.52   | 29.16  | 1.732 |
| 157  | Ramnath Kenny                 | 50.47   | 29.14  | 1.731 |
| 158  | Pankaj Dharmani               | 50.06   | 28.91  | 1.731 |
| 159  | John Hammond                  | 18.98   | 10.96  | 1.730 |
| 160  | Willie Watson                 | 39.86   | 23.05  | 1.729 |
| 161  | Pravanjan Mullick             | 47.30   | 27.35  | 1.728 |
| 162  | Robert Poore                  | 38.66   | 22.37  | 1.728 |
| 163  | Marvan Atapattu               | 48.79   | 28.23  | 1.728 |
| 164  | Ricky Ponting                 | 55.90   | 32.36  | 1.727 |
| 165  | Syed Wazir Ali                | 38.77   | 22.46  | 1.725 |
| 166  | Martin Love                   | 49.85   | 28.92  | 1.723 |
| 167  | Ollie Pope                    | 51.52   | 29.89  | 1.723 |
| 168  | Rohan Kanhai                  | 49.40   | 28.68  | 1.722 |
| 169  | John Edrich                   | 45.47   | 26.42  | 1.721 |
| 170  | Bill Lawry                    | 50.90   | 29.59  | 1.720 |
| 171  | Douglas Jardine               | 46.83   | 27.23  | 1.719 |
| 172  | Yogendra Chowdhury            | 39.79   | 23.14  | 1.719 |
| 173  | Stewie Dempster               | 44.98   | 26.17  | 1.718 |
| 174  | Palash Nandy                  | 41.12   | 23.93  | 1.718 |
| 175  | Brett Pelser                  | 45.84   | 26.68  | 1.718 |
| 176  | Jack Hearne                   | 40.98   | 23.89  | 1.715 |
| 177  | Rishabh Pant                  | 47.15   | 27.49  | 1.715 |
| 178  | Rajat Paliwal                 | 44.58   | 26.00  | 1.714 |
| 179  | Matthew Hayden                | 52.57   | 30.66  | 1.714 |
| 180  | Amol Muzumdar                 | 48.13   | 28.08  | 1.713 |
| 181  | Alf Dipper                    | 35.27   | 20.58  | 1.713 |
| 182  | Frank Woolley                 | 40.77   | 23.79  | 1.713 |
| 183  | Gordon Greenidge              | 45.88   | 26.80  | 1.712 |
| 184  | Cyril Washbrook               | 42.67   | 24.92  | 1.712 |
| 185  | Rohit Sharma                  | 54.15   | 31.63  | 1.711 |
| 186  | Bill Edrich                   | 42.39   | 24.78  | 1.710 |
| 187  | Sridharan Sharath             | 51.17   | 29.96  | 1.708 |
| 188  | Akash Lal                     | 41.64   | 24.38  | 1.708 |
| 189  | Allan Lamb                    | 48.94   | 28.66  | 1.707 |
| 190  | Buster Farrer                 | 43.37   | 25.43  | 1.705 |
| 191  | Cuthbert Burnup               | 36.79   | 21.58  | 1.704 |
| 192  | Sir Clive Lloyd               | 49.26   | 28.89  | 1.704 |
| 193  | Keith Arthurton               | 45.29   | 26.58  | 1.703 |
| 194  | Steve Waugh                   | 51.94   | 30.49  | 1.703 |
| 195  | Sridharan Sriram              | 52.99   | 31.12  | 1.702 |
| 196  | Robert Carpenter              | 24.39   | 14.33  | 1.701 |
| 197  | Lawrie Miller                 | 37.61   | 22.11  | 1.700 |
| 198  | Norman Riches                 | 35.27   | 20.75  | 1.699 |
| 199  | Aravinda de Silva             | 48.38   | 28.48  | 1.698 |
| 200  | Umar Akmal                    | 43.81   | 25.82  | 1.696 |
| 201  | Vikram Rathour                | 49.66   | 29.29  | 1.695 |
| 202  | Munsoor Abdullah              | 28.67   | 16.91  | 1.695 |
| 203  | Nasir Valika                  | 41.66   | 24.58  | 1.695 |
| 204  | Hanumant Singh                | 43.90   | 25.91  | 1.694 |
| 205  | John Reid                     | 41.35   | 24.41  | 1.694 |
| 206  | Haris Sohail                  | 45.96   | 27.14  | 1.693 |
| 207  | Maurice Leyland               | 40.50   | 23.96  | 1.690 |
| 208  | Karun Nair                    | 49.43   | 29.25  | 1.689 |
| 209  | Wasim Jaffer                  | 50.67   | 30.00  | 1.688 |
| 210  | Keith Miller                  | 48.90   | 28.98  | 1.687 |
| 211  | Hemantha Wickramaratne        | 40.97   | 24.28  | 1.687 |
| 212  | Frank Tarrant                 | 36.41   | 21.58  | 1.686 |
| 213  | Ajit Wadekar                  | 47.03   | 27.88  | 1.686 |
| 214  | Thilan Samaraweera            | 48.59   | 28.82  | 1.685 |
| 215  | Heinrich Klaasen              | 45.30   | 26.88  | 1.685 |
| 216  | Dinesh Mongia                 | 48.95   | 29.11  | 1.681 |
| 217  | Clayton Lambert               | 42.88   | 25.52  | 1.679 |
| 218  | Rajeev Nayyar                 | 44.97   | 26.79  | 1.678 |
| 219  | Jack Russell                  | 41.57   | 24.77  | 1.678 |
| 220  | Asela Gunaratne               | 44.06   | 26.26  | 1.677 |
| 221  | Syd Hiddleston                | 39.72   | 23.68  | 1.677 |
| 222  | Manoj Tiwary                  | 49.35   | 29.43  | 1.676 |
| 223  | Mansoor Rana                  | 42.95   | 25.62  | 1.676 |
| 224  | Rusi Modi                     | 53.02   | 31.67  | 1.673 |
| 225  | Ram Singh                     | 35.25   | 21.07  | 1.672 |
| 226  | Bruce Mitchell                | 45.39   | 27.14  | 1.672 |
| 227  | Wallis Mathias                | 44.49   | 26.62  | 1.671 |
| 228  | Norm O'Neill                  | 50.95   | 30.48  | 1.671 |
| 229  | Gogumal Kishenchand           | 47.91   | 28.66  | 1.671 |
| 230  | Sachithra Serasinghe          | 47.07   | 28.17  | 1.671 |
| 231  | Abhijit Kale                  | 54.45   | 32.59  | 1.670 |
| 232  | David Sheppard                | 43.51   | 26.06  | 1.669 |
| 233  | Ken Meuleman                  | 47.60   | 28.51  | 1.669 |
| 234  | Ankit Bawne                   | 51.82   | 31.06  | 1.668 |
| 235  | Rajat Bhatia                  | 49.10   | 29.44  | 1.667 |
| 236  | George Challenor              | 38.55   | 23.13  | 1.666 |
| 237  | Mandeep Singh                 | 49.77   | 29.87  | 1.665 |
| 238  | Monty Noble                   | 40.74   | 24.47  | 1.664 |
| 239  | Ramesh Saxena                 | 40.37   | 24.25  | 1.664 |
| 240  | Mahela Jayawardene            | 49.70   | 29.86  | 1.664 |
| 241  | Pravin Amre                   | 48.86   | 29.37  | 1.663 |
| 242  | Les Ames                      | 43.51   | 26.17  | 1.662 |
| 243  | Sunil Gavaskar                | 51.46   | 30.96  | 1.662 |
| 244  | Bhaskar Pillai                | 52.84   | 31.84  | 1.659 |
| 245  | Dean Jones                    | 51.85   | 31.25  | 1.659 |
| 246  | Ijaz Ahmed                    | 40.93   | 24.67  | 1.658 |
| 247  | Vijay Mohanraj                | 45.86   | 27.65  | 1.658 |
| 248  | Stanley Jackson               | 33.83   | 20.40  | 1.657 |
| 249  | Billy Zulch                   | 41.83   | 25.23  | 1.657 |
| 250  | Lanka de Silva                | 40.99   | 24.74  | 1.656 |
| 251  | Raman Lamba                   | 53.84   | 32.49  | 1.656 |
| 252  | Ian Chappell                  | 48.35   | 29.19  | 1.656 |
| 253  | Mike Hussey                   | 52.13   | 31.47  | 1.656 |
| 254  | David Hussey                  | 52.50   | 31.71  | 1.655 |
| 255  | Joe Root                      | 48.66   | 29.40  | 1.655 |
| 256  | Colin Cowdrey                 | 42.89   | 25.91  | 1.654 |
| 257  | Gary Kirsten                  | 48.31   | 29.20  | 1.654 |
