+------+--------------------------+---------+--------+-------+
| Rank | Batsman                  | Average | Others | Ratio |
+------+--------------------------+---------+--------+-------+
| 1    | Ryan ten Doeschate       | 67.00   | 24.63  | 2.720 |
| 2    | Bevan Congdon            | 56.33   | 22.53  | 2.499 |
| 3    | Aaqib Ilyas              | 58.00   | 23.73  | 2.444 |
| 4    | Anshuman Rath            | 51.50   | 22.34  | 2.304 |
| 5    | Asif Iqbal               | 55.00   | 24.17  | 2.275 |
| 6    | Dennis Amiss             | 47.72   | 21.24  | 2.246 |
| 7    | Rassie van der Dussen    | 71.84   | 32.93  | 2.181 |
| 8    | Glenn Turner             | 47.00   | 23.79  | 1.975 |
| 9    | Rameez Shahzad           | 53.15   | 26.92  | 1.974 |
| 10   | Rohit Paudel             | 41.53   | 21.16  | 1.961 |
| 11   | Michael Bevan            | 53.58   | 27.56  | 1.943 |
| 12   | Wayne Daniel             | 49.00   | 25.95  | 1.888 |
| 13   | Ian Chappell             | 48.07   | 25.49  | 1.885 |
| 14   | Jaskaran Singh           | 39.12   | 20.97  | 1.865 |
| 15   | Viv Richards             | 47.00   | 25.23  | 1.862 |
| 16   | Babar Azam               | 59.18   | 31.97  | 1.851 |
| 17   | Zaheer Abbas             | 47.62   | 25.80  | 1.845 |
| 18   | Janneman Malan           | 59.14   | 32.23  | 1.834 |
| 19   | Paras Khadka             | 35.00   | 19.10  | 1.831 |
| 20   | AB de Villiers           | 53.50   | 29.42  | 1.818 |
| 21   | Virat Kohli              | 58.07   | 32.40  | 1.792 |
| 22   | Tom Cooper               | 48.80   | 27.33  | 1.784 |
| 23   | Dean Jones               | 44.61   | 25.27  | 1.764 |
| 24   | Jonathan Trott           | 51.25   | 29.13  | 1.759 |
| 25   | Gordon Greenidge         | 45.03   | 25.62  | 1.757 |
| 26   | Greg Chappell            | 40.18   | 23.51  | 1.708 |
| 27   | Babar Hayat              | 39.20   | 23.02  | 1.702 |
| 28   | Mike Hussey              | 48.15   | 28.80  | 1.672 |
| 29   | Hashim Amla              | 49.46   | 29.85  | 1.656 |
| 30   | Desmond Haynes           | 41.37   | 25.02  | 1.653 |
| 31   | Javed Miandad            | 41.70   | 25.36  | 1.644 |
| 32   | Aaron Jones              | 33.78   | 20.64  | 1.636 |
| 33   | Shai Hope                | 50.51   | 30.88  | 1.635 |
| 34   | Keith Fletcher           | 39.84   | 24.43  | 1.630 |
| 35   | Max O'Dowd               | 39.88   | 24.46  | 1.630 |
| 36   | Chris Broad              | 40.02   | 24.58  | 1.628 |
| 37   | Graham Yallop            | 39.19   | 24.08  | 1.627 |
| 38   | Ross Taylor              | 47.55   | 29.27  | 1.624 |
| 39   | Kane Williamson          | 47.48   | 29.37  | 1.616 |
| 40   | Imam-ul-Haq              | 53.97   | 33.39  | 1.616 |
| 41   | Mahendra Dhoni           | 50.57   | 31.58  | 1.601 |
| 42   | Gerhard Erasmus          | 41.41   | 25.86  | 1.601 |
| 43   | Jacques Kallis           | 44.36   | 27.72  | 1.600 |
| 44   | Kyle Coetzer             | 41.54   | 25.99  | 1.598 |
| 45   | Geoff Boycott            | 36.06   | 22.60  | 1.595 |
| 46   | Joe Root                 | 51.33   | 32.56  | 1.576 |
| 47   | Sir Clive Lloyd          | 39.54   | 25.19  | 1.569 |
| 48   | Misbah-ul-Haq            | 43.40   | 27.65  | 1.569 |
| 49   | Mohammad Nadeem          | 38.27   | 24.40  | 1.568 |
| 50   | Martin Crowe             | 38.55   | 24.60  | 1.567 |
| 51   | Faf du Plessis           | 47.47   | 30.33  | 1.564 |
| 52   | Michael Clarke           | 44.58   | 28.50  | 1.564 |
| 53   | Mohammad Yousuf          | 41.71   | 26.68  | 1.563 |
| 54   | Geoff Marsh              | 39.97   | 25.57  | 1.562 |
| 55   | Kumar Sangakkara         | 41.98   | 26.98  | 1.556 |
| 56   | Nick Knight              | 40.41   | 26.00  | 1.554 |
| 57   | Sachin Tendulkar         | 44.83   | 28.91  | 1.550 |
| 58   | Saeed Anwar              | 39.21   | 25.36  | 1.546 |
| 59   | Ambati Rayudu            | 47.05   | 30.45  | 1.545 |
| 60   | Matthew Hayden           | 43.80   | 28.40  | 1.542 |
| 61   | Shiv Chanderpaul         | 41.60   | 26.98  | 1.541 |
| 62   | Ashish Bagai             | 37.76   | 24.53  | 1.539 |
| 63   | Gary Kirsten             | 40.95   | 26.69  | 1.534 |
| 64   | Afif Hossain             | 43.25   | 28.20  | 1.533 |
| 65   | David Warner             | 45.45   | 29.69  | 1.530 |
| 66   | Brian Lara               | 40.48   | 26.45  | 1.530 |
| 67   | Harry Tector             | 41.87   | 27.40  | 1.527 |
| 68   | Charith Asalanka         | 42.90   | 28.10  | 1.527 |
| 69   | Ramnaresh Sarwan         | 42.67   | 28.28  | 1.508 |
| 70   | Monank Patel             | 32.58   | 21.67  | 1.503 |
| 71   | Lanka de Silva           | 53.66   | 35.70  | 1.503 |
| 72   | Rohit Sharma             | 48.60   | 32.39  | 1.500 |
| 73   | Ricky Ponting            | 42.03   | 28.04  | 1.498 |
| 74   | Inzamam-ul-Haq           | 39.52   | 26.37  | 1.498 |
| 75   | Boeta Dippenaar          | 42.23   | 28.24  | 1.495 |
| 76   | Neil Fairbrother         | 39.47   | 26.50  | 1.489 |
| 77   | Lance Klusener           | 41.10   | 27.60  | 1.489 |
| 78   | Hansie Cronje            | 38.64   | 26.00  | 1.486 |
| 79   | Quinton de Kock          | 46.00   | 31.04  | 1.481 |
| 80   | Steve Smith              | 39.13   | 26.47  | 1.478 |
| 81   | Khurram Khan             | 41.57   | 28.23  | 1.472 |
| 82   | Paul Stirling            | 38.82   | 26.40  | 1.470 |
| 83   | Majid Khan               | 37.42   | 25.48  | 1.468 |
| 84   | Nizakat Khan             | 33.75   | 23.05  | 1.463 |
| 85   | Damien Martyn            | 40.80   | 28.00  | 1.457 |
| 86   | Rahmat Shah              | 36.70   | 25.21  | 1.455 |
| 87   | Tanmay Mishra            | 34.18   | 23.51  | 1.453 |
| 88   | Mark Waugh               | 39.35   | 27.23  | 1.444 |
| 89   | Fakhar Zaman             | 46.67   | 32.36  | 1.442 |
| 90   | Allan Lamb               | 39.31   | 27.27  | 1.441 |
| 91   | Peter Kirsten            | 38.02   | 26.48  | 1.435 |
| 92   | Ed Joyce                 | 38.00   | 26.46  | 1.435 |
| 93   | Graeme Hick              | 37.33   | 26.09  | 1.430 |
| 94   | David Boon               | 37.04   | 25.89  | 1.430 |
| 95   | Mushtaq Mohammad         | 34.83   | 24.43  | 1.425 |
| 96   | James Taylor             | 42.23   | 29.63  | 1.425 |
| 97   | Robin Smith              | 39.01   | 27.40  | 1.423 |
| 98   | Martin Guptill           | 42.16   | 29.65  | 1.421 |
| 99   | Barry Wood               | 31.40   | 22.11  | 1.419 |
| 100  | John Dyson               | 32.82   | 23.15  | 1.417 |
| 101  | Alvin Kallicharran       | 34.41   | 24.28  | 1.417 |
| 102  | Angelo Mathews           | 41.67   | 29.42  | 1.416 |
| 103  | Jonathan Bairstow        | 47.91   | 33.88  | 1.414 |
| 104  | Marvan Atapattu          | 37.57   | 26.57  | 1.413 |
| 105  | Sourav Ganguly           | 41.02   | 29.05  | 1.411 |
| 106  | Gavin Hamilton           | 35.17   | 24.93  | 1.410 |
| 107  | Kevin Pietersen          | 40.73   | 28.91  | 1.408 |
| 108  | Adam Voges               | 45.78   | 32.59  | 1.404 |
| 109  | Mohammad Shahzad         | 33.66   | 23.97  | 1.403 |
| 110  | Graham Gooch             | 36.98   | 26.36  | 1.402 |
| 111  | Andrew Symonds           | 39.75   | 28.41  | 1.398 |
| 112  | Graham Thorpe            | 37.18   | 26.60  | 1.397 |
| 113  | Tillakaratne Dilshan     | 39.27   | 28.11  | 1.397 |
| 114  | Shane Watson             | 40.54   | 29.03  | 1.396 |
| 115  | Gyanendra Malla          | 26.66   | 19.19  | 1.389 |
| 116  | Andrew Jones             | 35.69   | 25.78  | 1.384 |
| 117  | Roger Twose              | 38.81   | 28.06  | 1.382 |
| 118  | Mike Atherton            | 35.11   | 25.45  | 1.379 |
| 119  | Chamika Karunaratne      | 38.42   | 27.88  | 1.377 |
| 120  | Steven Smith             | 43.34   | 31.49  | 1.376 |
| 121  | Neil Johnson             | 36.50   | 26.53  | 1.375 |
| 122  | Shakib Al Hasan          | 37.73   | 27.46  | 1.374 |
| 123  | Darren Lehmann           | 38.96   | 28.36  | 1.373 |
| 124  | Craig Williams           | 35.46   | 25.94  | 1.366 |
| 125  | Shaun Marsh              | 40.77   | 29.87  | 1.365 |
| 126  | Navjot Sidhu             | 37.08   | 27.27  | 1.359 |
| 127  | Saleem Elahi             | 36.72   | 27.06  | 1.356 |
| 128  | Rahul Dravid             | 39.16   | 28.95  | 1.352 |
| 129  | Jeremy Coney             | 30.72   | 22.78  | 1.348 |
| 130  | Bruce Edgar              | 30.74   | 22.84  | 1.346 |
| 131  | Nicolas Pooran           | 40.03   | 29.79  | 1.343 |
| 132  | George Munsey            | 36.75   | 27.36  | 1.343 |
| 133  | Marcus Trescothick       | 37.37   | 27.81  | 1.343 |
| 134  | Shikhar Dhawan           | 45.53   | 33.89  | 1.343 |
| 135  | Sunil Gavaskar           | 35.13   | 26.26  | 1.337 |
| 136  | Chris Gayle              | 37.83   | 28.33  | 1.335 |
| 137  | Mohammad Azharuddin      | 36.92   | 27.65  | 1.334 |
| 138  | Ayaan Khan               | 32.72   | 24.53  | 1.333 |
| 139  | Carl Hooper              | 35.34   | 26.53  | 1.332 |
| 140  | Graeme Wood              | 33.62   | 25.25  | 1.331 |
| 141  | Nathan Astle             | 34.92   | 26.26  | 1.329 |
| 142  | George Bailey            | 40.58   | 30.59  | 1.326 |
| 143  | Wesley Barresi           | 35.65   | 26.90  | 1.325 |
| 144  | Fawad Alam               | 40.25   | 30.43  | 1.322 |
| 145  | Ian Bell                 | 37.87   | 28.68  | 1.320 |
| 146  | Richie Richardson        | 33.41   | 25.32  | 1.319 |
| 147  | Neil McKenzie            | 37.51   | 28.43  | 1.319 |
| 148  | Tamim Iqbal              | 36.74   | 27.86  | 1.318 |
| 149  | Usman Khawaja            | 42.00   | 31.89  | 1.316 |
| 150  | Kepler Wessels           | 34.35   | 26.10  | 1.316 |
| 151  | David Hemp               | 33.73   | 25.63  | 1.316 |
| 152  | Arjuna Ranatunga         | 35.84   | 27.28  | 1.313 |
| 153  | Jonty Rhodes             | 35.11   | 26.76  | 1.312 |
| 154  | Callum Ferguson          | 41.43   | 31.58  | 1.312 |
| 155  | Graeme Smith             | 37.98   | 28.96  | 1.311 |
| 156  | David Miller             | 40.73   | 31.10  | 1.309 |
| 157  | Hashmatullah Shahidi     | 32.78   | 25.07  | 1.307 |
| 158  | Ajay Jadeja              | 37.47   | 28.67  | 1.307 |
| 159  | Haris Sohail             | 46.80   | 35.82  | 1.306 |
| 160  | Russel Arnold            | 35.26   | 27.01  | 1.305 |
| 161  | Calum MacLeod            | 35.13   | 26.92  | 1.305 |
| 162  | Mushfiqur Rahim          | 36.79   | 28.22  | 1.303 |
| 163  | Yasir Hameed             | 36.87   | 28.39  | 1.298 |
| 164  | Curtis Campher           | 38.80   | 29.88  | 1.298 |
| 165  | Clayton Lambert          | 33.91   | 26.13  | 1.297 |
| 166  | Aravinda de Silva        | 34.90   | 26.92  | 1.296 |
| 167  | Don Maxwell              | 27.66   | 21.35  | 1.295 |
| 168  | Matt Machan              | 33.36   | 25.77  | 1.294 |
| 169  | Brendan Taylor           | 35.55   | 27.58  | 1.288 |
| 170  | Kashif Daud              | 32.85   | 25.58  | 1.284 |
| 171  | Temba Bavuma             | 45.12   | 35.22  | 1.281 |
| 172  | Andy Flower              | 35.34   | 27.60  | 1.280 |
| 173  | Herschelle Gibbs         | 36.13   | 28.32  | 1.275 |
| 174  | Johannes Smit            | 33.23   | 26.07  | 1.274 |
| 175  | Jekon Edness             | 28.00   | 22.05  | 1.269 |
| 176  | Paul Collingwood         | 35.36   | 27.94  | 1.265 |
| 177  | Imran Khan               | 33.41   | 26.43  | 1.263 |
| 178  | Runako Morton            | 33.75   | 26.70  | 1.263 |
| 179  | Imad Wasim               | 42.86   | 33.93  | 1.263 |
| 180  | Shahriar Nafees          | 31.44   | 24.89  | 1.263 |
| 181  | Dilip Vengsarkar         | 34.73   | 27.53  | 1.261 |
| 182  | Rilee Rossouw            | 38.71   | 30.71  | 1.260 |
| 183  | Saleem Malik             | 32.88   | 26.10  | 1.259 |
| 184  | Eoin Morgan              | 39.69   | 31.57  | 1.256 |
| 185  | Adam Gilchrist           | 35.89   | 28.64  | 1.252 |
| 186  | Kedar Jadhav             | 42.09   | 33.66  | 1.250 |
| 187  | Avishka Fernando         | 37.03   | 29.63  | 1.249 |
| 188  | Daryll Cullinan          | 32.99   | 26.40  | 1.249 |
| 189  | Aaron Finch              | 41.05   | 32.90  | 1.247 |
| 190  | Lokesh Rahul             | 46.68   | 37.45  | 1.246 |
| 191  | Jatinder Singh           | 31.77   | 25.50  | 1.245 |
| 192  | Sanjay Manjrekar         | 33.23   | 26.72  | 1.243 |
| 193  | Najibullah Zadaran       | 31.13   | 25.04  | 1.242 |
