+-------------------------------+-------+----------+---------------+
| Batsman                       | Runs  | Hundreds | Runs/Hundreds |
+-------------------------------+-------+----------+---------------+
| Sarfaraz Khan                 | 1299  | 6        | 216.50        |
| Ravi Jadeja                   | 2269  | 11       | 206.27        |
| Will Pucovski                 | 1142  | 6        | 190.33        |
| Raynard van Tonder            | 1111  | 6        | 185.16        |
| Punit Bisht                   | 1614  | 9        | 179.33        |
| Mayank Agarwal                | 2135  | 12       | 177.91        |
| Bill Ponsford                 | 8265  | 47       | 175.85        |
| Deepak Sharma                 | 1044  | 6        | 174.00        |
| Don Bradman                   | 20350 | 117      | 173.93        |
| Sulakshan Kulkarni            | 1040  | 6        | 173.33        |
| Prashant Chopra               | 1385  | 8        | 173.12        |
| Jeffrey Stollmeyer            | 2413  | 14       | 172.35        |
| Ajay Jadeja                   | 3425  | 20       | 171.25        |
| Shubman Gill                  | 1189  | 7        | 169.85        |
| Rahul Dewan                   | 1183  | 7        | 169.00        |
| Sreekumar Nair                | 1010  | 6        | 168.33        |
| Brian Lara                    | 10939 | 65       | 168.29        |
| Khanmohammad Ibrahim          | 2354  | 14       | 168.14        |
| Billy Murdoch                 | 3191  | 19       | 167.94        |
| David Sales                   | 4861  | 29       | 167.62        |
| Ollie Pope                    | 1997  | 12       | 166.41        |
| Bhausaheb Nimbalkar           | 1996  | 12       | 166.33        |
| Sachin Baby                   | 1160  | 7        | 165.71        |
| Devang Gandhi                 | 2644  | 16       | 165.25        |
| Munir Ahmad                   | 1487  | 9        | 165.22        |
| Adil Nisar                    | 1652  | 10       | 165.20        |
| Arthur Richardson             | 2146  | 13       | 165.07        |
| Woorkeri Raman                | 3133  | 19       | 164.89        |
| James Taylor                  | 3269  | 20       | 163.45        |
| David Ward                    | 2615  | 16       | 163.43        |
| Cheteshwar Pujara             | 8171  | 50       | 163.42        |
| Rony Talukdar                 | 1631  | 10       | 163.10        |
| Sean Dickson                  | 1621  | 10       | 162.10        |
| Everton Weekes                | 5833  | 36       | 162.02        |
| Shantanu Sugwekar             | 3077  | 19       | 161.94        |
| Bahir Shah                    | 1293  | 8        | 161.62        |
| Vijay Merchant                | 7273  | 45       | 161.62        |
