+------+----------------------+----------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                              |
+------+----------------------+----------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 5    | Mahmudullah          | Rubel Hossain        | [Dhaka Division v Chittagong Division, Abahani Limited v Prime Bank Cricket Club, Barisal Bulls v Sylhet Superstars, Khulna Titans v Rangpur Riders, Khulna v Dhaka]                                                 |
| 5    | Shoaib Malik         | Wahab Riaz           | [Uva Next v Ruhuna Royals, Sialkot Stallions v Lahore Lions, Karachi Kings v Peshawar Zalmi, Rajshahi Royals v Dhaka Platoon, Guyana Amazon Warriors v St Lucia Kings]                                               |
| 5    | Shamsur Rahman       | Shakib Al Hasan      | [Rangpur Riders v Dhaka Gladiators, Abahani Limited v Prime Bank Cricket Club, Dhaka Dynamites v Rangpur Riders, Comilla Victorians v Dhaka Dynamites, Minister Group Dhaka v Fortune Barisal]                       |
| 5    | Imrul Kayes          | Taijul Islam         | [Khulna Division v Rajshahi Division, United Commerce Bank Bangladesh Cricket Board XI v Prime Bank Cricket Club, Comilla Victorians v Barisal Bulls, Chattogram Challengers v Rajshahi Royals, Khulna v Chittagong] |
| 5    | Daren Sammy          | Dwayne Bravo         | [Sunrisers v Chennai Super Kings, St Lucia Zouks v Trinidad and Tobago Red Steel, Rajshahi Kings v Dhaka Dynamites, St Lucia Stars v Trinbago Knight Riders, Peshawar Zalmi v Quetta Gladiators]                     |
| 4    | Misbah-ul-Haq        | Shahid Afridi        | [Faisalabad Wolves v Karachi Dolphins, Royal Challengers Bangalore v Deccan Chargers, Kandurata Warriors v Ruhuna Royals, Islamabad United v Karachi Kings]                                                          |
| 4    | Upul Tharanga        | Chathura Peiris      | [Ruhuna v Sri Lanka Schools, Uva Next v Uthura Rudras, Kandurata v Uthura, Nondescripts Cricket Club v Ragama Cricket Club]                                                                                          |
| 4    | Chris Gayle          | Dwayne Bravo         | [Kolkata Knight Riders v Mumbai Indians, Jamaica v Trinidad and Tobago, Royal Challengers Bangalore v Chennai Super Kings, Jamaica Tallawahs v Trinidad and Tobago Red Steel]                                        |
| 4    | David Hussey         | Johan Botha          | [Kolkata Knight Riders v Rajasthan Royals, Nottinghamshire v Northamptonshire, Australia v South Africa, Melbourne Stars v Adelaide Strikers]                                                                        |
| 4    | Sohail Tanvir        | Wahab Riaz           | [Rawalpindi Rams v Lahore Lions, Karachi Kings v Peshawar Zalmi, Guyana Amazon Warriors v Barbados Tridents, Northern v Khyber Pakhtunkhwa]                                                                          |
| 4    | Kieron Pollard       | Muttiah Muralitharan | [West Indies v Sri Lanka, Mumbai Indians v Chennai Super Kings, Adelaide Strikers v Melbourne Renegades, Barbados Tridents v Jamaica Tallawahs]                                                                      |
| 4    | Chris Gayle          | Ben Cutting          | [Western Australia v Queensland, Royal Challengers Bangalore v Sunrisers, Kings XI Punjab v Mumbai Indians, Balkh Legends v Nangarhar Leopards]                                                                      |
| 4    | AB de Villiers       | Dwayne Bravo         | [Delhi Daredevils v Mumbai Indians, South Africa v West Indies, Barbados Tridents v Trinbago Knight Riders, Tshwane Spartans v Paarl Rocks]                                                                          |
| 4    | Jahurul Islam        | Arafat Sunny         | [Dhaka Division v Barisal Division, Chittagong Vikings v Rangpur Riders, Khulna Titans v Rajshahi Kings, Khelaghar Samaj Kallyan Samity v Abahani Limited]                                                           |
| 4    | Mahmudullah          | Mukhtar Ali          | [Dhaka Division v Rajshahi Division, Chittagong Kings v Duronto Rajshahi, Bangladesh v Bangladesh A, Khulna v Dhaka]                                                                                                 |
| 4    | Imad Wasim           | Wahab Riaz           | [Islamabad Leopards v Lahore Lions, Karachi Kings v Peshawar Zalmi, Jamaica Tallawahs v Barbados Tridents, Northern v Southern Punjab]                                                                               |
| 4    | Parthiv Patel        | Jaydev Unadkat       | [Kochi Tuskers Kerala v Kolkata Knight Riders, Mumbai Indians v Rising Pune Supergiant, Royal Challengers Bangalore v Rajasthan Royals, Gujarat v Saurashtra]                                                        |
| 4    | Shane Watson         | Sunil Narine         | [New South Wales v Trinidad and Tobago, Rajasthan Royals v Kolkata Knight Riders, Australia v West Indies, Islamabad United v Lahore Qalandars]                                                                      |
| 4    | Dwayne Smith         | Sunil Narine         | [Barbados v Trinidad and Tobago, Mumbai Indians v Kolkata Knight Riders, Barbados Tridents v Guyana Amazon Warriors, Guyana Amazon Warriors v Trinbago Knight Riders]                                                |
| 4    | Iftikhar Ahmed       | Wahab Riaz           | [Peshawar Panthers v Lahore Lions, Rawalpindi v Lahore Whites, Khyber Pakhtunkhwa v Southern Punjab, Islamabad United v Peshawar Zalmi]                                                                              |
| 4    | Shoaib Malik         | Sohail Tanvir        | [Sialkot Stallions v Rawalpindi Rams, Chittagong Vikings v Comilla Victorians, Multan Sultans v Quetta Gladiators, Peshawar Zalmi v Multan Sultans]                                                                  |
| 4    | Kieron Pollard       | Dwayne Bravo         | [Mumbai Indians v Chennai Super Kings, Barbados Tridents v Trinidad and Tobago Red Steel, Dhaka Dynamites v Comilla Victorians, St Lucia Stars v Trinbago Knight Riders]                                             |
