+--------+-------+------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                                | Match                                                                 | StartDate  |
+--------+-------+------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| B      | 11    | [Bowyer, Beagley, Beldham, Budd, Brand, Beauclerk, Bentley, Bennett, Barton, Bridger, Bentley]       | The Bs v England                                                      | 1816-07-03 |
| B      | 11    | [Bentley, Bowyer, Beldham, Budd, Beagley, Bray, Beauclerk, Bennett, Baker, Browne, Bentley]          | The Bs v England                                                      | 1817-06-02 |
| B      | 11    | [Bowyer, Brand, Budd, Beagley, Beauclerk, Barnard, Broadbridge, Broadbridge, Bayley, Barnett, Bates] | The Bs v England                                                      | 1822-08-12 |
| B      | 11    | [Bowyer, Brand, Baker, Budd, Beagley, Beauclerk, Broadbridge, Bayley, Barnett, Bates, Broadbridge]   | The Bs v England                                                      | 1823-06-16 |
| B      | 11    | [Brand, Bowyer, Beagley, Budd, Beauclerk, Broadbridge, Broadbridge, Brown, Barnett, Bates, Barnard]  | The Bs v England                                                      | 1824-07-26 |
| B      | 11    | [Brand, Bowyer, Broadbridge, Budd, Beagley, Beauclerk, Baker, Brown, Beagley, Barnett, Bates]        | The Bs v England                                                      | 1825-07-11 |
| B      | 11    | [Bowyer, Bray, Beagley, Broadbridge, Beagley, Broadbridge, Brown, Bayley, Baker, Burt, Budd]         | The Bs v England                                                      | 1828-06-23 |
| B      | 11    | [Bayley, Burt, Bearblock, Beagley, Bennett, Beagley, Broadbridge, Brown, Baker, Bates, Bentley]      | The Bs v Marylebone Cricket Club                                      | 1832-06-04 |
| B      | 10    | [Barton, Bennett, Beckett, Beauclerk, Beldham, Bennett, Bentley, Bridger, Beldham, Burgoyne]         | The Bs v England                                                      | 1805-07-08 |
| B      | 10    | [Bayley, Benn, Beagley, Budd, Broadbridge, Brown, Barnett, Bennett, Bennett, Burt]                   | The Bs v England                                                      | 1831-06-13 |
| M      | 10    | [Mawoyo, Marumisa, Masakadza, Matsikenyeri, Matsika, Maruma, Mutizwa, Masakadza, Musoso, Mujaji]     | Easterns v Centrals                                                   | 2008-05-03 |
| M      | 10    | [Mlambo, Mawoyo, Masakadza, Matsikenyeri, Maruma, Mutizwa, Marumisa, Masakadza, M'shangwe, Mujaji]   | Easterns v Centrals                                                   | 2009-04-27 |
| B      | 9     | [Bentley, Bennett, Budd, Beldham, Beauclerk, Bridger, Bentley, Bentley, Barton]                      | The Bs v England                                                      | 1810-06-12 |
| B      | 9     | [Barnett, Beauclerk, Box, Beagley, Broadbridge, Barnett, Bayley, Broughton, Barnett]                 | The Bs v Marylebone Cricket Club                                      | 1837-07-31 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                      | Sikhs v Muslims                                                       | 1923-02-27 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                      | Sikhs v Muslims                                                       | 1924-03-15 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                      | Sikhs v Hindus                                                        | 1925-03-03 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                      | Sikhs v Muslims                                                       | 1925-03-09 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                      | Sikhs v Europeans                                                     | 1926-03-09 |
| A      | 9     | [Ali, Ahmed, Abbas, Ahmed, Ahmed, Alam, Alam, Ahmed, Ahmed]                                          | House Building Finance Corporation v United Bank Limited              | 1983-12-07 |
| A      | 9     | [Ahmed, Ali, Abbas, Ahmed, Ahmed, Alam, Alam, Ahmed, Ahmed]                                          | House Building Finance Corporation v Railways                         | 1983-12-13 |
| M      | 9     | [Mawoyo, Marumisa, Masakadza, Matsikenyeri, Mutizwa, Mlambo, Maruma, Musoso, Mujaji]                 | Easterns v Northerns                                                  | 2007-04-12 |
| M      | 9     | [Mawoyo, Marumisa, Mlambo, Masakadza, Matsikenyeri, Mutizwa, Maruma, Musoso, Mujaji]                 | Easterns v Southerns                                                  | 2007-04-19 |
| M      | 9     | [Mawoyo, Mlambo, Masakadza, Matsikenyeri, Marumisa, Mutizwa, Maruma, Masakadza, Musoso]              | Easterns v Westerns                                                   | 2008-05-17 |
| M      | 9     | [Mlambo, Mawoyo, Matsikenyeri, Masakadza, Maruma, Mutizwa, Mujaji, Masakadza, M'shangwe]             | Easterns v Northerns                                                  | 2009-05-05 |
| S      | 9     | [Singh, Singh, Sidana, Singh, Singh, Singh, Singh, Sharma, Singh]                                    | Punjab v Gujarat                                                      | 2012-12-22 |
| S      | 9     | [Singh, Singh, Singh, Singh, Sidana, Singh, Sran, Singh, Singh]                                      | Punjab v Tamil Nadu                                                   | 2015-12-01 |
| A      | 9     | [Ali, Ali, Azam, Alam, Ashraf, Ali, Ali, Afridi, Abbas]                                              | Pakistan v West Indies                                                | 2021-08-20 |
| W      | 8     | [Ward, Walker, Walker, Weller, Wells, Whitehead, Wells, Woodroffe]                                   | The Ws and Hs v England                                               | 1800-07-14 |
| B      | 8     | [Bose, Banerjee, Behrend, Bhattacharya, Bose, Bose, Bose, Banerjee]                                  | Bengal v Central India                                                | 1936-01-18 |
| S      | 8     | [Singh, Singh, Singh, Singh, Saxena, Singh, Singh, Singh]                                            | Southern Punjab v Railways                                            | 1960-02-22 |
| R      | 8     | [Ramprasad, Ramaswaroop, Rao, Raju, Ramamurthy, Radhakrishna, Ravindranath, Rao]                     | Andhra v Kerala                                                       | 1963-12-14 |
| A      | 8     | [Ali, Ahmed, Abbas, Ahmed, Alam, Alam, Ahmed, Ahmed]                                                 | House Building Finance Corporation v State Bank of Pakistan           | 1983-12-19 |
| A      | 8     | [Arif, Ahmed, Abbas, Alam, Ahmed, Alam, Ahmed, Ahmed]                                                | House Building Finance Corporation v Karachi                          | 1985-01-10 |
| S      | 8     | [Sidhu, Singh, Singh, Sharma, Sharma, Singh, Singh, Singh]                                           | Punjab v Services                                                     | 1986-12-26 |
| P      | 8     | [Parmar, Patel, Patel, Patadiwala, Patel, Patel, Patel, Patel]                                       | Gujarat v Bombay                                                      | 1993-12-24 |
| S      | 8     | [Sharma, Sharma, Singh, Sharma, Sharma, Singh, Sharma, Sharma]                                       | Jammu and Kashmir v Delhi                                             | 1994-12-23 |
| P      | 8     | [Patel, Parmar, Patadiwala, Patel, Patel, Patel, Patel, Patel]                                       | Gujarat v Maharashtra                                                 | 1995-01-15 |
| A      | 8     | [Ahmed, Ali, Adnan, Ali, Ahmed, Ahmed, Ahmed, Abbas]                                                 | Islamabad v Karachi Blues                                             | 1995-03-08 |
| A      | 8     | [Ashraf, Abbasi, Ahmed, Ahmed, Abbasi, Akhtar, Asghar, Akhtar]                                       | Rawalpindi v Bahawalpur                                               | 1996-11-09 |
| A      | 8     | [Ashraf, Ahmed, Ali, Azhar, Abbasi, Akhtar, Arafat, Ahmed]                                           | Rawalpindi v India A                                                  | 1998-02-19 |
| S      | 8     | [Sidhu, Sodhi, Singh, Sharma, Singh, Singh, Sanwal, Sanwal]                                          | Punjab v Jammu and Kashmir                                            | 1998-10-29 |
| S      | 8     | [Silva, Sampath, Silva, Soysa, Silva, Soysa, Subash, Silva]                                          | Singha Sports Club v Colts Cricket Club                               | 1999-04-02 |
| S      | 8     | [Sidhu, Sodhi, Sharma, Sharma, Singh, Singh, Singh, Sanwal]                                          | Punjab v Himachal Pradesh                                             | 1999-10-24 |
| A      | 8     | [Altaf, Ahmed, Ashraf, Aziz, Ahmed, Asad, Anjum, Ashfaq]                                             | Islamabad v Karachi Blues                                             | 1999-11-06 |
| A      | 8     | [Ashraf, Abbasi, Anwar, Ahmed, Aziz, Arafat, Akhtar, Akram]                                          | Rawalpindi v Peshawar                                                 | 2000-10-11 |
| A      | 8     | [Ashraf, Anwar, Ahmed, Aziz, Akhtar, Abbasi, Arafat, Akram]                                          | Rawalpindi v Sargodha                                                 | 2000-10-23 |
| A      | 8     | [Anwar, Aziz, Ahmed, Arafat, Akhtar, Abbasi, Ahmed, Akram]                                           | Rawalpindi v Sheikhupura                                              | 2000-11-16 |
| A      | 8     | [Anwar, Ashraf, Arafat, Ahmed, Aziz, Ahmed, Afridi, Ajmal]                                           | Khan Research Laboratories v National Bank of Pakistan                | 2001-02-20 |
| M      | 8     | [Mawoyo, Mlambo, Marumisa, Masakadza, Matsikenyeri, Mutizwa, Maruma, Musoso]                         | Easterns v Kenya Select XI                                            | 2007-04-26 |
| M      | 8     | [Mawoyo, Marumisa, Mlambo, Masakadza, Matsikenyeri, Mutizwa, Maruma, Musoso]                         | Easterns v Westerns                                                   | 2007-05-03 |
| M      | 8     | [Mawoyo, Marumisa, Mlambo, Matsikenyeri, Mutizwa, Maruma, Musoso, Mujaji]                            | Easterns v Centrals                                                   | 2007-05-10 |
| M      | 8     | [Mawoyo, Marumisa, Masakadza, Matsikenyeri, Mutizwa, Maruma, Masakadza, Mujaji]                      | Easterns v Northerns                                                  | 2008-04-17 |
| M      | 8     | [Mawoyo, Marumisa, Mutizwa, Matsikenyeri, Maruma, Matsika, Mujaji, Masakadza]                        | Easterns v Southerns                                                  | 2008-04-24 |
| M      | 8     | [Mlambo, Marumisa, Masakadza, Matsikenyeri, Maruma, Mutizwa, Masakadza, M'shangwe]                   | Easterns v Centrals                                                   | 2009-03-31 |
| M      | 8     | [Mlambo, Matsikenyeri, Masakadza, Mawoyo, Maruma, Mutizwa, Masakadza, M'shangwe]                     | Easterns v Northerns                                                  | 2009-04-06 |
| M      | 8     | [Mlambo, Mawoyo, Matsikenyeri, Masakadza, Mutizwa, Maruma, Masakadza, M'shangwe]                     | Easterns v Westerns                                                   | 2009-04-21 |
| O      | 8     | [Otieno, Obuya, Ouma, Obuya, Odoyo, Odhiambo, Ongondo, Otieno]                                       | Kenya v Ireland                                                       | 2009-07-03 |
| M      | 8     | [Mawoyo, Mlambo, Masakadza, Matsikenyeri, Maruma, Masakadza, M'shangwe, Mujaji]                      | Mountaineers v Mashonaland Eagles                                     | 2009-09-14 |
| M      | 8     | [Mlambo, Mawoyo, Masakadza, Matsikenyeri, Maruma, Masakadza, Mujaji, M'shangwe]                      | Mountaineers v Southern Rocks                                         | 2009-09-22 |
| M      | 8     | [Mawoyo, Marumisa, Masakadza, Mawudzi, Matsikenyeri, Maruma, Masakadza, Mujaji]                      | Mountaineers v Mashonaland Eagles                                     | 2009-11-16 |
| M      | 8     | [Mawoyo, Mlambo, Masakadza, Mawudzi, Maruma, Masakadza, M'shangwe, Mujaji]                           | Mountaineers v Matabeleland Tuskers                                   | 2011-09-26 |
| M      | 8     | [Mwakayeni, Masvaure, Mutumbami, Maregwede, Marisa, Matanga, Munyaradzi, Muzarabani]                 | Southern Rocks v Mountaineers                                         | 2011-11-14 |
| S      | 8     | [Singh, Singh, Singh, Singh, Sharma, Singh, Sharma, Singh]                                           | Punjab v Rajasthan                                                    | 2012-12-01 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sharma, Sharma, Singh]                                           | Punjab v Madhya Pradesh                                               | 2012-12-15 |
| S      | 8     | [Singh, Singh, Singh, Singh, Sharma, Singh, Sharma, Singh]                                           | Punjab v Saurashtra                                                   | 2013-01-16 |
| M      | 8     | [Mwakayeni, Maunze, Masvaure, Mutumbami, Maregwede, Mupariwa, Matanga, Musoko]                       | Southern Rocks v Matabeleland Tuskers                                 | 2013-03-05 |
| S      | 8     | [Singh, Singh, Singh, Sehwag, Saini, Singh, Sharma, Singh]                                           | North Zone v South Zone                                               | 2013-10-17 |
| A      | 8     | [Ali, Ahmed, Ahmed, Anjum, Ahmed, Akbar, Abbas, Ahmed]                                               | Pakistan Television v Khan Research Laboratories                      | 2013-10-23 |
| A      | 8     | [Ali, Ahmed, Ahmed, Ahmed, Anjum, Akbar, Ahmed, Ali]                                                 | Pakistan Television v Port Qasim Authority                            | 2013-10-31 |
| A      | 8     | [Ali, Ahmed, Ahmed, Anjum, Ahmed, Akbar, Ahmed, Ali]                                                 | Pakistan Television v Pakistan International Airlines                 | 2013-11-08 |
| S      | 8     | [Singh, Singh, Singh, Sharma, Sidana, Singh, Singh, Singh]                                           | Punjab v Haryana                                                      | 2013-11-28 |
| A      | 8     | [Ali, Ahmed, Ahmed, Anjum, Ahmed, Akbar, Abbas, Ali]                                                 | Pakistan Television v Sui Northern Gas Pipelines Limited              | 2013-12-05 |
| A      | 8     | [Ali, Ahmed, Ashraf, Ahmed, Anjum, Akbar, Ahmed, Ali]                                                | Pakistan Television v United Bank Limited                             | 2013-12-29 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sharma, Singh]                                            | Punjab v Jammu and Kashmir                                            | 2014-01-08 |
| M      | 8     | [Mawoyo, Masakadza, Maruma, Mutizwa, Masakadza, M'shangwe, Masakadza, Mupunga]                       | Mountaineers v Mashonaland Eagles                                     | 2014-03-29 |
| M      | 8     | [Mawoyo, Masakadza, Maruma, Mutizwa, Masakadza, M'shangwe, Masakadza, Mupunga]                       | Mountaineers v Southern Rocks                                         | 2014-04-15 |
| M      | 8     | [Mawoyo, Masakadza, Maruma, Mutizwa, Masakadza, M'shangwe, Mufudza, Mupunga]                         | Mountaineers v Mid West Rhinos                                        | 2014-04-23 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sharma, Singh, Singh]                                            | Punjab v Haryana                                                      | 2014-12-07 |
| M      | 8     | [Mawoyo, Maruma, Matsikenyeri, Mutizwa, M'shangwe, Mufudza, Musoko, Mupunga]                         | Mountaineers v Mid West Rhinos                                        | 2014-12-09 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sharma, Singh]                                            | Punjab v Maharashtra                                                  | 2014-12-21 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                             | Punjab v Saurashtra                                                   | 2014-12-28 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sharma, Singh, Singh]                                            | Punjab v Rajasthan                                                    | 2015-01-05 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Sharma]                                            | Punjab v Delhi                                                        | 2015-02-06 |
| A      | 8     | [Abbas, Ahmed, Anwar, Ali, Arshad, Ali, Abbas, Ali]                                                  | Khan Research Laboratories v Federally Administered Tribal Areas      | 2015-11-09 |
| A      | 8     | [Ali, Alam, Akbar-ur-Rehman, Abbas, Ashraf, Amin-ur-Rehman, Asghar, Ataullah]                        | National Bank of Pakistan v Water and Power Development Authority     | 2015-11-23 |
| A      | 8     | [Ali, Alam, Abbas, Akmal, Akbar-ur-Rehman, Ashraf, Asghar, Ataullah]                                 | National Bank of Pakistan v United Bank Limited                       | 2015-12-14 |
| M      | 8     | [Maruma, Masvaure, Mayavo, Mbofana, Mumba, Mavuta, Munyede, Muzhange]                                | Mid West Rhinos v Matabeleland Tuskers                                | 2016-03-02 |
| A      | 8     | [Ali, Arshad, Ahmed, Anwar, Ali, Ali, Ali, Afridi]                                                   | Khan Research Laboratories v Federally Administered Tribal Areas      | 2017-10-03 |
