+--------+-------+-------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                           | Match                                                                 | StartDate  |
+--------+-------+-------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| M      | 10    | [Maruma, Matsikenyeri, Mlambo, Mutizwa, Marumisa, Matsika, Masakadza, Maparura, Mujaji, Musoso] | Easterns v Northerns                                                  | 2008-06-02 |
| P      | 9     | [Patel, Praniya, Parmar, Patadiwala, Patel, Patel, Patel, Patel, Patel]                         | Gujarat v Bombay                                                      | 1995-01-25 |
| M      | 9     | [Mawoyo, Mlambo, Masakadza, Mutizwa, Marumisa, Maparura, Maruma, Mujaji, Musoso]                | Easterns v Northerns                                                  | 2007-03-23 |
| M      | 9     | [Mawoyo, Mlambo, Masakadza, Marumisa, Mutizwa, Maruma, Mujaji, Musoso, Maparura]                | Easterns v Southerns                                                  | 2007-03-25 |
| M      | 9     | [Mawoyo, Mlambo, Masakadza, Marumisa, Mutizwa, Maparura, Maruma, Mujaji, Musoso]                | Easterns v Westerns                                                   | 2007-03-27 |
| M      | 9     | [Mawoyo, Mlambo, Masakadza, Marumisa, Mutizwa, Maparura, Maruma, Mujaji, Musoso]                | Easterns v Centrals                                                   | 2007-03-28 |
| O      | 9     | [Ouma, Obuya, Odhiambo, Obuya, Odoyo, Obanda, Onyango, Ongondo, Otieno]                         | Kenya v India A                                                       | 2007-08-18 |
| M      | 9     | [Matsikenyeri, Masakadza, Mlambo, Marumisa, Mutizwa, Maruma, Masakadza, Musoso, Mujaji]         | Easterns v Westerns                                                   | 2008-05-30 |
| M      | 9     | [Maruma, Matsikenyeri, Masakadza, Mlambo, Mutizwa, Marumisa, Musoso, Mujaji, Masakadza]         | Easterns v Centrals                                                   | 2008-06-01 |
| A      | 8     | [Anwar, Ahmed, Abbasi, Azhar, Afaq, Akhtar, Abbasi, Ahmed]                                      | Rawalpindi v Sargodha                                                 | 1990-12-21 |
| P      | 8     | [Parmar, Patadiwala, Patel, Pathak, Patel, Patel, Pithawala, Patel]                             | Gujarat v Saurashtra                                                  | 1993-12-20 |
| P      | 8     | [Parmar, Patadiwala, Patel, Patel, Patel, Patel, Patel, Patel]                                  | Gujarat v Saurashtra                                                  | 1994-12-22 |
| P      | 8     | [Patel, Patadiwala, Parmar, Patel, Patel, Patel, Patel, Patel]                                  | Gujarat v Saurashtra                                                  | 1995-12-20 |
| A      | 8     | [Alam, Ali, Ali, Ali, Afridi, Alvi, Atiq-uz-Zaman, Ahmed]                                       | Karachi Whites v Agriculture Development Bank of Pakistan             | 1995-12-28 |
| P      | 8     | [Patadiwala, Parmar, Patel, Patel, Patel, Patel, Patel, Patel]                                  | Gujarat v Mumbai                                                      | 1996-10-26 |
| S      | 8     | [Singh, Sharma, Singh, Sharma, Sharma, Singh, Sharma, Singh]                                    | Jammu and Kashmir v Haryana                                           | 1998-11-06 |
| S      | 8     | [Sidhu, Sharma, Sodhi, Singh, Singh, Singh, Singh, Sanwal]                                      | Punjab v Haryana                                                      | 1998-11-19 |
| S      | 8     | [Sidhu, Sharma, Sehwag, Sodhi, Sanghvi, Singh, Singh, Singh]                                    | North Zone v Central Zone                                             | 1999-01-19 |
| S      | 8     | [Sharma, Sidhu, Sodhi, Sharma, Singh, Singh, Singh, Sharma]                                     | Punjab v Services                                                     | 1999-10-30 |
| S      | 8     | [Sharma, Sodhi, Sharma, Singh, Singh, Singh, Singh, Singh]                                      | Punjab v Jammu and Kashmir                                            | 1999-11-05 |
| S      | 8     | [Sharma, Sodhi, Singh, Singh, Sharma, Singh, Singh, Singh]                                      | Punjab v Delhi                                                        | 1999-11-12 |
| S      | 8     | [Singh, Singh, Singh, Salaria, Sharma, Shafi, Singh, Singh]                                     | Jammu and Kashmir v Services                                          | 2002-12-10 |
| O      | 8     | [Ouma, Obuya, Odhiambo, Obuya, Odoyo, Obanda, Onyango, Ongondo]                                 | Kenya v Sri Lanka A                                                   | 2007-08-16 |
| O      | 8     | [Ouma, Obuya, Odhiambo, Obuya, Odoyo, Onyango, Obanda, Ongondo]                                 | Kenya v Sri Lanka A                                                   | 2007-08-20 |
| O      | 8     | [Ouma, Obuya, Odhiambo, Obanda, Obuya, Odoyo, Onyango, Otieno]                                  | Kenya v Canada                                                        | 2007-10-18 |
| O      | 8     | [Ouma, Obuya, Odhiambo, Obanda, Obuya, Odoyo, Onyango, Ongondo]                                 | Kenya v Canada                                                        | 2007-10-20 |
| O      | 8     | [Ouma, Obuya, Obanda, Odhiambo, Obuya, Odoyo, Onyango, Ongondo]                                 | Kenya v Bermuda                                                       | 2007-10-25 |
| O      | 8     | [Ouma, Obuya, Obuya, Odoyo, Odhiambo, Onyango, Ongondo, Obanda]                                 | Kenya v Bermuda                                                       | 2007-10-27 |
| M      | 8     | [Marumisa, Matsikenyeri, Masakadza, Mlambo, Mutizwa, Maruma, Masakadza, Musoso]                 | Easterns v Southerns                                                  | 2008-05-28 |
| M      | 8     | [Matsikenyeri, Mlambo, Masakadza, Maruma, Mutizwa, Marumisa, M'shangwe, Masakadza]              | Easterns v Westerns                                                   | 2009-03-03 |
| M      | 8     | [Mlambo, Matsikenyeri, Masakadza, Marumisa, Maruma, Mutizwa, Masakadza, M'shangwe]              | Easterns v Northerns                                                  | 2009-03-04 |
| M      | 8     | [Mlambo, Matsikenyeri, Maruma, Masakadza, Marumisa, Mutizwa, Masakadza, M'shangwe]              | Easterns v Centrals                                                   | 2009-03-06 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Onyango, Ongondo]                                | Kenya v United Arab Emirates                                          | 2009-04-02 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Onyango, Ongondo]                                | Kenya v Afghanistan                                                   | 2009-04-04 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Onyango, Ongondo, Otieno]                                  | Kenya v Bermuda                                                       | 2009-04-06 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Ongondo, Onyango]                                | Kenya v Canada                                                        | 2009-04-11 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Onyango, Otieno]                                 | Kenya v Scotland                                                      | 2009-04-13 |
| O      | 8     | [Ouma, Otieno, Obanda, Obuya, Odoyo, Odhiambo, Onyango, Ongondo]                                | Kenya v Ireland                                                       | 2009-04-17 |
| O      | 8     | [Obuya, Otieno, Obanda, Ouma, Obuya, Odoyo, Odhiambo, Ongondo]                                  | Kenya v Ireland                                                       | 2009-07-09 |
| O      | 8     | [Obuya, Otieno, Obanda, Ouma, Obuya, Odoyo, Odhiambo, Ongondo]                                  | Kenya v Ireland                                                       | 2009-07-11 |
| O      | 8     | [Obuya, Ouma, Obanda, Obuya, Odoyo, Odhiambo, Ongondo, Onyango]                                 | Kenya v Canada                                                        | 2009-08-22 |
| O      | 8     | [Obuya, Obanda, Ouma, Obuya, Odhiambo, Ongondo, Onyango, Otieno]                                | Kenya v Zimbabwe                                                      | 2009-10-12 |
| O      | 8     | [Obuya, Obanda, Ouma, Obuya, Onyango, Odhiambo, Ongondo, Otieno]                                | Kenya v Zimbabwe                                                      | 2009-10-13 |
| M      | 8     | [Mawoyo, Mlambo, Mawudzi, Maruma, Marumisa, Masakadza, M'shangwe, Mujaji]                       | Mountaineers v Mid West Rhinos                                        | 2009-10-27 |
| M      | 8     | [Masakadza, Matsikenyeri, Mawoyo, Marumisa, Mlambo, Maruma, Masakadza, Musoso]                  | Mountaineers v Mashonaland Eagles                                     | 2009-11-21 |
