+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                               | Match                                                                   | StartDate  |
+--------+-------+-----------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------+------------+
| M      | 9     | [Mawoyo, Marumisa, Masakadza, Matsikenyeri, Maruma, Mutizwa, Maparura, Matsika, Musoso]             | Easterns v Westerns                                                     | 2008-03-19 |
| M      | 9     | [Maruma, Marumisa, Mawoyo, Mutizwa, Matsikenyeri, Masakadza, Musoso, Masakadza, Mujaji]             | Easterns v Southerns                                                    | 2008-03-20 |
| M      | 9     | [Mlambo, Matsikenyeri, Masakadza, Mutizwa, Mawoyo, Marumisa, Maruma, Masakadza, Musoso]             | Easterns v Centrals                                                     | 2009-05-14 |
| M      | 9     | [Masakadza, Mawoyo, Mutizwa, Matsikenyeri, Masakadza, Mlambo, Maruma, Marumisa, M'shangwe]          | Easterns v Westerns                                                     | 2009-05-14 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Sran, Singh, Singh, Sharma]                                     | Punjab v Madhya Pradesh                                                 | 2019-02-21 |
| S      | 9     | [Singh, Singh, Singh, Singh, Singh, Singh, Sran, Sharma, Singh]                                     | Punjab v Mumbai                                                         | 2019-02-22 |
| S      | 9     | [Singh, Sharma, Singh, Singh, Singh, Singh, Sharma, Singh, Singh]                                   | Punjab v Tripura                                                        | 2021-01-18 |
| O      | 8     | [Ouma, Obuya, Odhiambo, Obuya, Obanda, Onyango, Ongondo, Odoyo]                                     | Kenya v Sri Lanka                                                       | 2007-09-14 |
| M      | 8     | [Mawoyo, Masakadza, Mutizwa, Matsikenyeri, Marumisa, Maruma, Masakadza, Mujaji]                     | Easterns v Northerns                                                    | 2008-03-20 |
| M      | 8     | [Mawoyo, Matsikenyeri, Masakadza, Mutizwa, Marumisa, Maruma, Masakadza, Musoso]                     | Easterns v Westerns                                                     | 2008-03-21 |
| M      | 8     | [Matsikenyeri, Marumisa, Mawoyo, Maruma, Mutizwa, Masakadza, M'shangwe, Musoso]                     | Easterns v Northerns                                                    | 2009-05-13 |
| M      | 8     | [Masakadza, Mawoyo, Mutizwa, Matsikenyeri, Maruma, Mlambo, Masakadza, M'shangwe]                    | Easterns v Northerns                                                    | 2009-05-15 |
| M      | 8     | [Mlambo, Matsikenyeri, Maruma, Masakadza, Mutizwa, Masakadza, Marumisa, M'shangwe]                  | Easterns v Centrals                                                     | 2009-05-15 |
| M      | 8     | [Mlambo, Matsikenyeri, Maruma, Masakadza, Masakadza, Mutizwa, M'shangwe, Musoso]                    | Easterns v Centrals                                                     | 2009-05-16 |
| S      | 8     | [Singh, Singh, Sidana, Singh, Singh, Singh, Sharma, Sharma]                                         | Punjab v Uttar Pradesh                                                  | 2013-03-30 |
| S      | 8     | [Singh, Singh, Sidana, Singh, Singh, Sharma, Sharma, Singh]                                         | Punjab v Gujarat                                                        | 2013-03-31 |
| S      | 8     | [Singh, Singh, Singh, Singh, Sidana, Singh, Sharma, Sharma]                                         | Punjab v Jammu and Kashmir                                              | 2014-04-05 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sharma, Sran]                                            | Punjab v Haryana                                                        | 2015-03-24 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sran, Sharma]                                            | Punjab v Delhi                                                          | 2015-03-25 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Sran, Sharma]                                            | Punjab v Jammu and Kashmir                                              | 2015-03-26 |
