+-----------------------------+-----------------------------+-------+
| Batter                      | Fielder                     | Count |
+-----------------------------+-----------------------------+-------+
| Shahid Afridi               | Eoin Morgan                 | 4     |
| Ross Taylor                 | Jonathan Bairstow           | 4     |
| Samiullah Shenwari          | George Dockrell             | 4     |
| Kevin O'Brien               | Ben Cooper                  | 4     |
| Kumar Sangakkara            | Kieron Pollard              | 3     |
| Shakib Al Hasan             | Umar Akmal                  | 3     |
| David Warner                | Umar Akmal                  | 3     |
| Dwayne Bravo                | Angelo Mathews              | 3     |
| David Warner                | Tissara Perera              | 3     |
| Mohammad Hafeez             | Jonathan Bairstow           | 3     |
| Paul Stirling               | Gulbadeen Naib              | 3     |
| Shahid Afridi               | Kane Williamson             | 3     |
| Eoin Morgan                 | Ross Taylor                 | 3     |
| Mushfiqur Rahim             | Sean Williams               | 3     |
| Kyle Coetzer                | Ben Cooper                  | 3     |
| Michael Leask               | Ben Cooper                  | 3     |
| Paul Stirling               | Mohammad Nabi               | 3     |
| Kevin O'Brien               | Pieteer Seelaar             | 3     |
| Asghar Stanikzai            | Sikandar Raza               | 3     |
| Martin Guptill              | Glenn Maxwell               | 3     |
| Jos Buttler                 | Virat Kohli                 | 3     |
| Liton Das                   | Carlos Brathwaite           | 3     |
| Soumya Sarkar               | Rovman Powell               | 3     |
| Fahim Ashraf                | David Miller                | 3     |
| Lucas Barker                | Dominic Blampied            | 3     |
| Eoin Morgan                 | Temba Bavuma                | 3     |
| Virandeep Singh             | Nizakat Khan                | 3     |
| Shreyas Iyer                | Dawid Malan                 | 3     |
| Moises Henriques            | Fabian Allen                | 3     |
| Ashton Turner               | Mahmudullah                 | 3     |
| Shakib Al Hasan             | Hamilton Masakadza          | 2     |
| Marlon Samuels              | Dimitri Mascarenhas         | 2     |
| Marlon Samuels              | AB de Villiers              | 2     |
| Yuvraj Singh                | Shoaib Malik                | 2     |
| Brendon McCullum            | Lasith Malinga              | 2     |
| Luke Wright                 | AB de Villiers              | 2     |
| Shoaib Malik                | Tillakaratne Dilshan        | 2     |
| Daniel Vettori              | Albie Morkel                | 2     |
| Gautam Gambhir              | Stuart Broad                | 2     |
| Shoaib Malik                | Rohit Sharma                | 2     |
| Jacob Oram                  | Xavier Marshall             | 2     |
| Denesh Ramdin               | Ross Taylor                 | 2     |
| Albie Morkel                | David Hussey                | 2     |
| David Hussey                | Jean-Paul Duminy            | 2     |
| Sanath Jayasuriya           | Ishant Sharma               | 2     |
| Cameron White               | Jean-Paul Duminy            | 2     |
| Ravi Bopara                 | Pieteer Seelaar             | 2     |
| Kevin Pietersen             | Umar Gul                    | 2     |
| David Warner                | Tillakaratne Dilshan        | 2     |
| AB de Villiers              | Paul Collingwood            | 2     |
| Brendon McCullum            | Fawad Alam                  | 2     |
| Sanath Jayasuriya           | Ross Taylor                 | 2     |
| Kumar Sangakkara            | Scott Styris                | 2     |
| Sanath Jayasuriya           | Jerome Taylor               | 2     |
| Shahid Afridi               | Tim Southee                 | 2     |
| Yuvraj Singh                | Nuwan Kulasekara            | 2     |
| Mohammad Shahzad            | Kevin O'Brien               | 2     |
| Samiullah Shenwari          | Kevin O'Brien               | 2     |
| William Porterfield         | Rizwan Cheema               | 2     |
| Kyle Coetzer                | Rakep Patel                 | 2     |
| Umar Akmal                  | David Warner                | 2     |
| Kyle Coetzer                | William Porterfield         | 2     |
| Karim Sadiq                 | Pieteer Seelaar             | 2     |
| Pieteer Seelaar             | Kevin O'Brien               | 2     |
| Shoaib Malik                | Paul Collingwood            | 2     |
| Umar Akmal                  | Eoin Morgan                 | 2     |
| Dinesh Chandimal            | Ross Taylor                 | 2     |
| Shahid Afridi               | Mahmudullah                 | 2     |
| Umar Akmal                  | Mike Hussey                 | 2     |
| Eoin Morgan                 | Kieron Pollard              | 2     |
| Elton Chigumbura            | Martin Guptill              | 2     |
| Martin Guptill              | Albie Morkel                | 2     |
| Martin Guptill              | Umar Akmal                  | 2     |
| Eoin Morgan                 | AB de Villiers              | 2     |
| David Warner                | Mahela Jayawardene          | 2     |
| Brendon McCullum            | Michael Lumb                | 2     |
| Kamran Akmal                | David Warner                | 2     |
