Player,Batting Classification,Bowling Classification,DOB,Debut Date
JER Gallian,Right-hand batsman,Right-arm medium pace,1971-06-25,2003-06-13
U Afzaal,Left-hand batsman,Slow left-arm orthodox,1977-06-09,2003-06-13
GE Welton,Right-hand batsman,Right-arm off-break,1978-05-04,2003-06-13
KP Pietersen,Right-hand batsman,Right-arm off-break,1980-06-27,2003-06-13
BM Shafayat,Right-hand batsman,Right-arm medium-fast,1984-07-10,2003-06-13
PJ Franks,Left-hand batsman,Right-arm fast-medium,1979-02-03,2003-06-13
GD Clough,Right-hand batsman,Right-arm medium pace,1978-05-23,2003-06-13
WM Noon,Right-hand batsman,null,1971-02-05,2003-06-13
RJ Logan,Right-hand batsman,Right-arm medium-fast,1980-01-28,2003-06-13
AJ Harris,Right-hand batsman,Right-arm medium pace,1973-06-26,2003-06-13
SCG MacGill,Right-hand batsman,Leg-break and googly,1971-02-25,2003-06-13
N Peng,Right-hand batsman,Right-arm off-break,1982-09-18,2003-06-13
P Mustard,Left-hand batsman,Leg-break and googly,1982-10-08,2003-06-13
VJ Wells,Right-hand batsman,Right-arm medium pace,1965-08-06,2003-06-13
AM Thorpe,Left-hand batsman,Right-arm off-break  Right-arm medium pace,1975-04-02,2003-06-13
GJ Pratt,Left-hand batsman,Right-arm off-break,1981-12-22,2003-06-13
JJB Lewis,Right-hand batsman,Right-arm medium pace,1970-05-21,2003-06-13
GJ Muchall,Right-hand batsman,Right-arm medium pace,1982-11-02,2003-06-13
ID Hunter,Right-hand batsman,Right-arm medium-fast,1979-09-11,2003-06-13
NC Phillips,Right-hand batsman,Right-arm off-break,1974-05-10,2003-06-13
N Killeen,Right-hand batsman,Right-arm medium-fast,1975-10-17,2003-06-13
AM Davies,Right-hand batsman,Right-arm medium pace,1980-10-04,2003-06-13
JRC Hamblin,Right-hand batsman,Right-arm medium pace,1978-08-16,2003-06-13
DA Kenway,Right-hand batsman,Right-arm medium pace,1978-06-12,2003-06-13
Wasim Akram,Left-hand batsman,Left-arm fast,1966-06-03,2003-06-13
SM Katich,Left-hand batsman,Slow left-arm chinaman,1975-08-21,2003-06-13
AD Mascarenhas,Right-hand batsman,Right-arm medium-fast,1977-10-30,2003-06-13
JP Crawley,Right-hand batsman,Right-arm medium pace,1971-09-21,2003-06-13
WS Kendall,Right-hand batsman,Right-arm medium pace,1973-12-18,2003-06-13
N Pothas,Right-hand batsman,Right-arm medium pace,1973-11-18,2003-06-13
SD Udal,Right-hand batsman,Right-arm off-break,1969-03-18,2003-06-13
AD Mullally,Right-hand batsman,Left-arm fast-medium,1969-07-12,2003-06-13
ESH Giddins,Right-hand batsman,Right-arm fast-medium,1971-07-20,2003-06-13
MJ Prior,Right-hand batsman,null,1982-02-26,2003-06-13
B Zuiderent,Right-hand batsman,Right-arm medium pace,1977-03-03,2003-06-13
MW Goodwin,Right-hand batsman,Leg-break,1972-12-11,2003-06-13
CJ Adams,Right-hand batsman,Right-arm off-break,1970-05-06,2003-06-13
RSC Martin-Jenkins,Right-hand batsman,Right-arm fast-medium,1975-10-28,2003-06-13
TR Ambrose,Right-hand batsman,null,1982-12-01,2003-06-13
KJ Innes,Right-hand batsman,Right-arm medium pace,1975-09-24,2003-06-13
Mushtaq Ahmed,Right-hand batsman,Leg-break and googly,1970-06-28,2003-06-13
MJG Davis,Right-hand batsman,Right-arm off-break,1971-10-10,2003-06-13
JD Lewry,Left-hand batsman,Left-arm fast-medium,1971-04-02,2003-06-13
RJ Kirtley,Right-hand batsman,Right-arm fast-medium,1975-01-10,2003-06-13
NV Knight,Left-hand batsman,Right-arm medium pace,1969-11-28,2003-06-13
IJL Trott,Right-hand batsman,Right-arm medium pace,1981-04-22,2003-06-13
DP Ostler,Right-hand batsman,Right-arm medium pace,1970-07-15,2003-06-13
NM Carter,Left-hand batsman,Left-arm medium-fast,1975-01-29,2003-06-13
IR Bell,Right-hand batsman,Right-arm medium pace,1982-04-11,2003-06-13
TL Penney,Right-hand batsman,Right-arm medium pace  Leg-break,1968-06-12,2003-06-13
CO Obuya,Right-hand batsman,Leg-break,1981-07-27,2003-06-13
GG Wagg,Right-hand batsman,Left-arm medium pace  Slow left-arm orthodox,1983-04-28,2003-06-13
NMK Smith,Right-hand batsman,Right-arm off-break,1967-07-27,2003-06-13
KJ Piper,Right-hand batsman,null,1969-12-18,2003-06-13
Waqar Younis,Right-hand batsman,Right-arm fast,1971-11-16,2003-06-13
J Cox,Right-hand batsman,Right-arm off-break,1969-10-15,2003-06-13
CM Gazzard,Right-hand batsman,null,1982-04-15,2003-06-13
ID Blackwell,Left-hand batsman,Slow left-arm orthodox,1978-06-10,2003-06-13
KP Dutch,Right-hand batsman,Right-arm off-break,1973-03-21,2003-06-13
M Burns,Right-hand batsman,Right-arm medium pace,1969-02-06,2003-06-13
WJ Durston,Right-hand batsman,Right-arm off-break,1980-10-06,2003-06-13
KA Parsons,Right-hand batsman,Right-arm medium pace,1973-05-02,2003-06-13
AW Laraman,Right-hand batsman,Right-arm fast-medium,1979-01-10,2003-06-13
RJ Turner,Right-hand batsman,null,1967-11-25,2003-06-13
PS Jones,Right-hand batsman,Right-arm fast-medium,1974-02-09,2003-06-13
SRG Francis,Right-hand batsman,Right-arm medium-fast,1978-08-15,2003-06-13
PN Weekes,Left-hand batsman,Right-arm off-break,1969-07-08,2003-06-13
AJ Strauss,Left-hand batsman,Left-arm medium pace,1977-03-02,2003-06-13
CB Keegan,Right-hand batsman,Right-arm fast-medium,1979-07-30,2003-06-13
OA Shah,Right-hand batsman,Right-arm off-break,1978-10-22,2003-06-13
Abdul Razzaq,Right-hand batsman,Right-arm fast-medium,1979-12-02,2003-06-13
EC Joyce,Left-hand batsman,Right-arm medium pace,1978-09-22,2003-06-13
SJ Cook,Right-hand batsman,Right-arm fast-medium,1977-01-15,2003-06-13
BL Hutton,Left-hand batsman,Right-arm fast-medium,1977-01-29,2003-06-13
RMS Weston,Right-hand batsman,Leg-break,1975-06-07,2003-06-13
D Alleyne,Right-hand batsman,null,1976-04-17,2003-06-13
TF Bloomfield,Right-hand batsman,Right-arm medium-fast,1973-05-31,2003-06-13
IJ Ward,Left-hand batsman,Right-arm medium pace,1972-09-30,2003-06-13
AD Brown,Right-hand batsman,Right-arm off-break,1970-02-11,2003-06-13
JGE Benning,Right-hand batsman,Right-arm medium pace,1983-05-04,2003-06-13
AJ Hollioake,Right-hand batsman,Right-arm medium pace,1971-09-05,2003-06-13
GP Thorpe,Left-hand batsman,Right-arm medium pace,1969-08-01,2003-06-13
MR Ramprakash,Right-hand batsman,Right-arm off-break,1969-09-05,2003-06-13
Azhar Mahmood,Right-hand batsman,Right-arm fast-medium,1975-02-28,2003-06-13
JN Batty,Right-hand batsman,null,1974-04-18,2003-06-13
MP Bicknell,Right-hand batsman,Right-arm fast-medium,1969-01-14,2003-06-13
PJ Sampson,Right-hand batsman,Right-arm fast-medium,1980-09-06,2003-06-13
J Ormond,Right-hand batsman,Right-arm off-break  Right-arm medium-fast,1977-08-20,2003-06-13
MEK Hussey,Left-hand batsman,Right-arm medium pace,1975-05-27,2003-06-13
RA White,Right-hand batsman,Leg-break,1979-10-15,2003-06-13
PA Jaques,Left-hand batsman,Slow left-arm chinaman,1979-05-03,2003-06-13
DJG Sales,Right-hand batsman,Right-arm medium pace,1977-12-03,2003-06-13
JW Cook,Left-hand batsman,Right-arm medium pace,1972-02-02,2003-06-13
GL Brophy,Right-hand batsman,null,1975-11-26,2003-06-13
GP Swann,Right-hand batsman,Right-arm off-break,1979-03-24,2003-06-13
A Nel,Right-hand batsman,Right-arm fast-medium,1977-07-15,2003-06-13
RSG Anderson,Right-hand batsman,Right-arm medium-fast,1976-09-22,2003-06-13
MJ Cawdron,Left-hand batsman,Right-arm medium pace,1974-10-07,2003-06-13
JF Brown,Right-hand batsman,Right-arm off-break,1974-10-10,2003-06-13
GJ Batty,Right-hand batsman,Right-arm off-break,1977-10-13,2003-06-13
DK Taylor,Left-hand batsman,Right-arm medium-fast,1974-12-17,2003-06-13
AJ Hall,Right-hand batsman,Right-arm fast-medium,1975-07-31,2003-06-13
MS Mason,Right-hand batsman,Right-arm fast-medium,1974-03-20,2003-06-13
K Ali,Right-hand batsman,Leg-break,1983-03-07,2003-06-13
BF Smith,Right-hand batsman,Right-arm medium pace,1972-04-03,2003-06-13
DA Leatherdale,Right-hand batsman,Right-arm medium pace,1967-11-26,2003-06-13
SC Moore,Right-hand batsman,Right-arm medium pace,1980-11-04,2003-06-13
SJ Rhodes,Right-hand batsman,null,1964-06-17,2003-06-13
CG Liptrot,Left-hand batsman,Right-arm fast-medium,1980-02-13,2003-06-13
MA Harrity,Right-hand batsman,Left-arm fast,1974-03-09,2003-06-13
CM Spearman,Right-hand batsman,null,1972-07-04,2003-06-14
CG Taylor,Right-hand batsman,Right-arm off-break,1976-09-27,2003-06-14
IJ Harvey,Right-hand batsman,Right-arm medium pace,1972-04-10,2003-06-14
JN Rhodes,Right-hand batsman,Right-arm medium pace,1969-07-27,2003-06-14
MGN Windows,Right-hand batsman,Slow left-arm orthodox,1973-04-05,2003-06-14
APR Gidman,Right-hand batsman,Right-arm medium pace,1981-06-22,2003-06-14
MW Alleyne,Right-hand batsman,Right-arm medium pace,1968-05-23,2003-06-14
RC Russell,Left-hand batsman,Right-arm off-break,1963-08-15,2003-06-14
MCJ Ball,Right-hand batsman,Right-arm off-break,1970-04-26,2003-06-14
JMM Averis,Right-hand batsman,Right-arm medium pace,1974-05-28,2003-06-14
AM Smith,Right-hand batsman,Left-arm fast-medium,1967-10-01,2003-06-14
TJ Murtagh,Left-hand batsman,Right-arm fast-medium,1981-08-02,2003-06-14
WI Jefferson,Right-hand batsman,Right-arm medium-fast,1979-10-25,2003-06-14
A Flower,Left-hand batsman,Right-arm off-break,1968-04-28,2003-06-14
JS Foster,Right-hand batsman,null,1980-04-15,2003-06-14
RC Irani,Right-hand batsman,Right-arm medium pace,1971-10-26,2003-06-14
ML Pettini,Right-hand batsman,Right-arm medium pace,1983-08-07,2003-06-14
JM Dakin,Left-hand batsman,Right-arm medium pace,1973-02-28,2003-06-14
GR Napier,Right-hand batsman,Right-arm medium pace,1980-01-06,2003-06-14
AP Grayson,Right-hand batsman,Slow left-arm orthodox,1971-03-31,2003-06-14
RS Bopara,Right-hand batsman,Right-arm medium pace,1985-05-04,2003-06-14
RN ten Doeschate,Right-hand batsman,Right-arm medium-fast,1980-06-30,2003-06-14
SA Brant,Right-hand batsman,Left-arm fast-medium,1983-01-26,2003-06-14
MJ Wood,Right-hand batsman,Right-arm off-break,1977-04-06,2003-06-14
SP Fleming,Left-hand batsman,Right-arm slow-medium,1973-04-01,2003-06-14
Yuvraj Singh,Left-hand batsman,Left-arm medium pace  Slow left-arm orthodox,1981-12-12,2003-06-14
MJ Lumb,Left-hand batsman,Right-arm medium pace,1980-02-12,2003-06-14
C White,Right-hand batsman,Right-arm fast-medium  Right-arm off-break,1969-12-16,2003-06-14
RJ Blakey,Right-hand batsman,null,1967-01-15,2003-06-14
TT Bresnan,Right-hand batsman,Right-arm fast-medium,1985-02-28,2003-06-14
CEW Silverwood,Right-hand batsman,Right-arm fast-medium,1975-03-05,2003-06-14
PJ Swanepoel,Right-hand batsman,Right-arm medium-fast,1977-03-30,2003-06-14
AKD Gray,Right-hand batsman,Right-arm off-break,1974-05-19,2003-06-14
RJ Sidebottom,Left-hand batsman,Left-arm fast-medium,1978-01-15,2003-06-14
MJ Di Venuto,Left-hand batsman,Leg-break and googly  Right-arm medium pace,1973-12-12,2003-06-14
DG Cork,Right-hand batsman,Right-arm fast-medium,1971-08-07,2003-06-14
NRC Dumelow,Right-hand batsman,Right-arm off-break,1981-04-30,2003-06-14
M Kaif,Right-hand batsman,Right-arm off-break,1980-12-01,2003-06-14
DR Hewson,Right-hand batsman,Right-arm medium pace,1974-10-03,2003-06-14
CWG Bassano,Right-hand batsman,Leg-break,1975-09-11,2003-06-14
AI Gait,Right-hand batsman,null,1978-12-19,2003-06-14
SA Selwood,Left-hand batsman,Slow left-arm orthodox,1979-11-24,2003-06-14
G Welch,Right-hand batsman,Right-arm medium pace,1972-03-21,2003-06-14
T Lungley,Left-hand batsman,Right-arm medium pace,1979-07-25,2003-06-14
LD Sutton,Right-hand batsman,null,1976-10-04,2003-06-14
BJ Phillips,Right-hand batsman,Right-arm fast-medium,1974-09-30,2003-06-16
RDB Croft,Right-hand batsman,Right-arm off-break,1970-05-25,2003-06-16
IJ Thomas,Left-hand batsman,Right-arm off-break,1979-05-09,2003-06-16
MJ Powell,Right-hand batsman,Right-arm off-break,1977-02-03,2003-06-16
MP Maynard,Right-hand batsman,Right-arm medium pace,1966-03-21,2003-06-16
DL Hemp,Left-hand batsman,Right-arm medium pace,1970-11-08,2003-06-16
A Dale,Right-hand batsman,Right-arm medium pace,1968-10-24,2003-06-16
MA Wallace,Left-hand batsman,null,1981-11-19,2003-06-16
MS Kasprowicz,Right-hand batsman,Right-arm fast-medium,1972-02-10,2003-06-16
SD Thomas,Left-hand batsman,Right-arm fast-medium,1975-01-25,2003-06-16
DS Harrison,Right-hand batsman,Right-arm medium-fast,1981-07-30,2003-06-16
DA Cosker,Right-hand batsman,Slow left-arm orthodox,1978-01-07,2003-06-16
PD Trego,Right-hand batsman,Right-arm medium pace,1981-06-12,2003-06-16
A Symonds,Right-hand batsman,Right-arm off-break,1975-06-09,2003-06-16
JC Tredwell,Left-hand batsman,Right-arm off-break,1982-02-27,2003-06-16
MA Ealham,Right-hand batsman,Right-arm medium-fast,1969-08-27,2003-06-16
MJ Walker,Left-hand batsman,Right-arm medium pace,1974-01-02,2003-06-16
