+------------------------------------------------+--------------------------------------------------------------+------------+-----------------------------------------------------+
| Batsmen-Runs                                   | Match                                                        | StartDate  | Venue                                               |
+------------------------------------------------+--------------------------------------------------------------+------------+-----------------------------------------------------+
| John Parnham-90,John White-62                  | North v South                                                | 1886-06-14 | Lord's Cricket Ground, St John's Wood               |
| John Murdin-90,Benjamin Bellamy-84             | Northamptonshire v Glamorgan                                 | 1925-06-20 | County Ground, Northampton                          |
| Warren Wisneski-89,Lee Germon-80               | Canterbury v Northern Districts                              | 1998-03-22 | Dudley Park, Rangiora                               |
| Datta Verma-82,Chiranjeet Shankar-56           | Andhra v Kerala                                              | 1974-12-14 | Brahmananda Reddy Stadium, Guntur                   |
| Liam Norwell-78,Craig Miles-62                 | Gloucestershire v Worcestershire                             | 2014-07-21 | College Ground, Cheltenham                          |
| Mark Gillespie-77,Andy McKay-33                | Wellington v Canterbury                                      | 2012-11-19 | MainPower Oval, Rangiora                            |
| Iqbal Sikander-76,Wasim Bari-45                | Pakistan International Airlines v National Bank of Pakistan  | 1979-10-10 | Gaddafi Stadium, Lahore                             |
| Simon Daniels-73,Terry Davies-66               | Glamorgan v Gloucestershire                                  | 1982-05-29 | St Helen's, Swansea                                 |
| Charles Green-60,John Cockburn-Hood-45         | Cambridge University v Marylebone Cricket Club               | 1867-06-24 | Lord's Cricket Ground, St John's Wood               |
| Nantie Hayward-55,Lulama Masikazana-50         | Eastern Province v Boland                                    | 1997-11-21 | St George's Park, Port Elizabeth                    |
| Norton Fredrick-54,Darrell Lieversz-40         | Ceylon v Indian Universities                                 | 1964-12-05 | Nehru Stadium, Madras                               |
| Ashraf Makda-50,Hitesh Majmudar-19             | Gujarat v Delhi                                              | 2005-12-17 | Feroz Shah Kotla, Delhi                             |
| Michael Kasprowicz-49,Paul Carew-23            | Queensland v Western Australia                               | 1990-02-16 | Western Australia Cricket Association Ground, Perth |
| Saqib Mahmood-49,Jack Leach-41                 | England v West Indies                                        | 2022-03-24 | Queen's Park (New), St George's                     |
| Thomas Byrne-44,Rocco Atkins-26                | Queensland v New South Wales                                 | 1902-11-08 | Brisbane Cricket Ground, Woolloongabba, Brisbane    |
