+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Batsman-Runs             | Match                      | StartDate  | Venue                                                           |
+--------------------------+----------------------------+------------+-----------------------------------------------------------------+
| Doug Walters-250         | Australia v New Zealand    | 1977-02-18 | Lancaster Park, Christchurch                                    |
| Mahendra Dhoni-224       | India v Australia          | 2013-02-22 | MA Chidambaram Stadium, Chepauk, Chennai                        |
| BJ Watling-205           | New Zealand v England      | 2019-11-21 | Bay Oval, Mount Maunganui                                       |
| Hashan Tillakaratne-204  | Sri Lanka v West Indies    | 2001-11-29 | Sinhalese Sports Club Ground, Colombo                           |
| Syd Gregory-201          | Australia v England        | 1894-12-14 | Sydney Cricket Ground, Sydney                                   |
| Mushfiqur Rahim-200      | Bangladesh v Sri Lanka     | 2013-03-08 | Galle International Stadium, Galle                              |
| Ricky Ponting-197        | Australia v Pakistan       | 1999-11-26 | Western Australia Cricket Association Ground, Perth             |
| Guy Whittall-188         | Zimbabwe v New Zealand     | 2000-09-19 | Harare Sports Club, Harare                                      |
| Graeme Hick-178          | England v India            | 1993-02-19 | Wankhede Stadium, Bombay                                        |
| Carl Hooper-178          | West Indies v Pakistan     | 1993-05-01 | Antigua Recreation Ground, St John's                            |
| Chandu Borde-177         | India v Pakistan           | 1961-01-13 | Nehru Stadium, Madras                                           |
| Rohit Sharma-177         | India v West Indies        | 2013-11-06 | Eden Gardens, Kolkata                                           |
| Garry Sobers-174         | West Indies v England      | 1966-08-04 | Headingley, Leeds                                               |
| Sandeep Patil-174        | India v Australia          | 1981-01-23 | Adelaide Oval, Adelaide                                         |
| Jeremy Coney-174         | New Zealand v England      | 1984-01-20 | Basin Reserve, Wellington                                       |
| AB de Villiers-174       | South Africa v England     | 2008-07-18 | Headingley, Leeds                                               |
| Polly Umrigar-172        | India v West Indies        | 1962-04-04 | Queen's Park Oval, Port of Spain                                |
| Patsy Hendren-169        | England v Australia        | 1928-11-30 | Exhibition Ground, Brisbane                                     |
| Collie Smith-168         | West Indies v England      | 1957-07-04 | Trent Bridge, Nottingham                                        |
| Andrew Flintoff-167      | England v West Indies      | 2004-07-29 | Edgbaston, Birmingham                                           |
| Jonathan Bairstow-167    | England v Sri Lanka        | 2016-06-09 | Lord's Cricket Ground, St John's Wood                           |
| Asif Iqbal-166           | Pakistan v New Zealand     | 1976-10-09 | Gaddafi Stadium, Lahore                                         |
| Jean-Paul Duminy-166     | South Africa v Australia   | 2008-12-26 | Melbourne Cricket Ground, Melbourne                             |
| Andrew Symonds-162       | Australia v India          | 2008-01-02 | Sydney Cricket Ground, Sydney                                   |
| Tillakaratne Dilshan-162 | Sri Lanka v Bangladesh     | 2009-01-03 | Bir Shrestha Shahid Ruhul Amin Stadium, Chittagong              |
| Dinesh Chandimal-162     | Sri Lanka v India          | 2015-08-12 | Galle International Stadium, Galle                              |
| Collie Smith-161         | West Indies v England      | 1957-05-30 | Edgbaston, Birmingham                                           |
| Garry Sobers-161         | West Indies v England      | 1966-06-02 | Old Trafford, Manchester                                        |
| Sir Clive Lloyd-161      | West Indies v India        | 1983-12-10 | Eden Gardens, Calcutta                                          |
| Angelo Mathews-160       | Sri Lanka v England        | 2014-06-20 | Headingley, Leeds                                               |
| John Crawley-156         | England v Sri Lanka        | 1998-08-27 | The Foster's Oval, Kennington                                   |
| Shahid Afridi-156        | Pakistan v India           | 2006-01-21 | Iqbal Stadium, Faisalabad                                       |
| Mark Ramprakash-154      | England v West Indies      | 1998-03-12 | Kensington Oval, Bridgetown                                     |
| Maurice Leyland-153      | England v Australia        | 1934-07-06 | Old Trafford, Manchester                                        |
| Nawab of Pataudi-153     | India v New Zealand        | 1965-03-05 | Eden Gardens, Calcutta                                          |
| Haroon Rasheed-153       | Pakistan v Sri Lanka       | 1982-03-05 | National Stadium, Karachi                                       |
| Tatenda Taibu-153        | Zimbabwe v Bangladesh      | 2005-01-14 | Bangabandhu National Stadium, Dhaka                             |
| Asif Iqbal-152           | Pakistan v Australia       | 1976-12-24 | Adelaide Oval, Adelaide                                         |
| Steve Waugh-152          | Australia v England        | 1989-06-22 | Lord's Cricket Ground, St John's Wood                           |
| Chamara Silva-152        | Sri Lanka v New Zealand    | 2006-12-15 | Basin Reserve, Wellington                                       |
| Colin Cowdrey-151        | England v India            | 1964-02-08 | Feroz Shah Kotla, Delhi                                         |
| Steve Waugh-151          | Australia v New Zealand    | 2000-03-24 | Basin Reserve, Wellington                                       |
| Michael Clarke-151       | Australia v India          | 2004-10-06 | M Chinnaswamy Stadium, Bangalore                                |
| Dilip Sardesai-150       | India v West Indies        | 1971-04-01 | Kensington Oval, Bridgetown                                     |
| Nawab of Pataudi-148     | India v England            | 1967-06-08 | Headingley, Leeds                                               |
| Tony Greig-148           | England v India            | 1973-02-06 | Brabourne Stadium, Bombay                                       |
| Tony Greig-148           | England v West Indies      | 1974-03-06 | Kensington Oval, Bridgetown                                     |
| Robin Smith-148          | England v West Indies      | 1991-06-20 | Lord's Cricket Ground, St John's Wood                           |
| Mahendra Dhoni-148       | India v Pakistan           | 2006-01-21 | Iqbal Stadium, Faisalabad                                       |
| Sourav Ganguly-147       | India v Sri Lanka          | 1997-08-09 | Sinhalese Sports Club Ground, Colombo                           |
| Shiv Chanderpaul-147     | West Indies v England      | 2009-03-06 | Queen's Park Oval, Port of Spain                                |
