+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Batsman                      | Matches | Runs  | Innings | Nos | HS  | Average | Hundreds | Fifties | Balls | SR         | Catches | Stumpings |
+------------------------------+---------+-------+---------+-----+-----+---------+----------+---------+-------+------------+---------+-----------+
| Damien Martyn                | 2       | 342   | 3       | 1   | 238 | 171.00  | 1        | 1       | 290   | 117.93     | 0       | 0         |
| Shaun Marsh                  | 2       | 225   | 3       | 1   | 125 | 112.50  | 1        | 1       | 457   | 49.23      | 0       | 0         |
| Cec Tyson                    | 3       | 232   | 5       | 2   | 100 | 77.33   | 1        | 1       | 0     | -          | 0       | 0         |
| Philip Berry                 | 7       | 76    | 7       | 6   | 31  | 76.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Darren Lehmann               | 88      | 8871  | 137     | 8   | 339 | 68.76   | 26       | 43      | 11997 | 73.94      | 0       | 0         |
| Dawid Malan                  | 10      | 1080  | 16      | 0   | 219 | 67.50   | 3        | 5       | 1591  | 67.88      | 11      | 0         |
| Eliot Callis                 | 2       | 131   | 3       | 1   | 84  | 65.50   | 0        | 1       | 254   | 51.57      | 0       | 0         |
| Chris Gilbert                | 1       | 64    | 1       | 0   | 64  | 64.00   | 0        | 1       | 66    | 96.96      | 0       | 0         |
| Michael Bevan                | 32      | 2823  | 56      | 8   | 160 | 58.81   | 9        | 15      | 2516  | 112.20     | 1       | 0         |
| Geoff Boycott                | 414     | 32570 | 674     | 111 | 260 | 57.85   | 103      | 157     | 884   | 3684.38    | 0       | 0         |
| Jake Lehmann                 | 5       | 384   | 8       | 1   | 116 | 54.85   | 1        | 2       | 581   | 66.09      | 0       | 0         |
| Matthew Elliott              | 5       | 487   | 10      | 1   | 127 | 54.11   | 1        | 4       | 753   | 64.67      | 2       | 0         |
| Len Hutton                   | 341     | 24807 | 527     | 62  | 280 | 53.34   | 85       | 98      | 0     | -          | 0       | 0         |
| Jacques Rudolph              | 68      | 5429  | 112     | 8   | 228 | 52.20   | 18       | 22      | 9493  | 57.18      | 0       | 0         |
| Phil Jaques                  | 53      | 4039  | 82      | 3   | 243 | 51.12   | 11       | 18      | 6088  | 66.34      | 2       | 0         |
| George Pollitt               | 1       | 51    | 1       | 0   | 51  | 51.00   | 0        | 1       | 0     | -          | 0       | 0         |
| Jonathan Bairstow            | 94      | 6445  | 149     | 22  | 246 | 50.74   | 15       | 36      | 9574  | 67.31      | 0       | 0         |
| Herbert Sutcliffe            | 602     | 38558 | 864     | 96  | 313 | 50.20   | 112      | 167     | 0     | -          | 0       | 0         |
| Younis Khan                  | 13      | 824   | 19      | 2   | 217 | 48.47   | 3        | 0       | 1227  | 67.15      | 0       | 0         |
| Gary Ballance                | 126     | 8507  | 202     | 21  | 203 | 47.00   | 27       | 43      | 16159 | 52.64      | 0       | 0         |
| Sachin Tendulkar             | 16      | 1070  | 25      | 2   | 100 | 46.52   | 1        | 7       | 1004  | 106.57     | 0       | 0         |
| Aaron Finch                  | 8       | 415   | 10      | 1   | 110 | 46.11   | 1        | 2       | 587   | 70.69      | 1       | 0         |
| Joe Root                     | 55      | 3644  | 90      | 9   | 236 | 44.98   | 9        | 13      | 6499  | 56.07      | 0       | 0         |
| Jack Firth                   | 8       | 134   | 8       | 5   | 67  | 44.66   | 0        | 1       | 0     | -          | 9       | 5         |
| Kane Williamson              | 19      | 1292  | 32      | 3   | 189 | 44.55   | 1        | 12      | 2784  | 46.40      | 0       | 0         |
| William Micklethwait         | 1       | 44    | 1       | 0   | 44  | 44.00   | 0        | 0       | 0     | -          | 0       | 0         |
| Martyn Moxon                 | 277     | 18973 | 476     | 42  | 274 | 43.71   | 41       | 103     | 9243  | 205.26     | 0       | 0         |
| Percy Holmes                 | 485     | 26220 | 699     | 74  | 315 | 41.95   | 60       | 115     | 4     | 655500.00  | 0       | 0         |
| Maurice Leyland              | 548     | 26181 | 720     | 82  | 263 | 41.03   | 62       | 123     | 0     | -          | 0       | 0         |
| Steve Rhodes                 | 3       | 41    | 2       | 1   | 35  | 41.00   | 0        | 0       | 0     | -          | 25      | 5         |
