+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Size | Batsman              | Bowler               | Matches                                                                                                                                                                                                                                     |
+------+----------------------+----------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 6    | Shane Watson         | Sunil Narine         | [New South Wales v Trinidad and Tobago, Rajasthan Royals v Kolkata Knight Riders, Australia v West Indies, Islamabad United v Lahore Qalandars, Quetta Gladiators v Lahore Qalandars, Chennai Super Kings v Kolkata Knight Riders]          |
| 6    | Lendl Simmons        | Andre Russell        | [Trinidad and Tobago v Jamaica, Guyana Amazon Warriors v Jamaica Tallawahs, Karachi Kings v Islamabad United, St Kitts and Nevis Patriots v Jamaica Tallawahs, St Lucia Stars v Jamaica Tallawahs, Sylhet Sunrisers v Minister Group Dhaka] |
| 6    | Daren Sammy          | Dwayne Bravo         | [Sunrisers v Chennai Super Kings, St Lucia Zouks v Trinidad and Tobago Red Steel, St Lucia Zouks v Trinbago Knight Riders, Rajshahi Kings v Dhaka Dynamites, St Lucia Stars v Trinbago Knight Riders, Peshawar Zalmi v Quetta Gladiators]   |
| 5    | Rohit Sharma         | Amit Mishra          | [Mumbai v Haryana, Deccan Chargers v Delhi Daredevils, Mumbai Indians v Sunrisers, Mumbai Indians v Delhi Daredevils, Mumbai Indians v Delhi Capitals]                                                                                      |
| 5    | Mahmudullah          | Rubel Hossain        | [Dhaka Division v Chittagong Division, Abahani Limited v Prime Bank Cricket Club, Barisal Bulls v Sylhet Superstars, Khulna Titans v Rangpur Riders, Khulna v Dhaka]                                                                        |
| 5    | Robin Uthappa        | Ravi Ashwin          | [Pune Warriors v Chennai Super Kings, Kolkata Knight Riders v Chennai Super Kings, Kolkata Knight Riders v Rising Pune Supergiants, Kolkata Knight Riders v Kings XI Punjab, Chennai Super Kings v Delhi Capitals]                          |
| 5    | Dwayne Smith         | Sunil Narine         | [Barbados v Trinidad and Tobago, Mumbai Indians v Kolkata Knight Riders, Mumbai Indians v Trinidad and Tobago, Barbados Tridents v Guyana Amazon Warriors, Guyana Amazon Warriors v Trinbago Knight Riders]                                 |
| 5    | Iftikhar Ahmed       | Wahab Riaz           | [Peshawar Panthers v Lahore Lions, Rawalpindi v Lahore Whites, Khyber Pakhtunkhwa v Southern Punjab, Islamabad United v Peshawar Zalmi, Khyber Pakhtunkhwa v Central Punjab]                                                                |
| 5    | Kieron Pollard       | Dwayne Bravo         | [Mumbai Indians v Chennai Super Kings, Barbados Tridents v Trinidad and Tobago Red Steel, Barbados Tridents v Trinbago Knight Riders, Dhaka Dynamites v Comilla Victorians, St Lucia Stars v Trinbago Knight Riders]                        |
