+------------+---------------------+----------+----------------------------+------------+
| Start Over | Bowler              | Analysis | Match                      | StartDate  |
+------------+---------------------+----------+----------------------------+------------+
| 152.6      | UDU Chandana        | 6/179    | Sri Lanka v Pakistan       | 1999-03-12 |
| 141.1      | HMRKB Herath        | 5/121    | Sri Lanka v India          | 2009-11-24 |
| 137.3      | Saeed Ajmal         | 5/166    | Pakistan v Sri Lanka       | 2014-08-06 |
| 131.5      | HJ Tayfield         | 5/120    | South Africa v Australia   | 1957-12-31 |
| 122.1      | GD McGrath          | 6/115    | Australia v New Zealand    | 2005-03-10 |
| 121.4      | Shoaib Akhtar       | 6/50     | Pakistan v Bangladesh      | 2003-08-27 |
| 120.2      | EJ Barlow           | 5/85     | South Africa v Australia   | 1966-12-31 |
| 118.3      | MDK Perera          | 5/137    | Sri Lanka v Pakistan       | 2014-08-06 |
| 117.5      | AA Mallett          | 5/126    | Australia v South Africa   | 1970-01-22 |
| 113.4      | Harbhajan Singh     | 5/147    | India v West Indies        | 2006-06-22 |
| 112.2      | CR Miller           | 5/81     | Australia v West Indies    | 2000-12-15 |
| 111.2      | Harbhajan Singh     | 6/152    | India v Pakistan           | 2005-03-24 |
| 109.1      | UDU Chandana        | 5/109    | Sri Lanka v Australia      | 2004-07-09 |
| 105.6      | SK Warne            | 5/75     | Australia v South Africa   | 1998-01-02 |
| 103.2      | N Wagner            | 6/106    | New Zealand v Australia    | 2016-02-20 |
| 99.6       | HMRKB Herath        | 6/103    | Sri Lanka v New Zealand    | 2012-11-25 |
| 97.7       | SL Boock            | 5/67     | New Zealand v England      | 1978-03-04 |
| 97.5       | Shakib Al Hasan     | 5/130    | Bangladesh v South Africa  | 2008-11-19 |
| 97.5       | HMRKB Herath        | 6/133    | Sri Lanka v England        | 2012-04-03 |
| 96.5       | Wasim Akram         | 6/61     | Pakistan v West Indies     | 2000-05-25 |
| 96.1       | I Sharma            | 5/118    | India v Pakistan           | 2007-12-08 |
| 95.6       | DL Vettori          | 6/127    | New Zealand v India        | 1999-10-22 |
| 95.4       | B Lee               | 5/59     | Australia v West Indies    | 2008-05-30 |
| 94.2       | N Wagner            | 5/124    | New Zealand v England      | 2019-11-29 |
| 90.6       | M Muralitharan      | 5/67     | Sri Lanka v Zimbabwe       | 2002-01-12 |
| 89.3       | JW Gleeson          | 5/125    | Australia v South Africa   | 1970-02-19 |
| 87.2       | Bhuvneshwar Kumar   | 5/33     | India v West Indies        | 2016-08-09 |
| 87.1       | NM Lyon             | 5/68     | Australia v West Indies    | 2012-04-15 |
| 86.3       | DJG Sammy           | 5/70     | West Indies v Bangladesh   | 2009-07-09 |
| 86.2       | Mohammad Abbas      | 5/46     | Pakistan v West Indies     | 2017-05-10 |
| 85.4       | Shakib Al Hasan     | 5/148    | Bangladesh v Sri Lanka     | 2014-02-04 |
| 85.3       | CEL Ambrose         | 5/94     | West Indies v Australia    | 1999-04-03 |
| 85.2       | Imran Khan          | 5/58     | Pakistan v Sri Lanka       | 2015-07-03 |
| 85.2       | HMRKB Herath        | 6/81     | Sri Lanka v Australia      | 2016-08-13 |
| 84.3       | D Gough             | 5/103    | England v Australia        | 2001-08-16 |
| 84.3       | Shakib Al Hasan     | 5/63     | Bangladesh v West Indies   | 2011-10-29 |
| 83.0       | PS Heine            | 6/96     | South Africa v Australia   | 1958-02-07 |
| 82.4       | CRD Fernando        | 5/42     | Sri Lanka v India          | 2001-08-14 |
| 82.2       | CEL Ambrose         | 5/52     | West Indies v England      | 1998-02-05 |
| 81.1       | ST Jayasuriya       | 5/43     | Sri Lanka v Zimbabwe       | 2002-01-12 |
| 80.3       | MG Johnson          | 5/63     | Australia v England        | 2013-12-26 |
| 80.1       | TA Boult            | 5/57     | New Zealand v England      | 2013-05-24 |
| 78.3       | JM Bird             | 5/59     | Australia v New Zealand    | 2016-02-20 |
| 78.2       | M Muralitharan      | 5/153    | Sri Lanka v Australia      | 2004-03-08 |
| 77.4       | MG Melle            | 5/113    | South Africa v Australia   | 1950-02-10 |
| 77.3       | SCJ Broad           | 5/85     | England v West Indies      | 2009-02-04 |
| 76.2       | Bilal Asif          | 5/65     | Pakistan v New Zealand     | 2018-12-03 |
| 75.4       | Shahid Afridi       | 5/52     | Pakistan v Australia       | 1998-10-22 |
| 74.3       | N Wagner            | 5/44     | New Zealand v England      | 2019-11-21 |
| 73.6       | PHT Kaushal         | 5/134    | Sri Lanka v India          | 2015-08-12 |
| 73.5       | M Muralitharan      | 6/126    | Sri Lanka v West Indies    | 2001-11-13 |
| 73.5       | RA Jadeja           | 5/152    | India v Sri Lanka          | 2017-08-03 |
| 73.3       | Harbhajan Singh     | 5/115    | India v England            | 2002-09-05 |
| 72.6       | BAW Mendis          | 6/169    | Sri Lanka v West Indies    | 2010-11-15 |
| 72.3       | Nauman Ali          | 5/35     | Pakistan v South Africa    | 2021-01-26 |
| 72.2       | A Flintoff          | 5/78     | England v Australia        | 2005-09-08 |
| 71.1       | VC Drakes           | 5/93     | West Indies v Australia    | 2003-04-10 |
| 70.3       | Bhuvneshwar Kumar   | 5/82     | India v England            | 2014-07-09 |
| 69.6       | HMRKB Herath        | 5/125    | Sri Lanka v Pakistan       | 2014-01-16 |
| 69.4       | NM Lyon             | 5/67     | Australia v India          | 2018-12-14 |
| 68.1       | Harbhajan Singh     | 5/138    | India v West Indies        | 2002-05-18 |
| 68.1       | M Muralitharan      | 5/123    | Sri Lanka v Australia      | 2004-03-24 |
| 67.4       | DL Vettori          | 5/152    | New Zealand v Australia    | 2004-11-26 |
| 66.3       | DW Steyn            | 6/100    | South Africa v India       | 2013-12-26 |
| 66.1       | M Muralitharan      | 5/122    | Sri Lanka v South Africa   | 2000-12-26 |
| 65.2       | JM Anderson         | 5/46     | England v West Indies      | 2019-01-23 |
| 64.5       | M Muralitharan      | 6/131    | Sri Lanka v South Africa   | 2006-07-27 |
| 64.2       | PR Adams            | 5/69     | South Africa v Bangladesh  | 2003-04-24 |
| 63.5       | SM Pollock          | 6/50     | South Africa v Pakistan    | 1998-02-26 |
| 63.4       | JH Wardle           | 5/53     | England v South Africa     | 1957-01-01 |
| 63.4       | Sikandar Raza       | 5/99     | Zimbabwe v West Indies     | 2017-10-29 |
| 63.1       | Saeed Ajmal         | 5/82     | Pakistan v England         | 2010-08-06 |
| 62.6       | PM Siddle           | 5/71     | Australia v India          | 2013-03-14 |
| 62.4       | CL Cairns           | 5/146    | New Zealand v Australia    | 2001-11-08 |
| 62.3       | M Muralitharan      | 5/173    | Sri Lanka v Australia      | 2004-03-16 |
| 62.2       | Harbhajan Singh     | 5/51     | India v England            | 2001-12-03 |
| 61.6       | Danish Kaneria      | 5/181    | Pakistan v West Indies     | 2006-11-19 |
| 61.4       | SK Warne            | 5/113    | Australia v South Africa   | 2001-12-14 |
| 61.4       | KA Maharaj          | 5/180    | South Africa v England     | 2020-01-16 |
| 61.2       | P Kumar             | 5/106    | India v England            | 2011-07-21 |
| 61.2       | BAW Mendis          | 6/99     | Sri Lanka v Bangladesh     | 2014-02-04 |
| 60.6       | NM Lyon             | 5/92     | Australia v India          | 2017-03-25 |
| 60.4       | Harbhajan Singh     | 5/115    | India v West Indies        | 2002-10-30 |
| 60.4       | A Kumble            | 6/176    | India v Australia          | 2003-12-26 |
| 60.3       | Saeed Ajmal         | 5/68     | Pakistan v Sri Lanka       | 2011-10-26 |
| 59.5       | Saqlain Mushtaq     | 6/46     | Pakistan v Australia       | 1999-11-18 |
| 59.5       | M Ntini             | 5/94     | South Africa v West Indies | 2003-12-12 |
| 59.5       | MR Gillespie        | 5/136    | New Zealand v South Africa | 2007-11-16 |
| 59.5       | MJ Leach            | 5/122    | England v Sri Lanka        | 2021-01-14 |
| 59.3       | SM Pollock          | 5/83     | South Africa v West Indies | 1998-12-26 |
| 59.3       | Enamul Haque        | 5/105    | Bangladesh v Zimbabwe      | 2005-01-14 |
| 59.2       | Bilal Asif          | 6/36     | Pakistan v Australia       | 2018-10-07 |
| 58.6       | SM Pollock          | 6/78     | South Africa v Pakistan    | 2003-10-24 |
| 58.5       | MJ Hoggard          | 5/73     | England v Bangladesh       | 2005-06-03 |
| 58.5       | JH Kallis           | 5/30     | South Africa v Bangladesh  | 2008-02-22 |
| 58.4       | MJ Clarke           | 6/9      | Australia v India          | 2004-11-03 |
| 58.3       | JN Gillespie        | 5/88     | Australia v England        | 1998-11-28 |
| 58.3       | A Kumble            | 6/72     | India v Sri Lanka          | 2005-12-10 |
| 58.1       | PJ Wiseman          | 5/90     | New Zealand v Zimbabwe     | 2000-09-12 |
| 58.1       | CS Martin           | 6/76     | New Zealand v South Africa | 2004-03-18 |
| 57.6       | MVT Fernando        | 5/101    | Sri Lanka v South Africa   | 2021-01-03 |
| 57.5       | AN Connolly         | 6/47     | Australia v South Africa   | 1970-03-05 |
| 57.5       | M Muralitharan      | 7/97     | Sri Lanka v South Africa   | 2006-08-04 |
| 57.5       | KAJ Roach           | 5/60     | West Indies v New Zealand  | 2012-07-25 |
| 57.3       | RL Chase            | 5/83     | West Indies v Sri Lanka    | 2021-11-21 |
| 57.2       | V Sehwag            | 5/104    | India v Australia          | 2008-10-29 |
| 57.1       | Saeed Ajmal         | 5/69     | Pakistan v West Indies     | 2011-05-12 |
| 57.1       | NM Lyon             | 6/122    | Australia v India          | 2018-12-06 |
| 56.6       | Sohag Gazi          | 6/77     | Bangladesh v New Zealand   | 2013-10-09 |
| 56.5       | Mehedi Hasan Miraz  | 5/82     | Bangladesh v Zimbabwe      | 2021-07-07 |
| 56.3       | DJG Sammy           | 5/29     | West Indies v Pakistan     | 2011-05-12 |
| 56.3       | MM Ali              | 5/63     | England v India            | 2018-08-30 |
| 55.5       | JE Emburey          | 5/124    | England v West Indies      | 1981-02-13 |
| 55.4       | M Muralitharan      | 5/71     | Sri Lanka v Australia      | 1999-09-22 |
| 55.4       | SCJ Broad           | 5/69     | England v South Africa     | 2012-08-02 |
| 55.1       | MJ North            | 6/55     | Australia v Pakistan       | 2010-07-13 |
| 55.1       | KC Brathwaite       | 6/29     | West Indies v Sri Lanka    | 2015-10-22 |
| 54.7       | RR Lindwall         | 5/32     | Australia v South Africa   | 1949-12-31 |
| 54.6       | Saqlain Mushtaq     | 8/164    | Pakistan v England         | 2000-11-15 |
| 54.4       | M Muralitharan      | 7/84     | Sri Lanka v South Africa   | 2000-07-20 |
| 54.4       | J Srinath           | 5/114    | India v Sri Lanka          | 2001-08-14 |
| 54.3       | Danish Kaneria      | 5/46     | Pakistan v South Africa    | 2003-10-17 |
| 54.2       | Shakib Al Hasan     | 5/80     | Bangladesh v Zimbabwe      | 2014-11-03 |
| 54.2       | Yasir Shah          | 6/96     | Pakistan v Sri Lanka       | 2015-06-25 |
| 54.1       | DL Vettori          | 5/66     | New Zealand v England      | 2008-05-23 |
| 53.4       | Harbhajan Singh     | 7/123    | India v Australia          | 2001-03-11 |
| 53.4       | Z Khan              | 5/72     | India v Sri Lanka          | 2009-12-02 |
| 53.3       | SCG MacGill         | 7/104    | Australia v West Indies    | 2001-01-02 |
| 53.3       | DL Vettori          | 5/69     | New Zealand v England      | 2008-05-15 |
